"","V1","V2"
"1","4","informers shouted crowd"
"2","4","said mr pickwick"
"3","5","brown paper parcel"
"4","5","mr pickwick mr"
"5","5","mr snodgrass mr"
"6","5","said mr pickwick"
"7","5","said mr snodgrass"
"8","5","said mr tupman"
"9","5","said mr winkle"
"10","5","sir said mr"
"11","6","brown paper parcel"
"12","6","inquired mr tupman"
"13","6","mr snodgrass mr"
"14","6","mr tracy tupman"
"15","6","mr tupman mr"
"16","6","mr tupman said"
"17","6","mr winkle mr"
"18","6","said mr pickwick"
"19","6","said mr tracy"
"20","6","said mr tupman"
"21","6","sir inquired mr"
"22","6","snodgrass mr tupman"
"23","6","snodgrass mr winkle"
"24","7","mr tracy tupman"
"25","7","mr tupman stranger"
"26","7","said mr tupman"
"27","8","inquired mr tupman"
"28","8","mr tracy tupman"
"29","8","mr tupman ascended"
"30","8","mr tupman companion"
"31","8","mr tupman looked"
"32","8","sir thomas clubber"
"33","9","doctor slammer th"
"34","9","fell fast asleep"
"35","9","letters p c"
"36","9","mr tracy tupman"
"37","9","said mr pickwick"
"38","9","said mr winkle"
"39","9","thought mr pickwick"
"40","10","doctor slammer th"
"41","10","mr winkle doctor"
"42","10","mr winkle turned"
"43","10","said mr snodgrass"
"44","10","said mr winkle"
"45","11","doctor slammers friend"
"46","11","friend doctor slammer"
"47","11","friend mr snodgrass"
"48","11","little fat man"
"49","11","mr winkle opened"
"50","11","replied mr snodgrass"
"51","11","replied mr winkle"
"52","11","said mr snodgrass"
"53","11","said mr winkle"
"54","11","sir said mr"
"55","11","snodgrass said mr"
"56","12","doctor slammer mr"
"57","12","mr pickwick mr"
"58","12","mr winkle accompanied"
"59","12","mr winkle mr"
"60","12","mr winkle shall"
"61","12","pickwick mr tupman"
"62","12","replied mr winkle"
"63","12","said man campstool"
"64","12","said mr snodgrass"
"65","12","said mr winkle"
"66","12","sir replied mr"
"67","12","sir said mr"
"68","12","winkle accompanied mr"
"69","13","mr pickwick felt"
"70","13","mr pickwick will"
"71","13","mr snodgrass offer"
"72","13","mr winkle mr"
"73","13","replied mr snodgrass"
"74","13","said mr pickwick"
"75","13","said mr snodgrass"
"76","13","sir replied mr"
"77","13","sir said mr"
"78","13","winkle mr snodgrass"
"79","15","explained real state"
"80","15","real state case"
"81","16","astonished mr pickwick"
"82","16","friend doctor slammer"
"83","16","mr winkle lieutenant"
"84","16","now sir said"
"85","16","replied doctor slammer"
"86","16","replied mr pickwick"
"87","16","said mr pickwick"
"88","16","said mr winkle"
"89","16","sir replied mr"
"90","16","sir said doctor"
"91","16","sir said mr"
"92","16","stranger mr tupman"
"93","16","winkle lieutenant tappleton"
"94","17","addressing mr pickwick"
"95","17","doctor slammer said"
"96","17","go said mr"
"97","17","mr pickwicks mouth"
"98","17","mr snodgrass seized"
"99","17","replied mr pickwick"
"100","17","said dismal man"
"101","17","said greencoated stranger"
"102","17","said lieutenant tappleton"
"103","17","said mr pickwick"
"104","17","sir replied mr"
"105","18","far eye reach"
"106","18","mr pickwick three"
"107","18","pickwick three companions"
"108","19","inquired mr pickwick"
"109","19","intelligence mr pickwick"
"110","19","mr pickwick fully"
"111","19","mr pickwick gazed"
"112","19","mr snodgrass mr"
"113","19","now said mr"
"114","19","perplexed mr pickwick"
"115","19","pickwick gazed spectacles"
"116","19","replied mr pickwick"
"117","19","said mr pickwick"
"118","19","said mr snodgrass"
"119","19","said mr winkle"
"120","19","snodgrass mr winkle"
"121","20","blue coat bright"
"122","20","coat bright buttons"
"123","20","fell fast asleep"
"124","20","friend mr tupman"
"125","20","gentleman blue coat"
"126","20","mr pickwick mr"
"127","20","mr snodgrass mr"
"128","20","mr tupman come"
"129","20","pickwick mr snodgrass"
"130","20","said mr tupman"
"131","20","snodgrass mr winkle"
"132","20","two young ladies"
"133","20","whats going forward"
"134","21","boy hes gone"
"135","21","damn boy hes"
"136","21","great pleasure replied"
"137","21","hes gone sleep"
"138","21","inquired mr tupman"
"139","21","issued lips mr"
"140","21","mr tupman looked"
"141","21","mr winkle great"
"142","21","mr winkle mr"
"143","21","pleasure replied mr"
"144","21","replied mr tupman"
"145","21","replied mr winkle"
"146","21","said miss wardle"
"147","21","said mr tupman"
"148","21","said mr winkle"
"149","21","said stout gentleman"
"150","21","sir mr tupman"
"151","21","sir said mr"
"152","21","think said mr"
"153","22","boy hes gone"
"154","22","certainly replied mr"
"155","22","fat boy mounted"
"156","22","gone sleep againjoe"
"157","22","head sunk upon"
