"","V1","V2"
"1",1,ClaraCoppDC
"2",1,DavCopp1DC
"3",1,MissBetseyTrotwoodDC
"4",2,ClaraCoppDC
"5",2,DavCopp1DC
"6",2,MissBetseyTrotwoodDC
"7",3,ClaraCoppDC
"8",3,ClaraPeggottyDC
"9",3,DavCopp1DC
"10",3,MissBetseyTrotwoodDC
"11",4,ClaraCoppDC
"12",4,ClaraPeggottyDC
"13",4,MissBetseyTrotwoodDC
"14",4,MrChillipDC
"15",5,ClaraCoppDC
"16",5,ClaraPeggottyDC
"17",4,DavCopp1DC
"18",6,ClaraCoppDC
"19",6,ClaraPeggottyDC
"20",2,DavCoppDC
"21",7,ClaraCoppDC
"22",7,ClaraPeggottyDC
"23",6,DavCopp1DC
"24",7,DavCoppDC
"25",8,ClaraCoppDC
"26",8,ClaraPeggottyDC
"27",8,DavCoppDC
"28",9,ClaraCoppDC
"29",9,ClaraPeggottyDC
"30",9,DavCoppDC
"31",9,MrMurdstoneDC
"32",9,MrQuinionDC
"33",10,ClaraCoppDC
"34",10,ClaraPeggottyDC
"35",10,MrMurdstoneDC
"36",11,ClaraPeggottyDC
"37",10,DavCoppDC
"38",4,HamPeggottyDC
"39",12,ClaraPeggottyDC
"40",12,DanielPeggottyDC
"41",12,HamPeggottyDC
"42",11,ClaraCoppDC
"43",13,DanielPeggottyDC
"44",8,DavCopp1DC
"45",13,HamPeggottyDC
"46",13,LittleEmlyDC
"47",13,ClaraPeggottyDC
"48",14,DanielPeggottyDC
"49",14,HamPeggottyDC
"50",14,LittleEmlyDC
"51",13,MrsGummidgeDC
"52",15,ClaraPeggottyDC
"53",15,DanielPeggottyDC
"54",15,HamPeggottyDC
"55",15,LittleEmlyDC
"56",15,MrsGummidgeDC
"57",14,ClaraCoppDC
"58",16,ClaraPeggottyDC
"59",16,DanielPeggottyDC
"60",12,DavCoppDC
"61",16,HamPeggottyDC
"62",16,LittleEmlyDC
"63",17,ClaraCoppDC
"64",17,ClaraPeggottyDC
"65",17,DavCoppDC
"66",11,MrMurdstoneDC
"67",16,MrsGummidgeDC
"68",18,ClaraCoppDC
"69",18,ClaraPeggottyDC
"70",19,ClaraCoppDC
"71",19,ClaraPeggottyDC
"72",19,JaneMurdstoneDC
"73",18,MrMurdstoneDC
"74",20,ClaraCoppDC
"75",20,ClaraPeggottyDC
"76",20,JaneMurdstoneDC
"77",20,MrMurdstoneDC
"78",21,ClaraCoppDC
"79",18,DavCoppDC
"80",21,JaneMurdstoneDC
"81",21,MrMurdstoneDC
"82",22,ClaraCoppDC
"83",22,DavCoppDC
"84",22,JaneMurdstoneDC
"85",22,MrMurdstoneDC
"86",9,TomJonesDC
"87",23,ClaraCoppDC
"88",21,ClaraPeggottyDC
"89",23,JaneMurdstoneDC
"90",23,MrMurdstoneDC
"91",24,ClaraCoppDC
"92",24,ClaraPeggottyDC
"93",17,DanielPeggottyDC
"94",23,DavCoppDC
"95",24,JaneMurdstoneDC
"96",17,LittleEmlyDC
"97",24,MrMurdstoneDC
"98",18,MrsGummidgeDC
"99",25,ClaraCoppDC
"100",25,ClaraPeggottyDC
"101",25,DanielPeggottyDC
"102",25,LittleEmlyDC
"103",25,MrMurdstoneDC
"104",29,MrMurdstoneDC
"105",30,MrMellDC
"106",30,MrsFibbitsonDC
"107",26,ClaraCoppDC
"108",26,ClaraPeggottyDC
"109",25,DavCoppDC
