"Character","Node","Appearances"
"Charles St Evrémonde",119,54
"Charles St Evrémonde",78,54
"Charles St Evrémonde",113,54
"Charles St Evrémonde",56,54
"Charles St Evrémonde",124,54
"Charles St Evrémonde",27,54
"Charles St Evrémonde",35,54
"Charles St Evrémonde",34,54
"Charles St Evrémonde",153,54
"Charles St Evrémonde",122,54
"Charles St Evrémonde",36,54
"Charles St Evrémonde",87,54
"Charles St Evrémonde",143,54
"Charles St Evrémonde",121,54
"Charles St Evrémonde",123,54
"Charles St Evrémonde",53,54
"Charles St Evrémonde",106,54
"Charles St Evrémonde",93,54
"Charles St Evrémonde",80,54
"Charles St Evrémonde",104,54
"Charles St Evrémonde",100,54
"Charles St Evrémonde",51,54
"Charles St Evrémonde",112,54
"Charles St Evrémonde",90,54
"Charles St Evrémonde",134,54
"Charles St Evrémonde",57,54
"Charles St Evrémonde",88,54
"Charles St Evrémonde",149,54
"Charles St Evrémonde",43,54
"Charles St Evrémonde",151,54
"Charles St Evrémonde",145,54
"Charles St Evrémonde",79,54
"Charles St Evrémonde",111,54
"Charles St Evrémonde",142,54
"Charles St Evrémonde",107,54
"Charles St Evrémonde",125,54
"Charles St Evrémonde",159,54
"Charles St Evrémonde",128,54
"Charles St Evrémonde",58,54
"Charles St Evrémonde",50,54
"Charles St Evrémonde",150,54
"Charles St Evrémonde",108,54
"Charles St Evrémonde",118,54
"Charles St Evrémonde",155,54
"Charles St Evrémonde",105,54
"Charles St Evrémonde",102,54
"Charles St Evrémonde",115,54
"Charles St Evrémonde",81,54
"Charles St Evrémonde",148,54
"Charles St Evrémonde",103,54
"Charles St Evrémonde",158,54
"Charles St Evrémonde",116,54
"Charles St Evrémonde",101,54
"Charles St Evrémonde",44,54
"Doctor Manette",30,55
"Doctor Manette",60,55
"Doctor Manette",34,55
"Doctor Manette",113,55
"Doctor Manette",134,55
"Doctor Manette",61,55
"Doctor Manette",15,55
"Doctor Manette",77,55
"Doctor Manette",11,55
"Doctor Manette",107,55
"Doctor Manette",38,55
"Doctor Manette",21,55
"Doctor Manette",122,55
"Doctor Manette",40,55
"Doctor Manette",43,55
"Doctor Manette",85,55
"Doctor Manette",10,55
"Doctor Manette",35,55
"Doctor Manette",59,55
"Doctor Manette",19,55
"Doctor Manette",56,55
"Doctor Manette",145,55
"Doctor Manette",78,55
"Doctor Manette",92,55
"Doctor Manette",143,55
"Doctor Manette",128,55
"Doctor Manette",141,55
"Doctor Manette",62,55
"Doctor Manette",31,55
"Doctor Manette",86,55
"Doctor Manette",135,55
"Doctor Manette",121,55
"Doctor Manette",33,55
"Doctor Manette",64,55
"Doctor Manette",44,55
"Doctor Manette",136,55
"Doctor Manette",84,55
"Doctor Manette",9,55
"Doctor Manette",81,55
"Doctor Manette",101,55
"Doctor Manette",41,55
"Doctor Manette",80,55
"Doctor Manette",82,55
"Doctor Manette",115,55
"Doctor Manette",57,55
"Doctor Manette",12,55
"Doctor Manette",111,55
"Doctor Manette",142,55
