"V1","V2"
"4","Joe"
"6","Jerry Cruncher"
"8","Jarvis Lorry"
"9","Jarvis Lorry"
"10","Doctor Manette"
"10","Jarvis Lorry"
"11","Doctor Manette"
"11","Jarvis Lorry"
"12","Doctor Manette"
"12","Jarvis Lorry"
"15","Doctor Manette"
"15","Jarvis Lorry"
"15","Thérèse Defarge"
"16","Ernest Defarge"
"16","Jarvis Lorry"
"18","Ernest Defarge"
"18","Jarvis Lorry"
"19","Doctor Manette"
"19","Ernest Defarge"
"19","Jarvis Lorry"
"20","Jarvis Lorry"
"21","Doctor Manette"
"21","Ernest Defarge"
"21","Jarvis Lorry"
"21","Thérèse Defarge"
"23","Jerry Cruncher"
"24","Jerry Cruncher"
"25","Jerry Cruncher"
"25","Young Jerry Cruncher"
"26","Jarvis Lorry"
"26","Jerry Cruncher"
"27","Jarvis Lorry"
"27","Jerry Cruncher"
"28","Jerry Cruncher"
"29","Jarvis Lorry"
"30","Doctor Manette"
"30","Jarvis Lorry"
"31","Doctor Manette"
"32","Jerry Cruncher"
"32","Roger Cly"
"32","Solomon Pross"
"33","Doctor Manette"
"33","Jarvis Lorry"
"33","Jerry Cruncher"
"33","Sydney Carton"
"34","Charles St Evrémonde"
"34","Doctor Manette"
"34","Jarvis Lorry"
"34","Mr Stryver"
"34","Sydney Carton"
"35","Charles St Evrémonde"
"35","Doctor Manette"
"35","Jarvis Lorry"
"35","Sydney Carton"
"36","Charles St Evrémonde"
"37","Mr Stryver"
"37","Sydney Carton"
"38","Doctor Manette"
"38","Mr Stryver"
"38","Sydney Carton"
"40","Doctor Manette"
"40","Jarvis Lorry"
"40","Lucie Manette"
"41","Doctor Manette"
"41","Jarvis Lorry"
"41","Lucie Manette"
"41","Miss Pross"
"41","Solomon Pross"
"42","Doctor Manette"
"42","Jarvis Lorry"
"42","Lucie Manette"
"42","Miss Pross"
"43","Charles St Evrémonde"
"43","Doctor Manette"
"43","Jarvis Lorry"
"43","Lucie Manette"
"43","Miss Pross"
"43","Sydney Carton"
"44","Charles St Evrémonde"
"44","Doctor Manette"
"44","Jarvis Lorry"
"44","Jerry Cruncher"
"44","Lucie Manette"
"44","Sydney Carton"
"46","Marquis St Evrémonde II"
"47","Ernest Defarge"
"47","Marquis St Evrémonde II"
"48","Marquis St Evrémonde II"
"49","Marquis St Evrémonde II"
"50","Charles St Evrémonde"
"50","Marquis St Evrémonde II"
"50","Théophile Gabelle"
"51","Charles St Evrémonde"
