"node_id" "tags" "dpub"
"1" "3" "Joe, Tom" "3"
"2" "4" "Jarvis Lorry, Jerry Cruncher, Joe" "4"
"3" "6" "Jerry Cruncher" "6"
"4" "8" "Jarvis Lorry" "8"
"5" "9" "Doctor Manette, Jarvis Lorry" "9"
"6" "10" "Doctor Manette, Jarvis Lorry" "10"
"7" "11" "Doctor Manette, Jarvis Lorry" "11"
"8" "12" "Doctor Manette, Jarvis Lorry" "12"
"9" "14" "Gaspard, Thérèse Defarge" "14"
"10" "15" "Doctor Manette, Ernest Defarge, Jacques, Jarvis Lorry, Thérèse Defarge" "15"
"11" "16" "Ernest Defarge, Jarvis Lorry" "16"
"12" "18" "Ernest Defarge, Jarvis Lorry" "18"
"13" "19" "Doctor Manette, Ernest Defarge, Jarvis Lorry" "19"
"14" "20" "Jarvis Lorry" "20"
"15" "21" "Doctor Manette, Ernest Defarge, Jarvis Lorry, Thérèse Defarge" "21"
"16" "23" "Jerry Cruncher" "23"
"17" "24" "Jerry Cruncher, Mrs Cruncher, Young Jerry Cruncher" "24"
"18" "25" "Jerry Cruncher, Young Jerry Cruncher" "25"
"19" "26" "Jarvis Lorry, Jerry Cruncher" "26"
"20" "27" "Charles St Evrémonde, Jarvis Lorry, Jerry Cruncher" "27"
"21" "28" "Jerry Cruncher" "28"
"22" "29" "Jarvis Lorry, Solomon Pross" "29"
"23" "30" "Doctor Manette, Jarvis Lorry, Roger Cly" "30"
"24" "31" "Doctor Manette" "31"
"25" "32" "Jerry Cruncher, Mr Stryver, Roger Cly, Solomon Pross, Sydney Carton" "32"
"26" "33" "Doctor Manette, Jarvis Lorry, Jerry Cruncher, Sydney Carton" "33"
"27" "34" "Charles St Evrémonde, Doctor Manette, Jarvis Lorry, Lucie Manette, Mr Stryver, Sydney Carton" "34"
"28" "35" "Charles St Evrémonde, Doctor Manette, Jarvis Lorry, Sydney Carton" "35"
"29" "36" "Charles St Evrémonde" "36"
"30" "37" "Mr Stryver, Sydney Carton" "37"
"31" "38" "Doctor Manette, Mr Stryver, Sydney Carton" "38"
"32" "40" "Doctor Manette, Jarvis Lorry, Lucie Manette, Miss Pross" "40"
"33" "41" "Doctor Manette, Jarvis Lorry, Lucie Manette, Miss Pross, Solomon Pross" "41"
"34" "42" "Doctor Manette, Jarvis Lorry, Lucie Manette, Miss Pross" "42"
"35" "43" "Charles St Evrémonde, Doctor Manette, Jarvis Lorry, Lucie Manette, Miss Pross, Sydney Carton" "43"
"36" "44" "Charles St Evrémonde, Doctor Manette, Jarvis Lorry, Jerry Cruncher, Lucie Manette, Sydney Carton" "44"
"37" "45" "Marquis St Evrémonde II" "45"
"38" "46" "Marquis St Evrémonde II" "46"
"39" "47" "Ernest Defarge, Marquis St Evrémonde II" "47"
"40" "48" "Marquis St Evrémonde II" "48"
"41" "49" "Marquis St Evrémonde II, Théophile Gabelle" "49"
"42" "50" "Charles St Evrémonde, Marquis St Evrémonde II, Théophile Gabelle" "50"
"43" "51" "Charles St Evrémonde, Marquis St Evrémonde II" "51"
"44" "52" "Marquis St Evrémonde II" "52"
"45" "53" "Charles St Evrémonde, Marquis St Evrémonde II" "53"
"46" "54" "Marquis St Evrémonde II, Théophile Gabelle" "54"
"47" "55" "Jacques, Marquis St Evrémonde II" "55"
"48" "56" "Charles St Evrémonde, Doctor Manette, Lucie Manette, Miss Pross, Mr Stryver, Sydney Carton" "56"
"49" "57" "Charles St Evrémonde, Doctor Manette, Lucie Manette" "57"
"50" "58" "Charles St Evrémonde, Doctor Manette, Lucie Manette, Miss Pross, Mr Stryver, Sydney Carton" "58"
"51" "59" "Doctor Manette, Mr Stryver, Sydney Carton" "59"
"52" "60" "Doctor Manette, Mr Stryver, Sydney Carton" "60"
"53" "61" "Doctor Manette, Jarvis Lorry, Mr Stryver" "61"
"54" "62" "Doctor Manette, Jarvis Lorry, Mr Stryver" "62"
"55" "63" "Jarvis Lorry, Mr Stryver" "63"
"56" "64" "Doctor Manette, Lucie Manette, Mr Stryver, Sydney Carton" "64"
"57" "65" "Doctor Manette, Lucie Manette, Sydney Carton" "65"
"58" "66" "Jerry Cruncher, Mrs Cruncher, Roger Cly" "66"
"59" "67" "Jerry Cruncher, Mrs Cruncher, Roger Cly" "67"
"60" "68" "Jerry Cruncher, Mrs Cruncher" "68"
"61" "69" "Jerry Cruncher, Mrs Cruncher" "69"
"62" "70" "Ernest Defarge, Jacques, Marquis St Evrémonde II, Thérèse Defarge" "70"
"63" "71" "Ernest Defarge, Jacques, Marquis St Evrémonde II" "71"
"64" "72" "Ernest Defarge, Jacques, Marquis St Evrémonde II" "72"
"65" "73" "Ernest Defarge, Jacques, Thérèse Defarge" "73"
"66" "74" "Thérèse Defarge" "74"
"67" "75" "Ernest Defarge, Jacques, Marquis St Evrémonde II, Solomon Pross, Thérèse Defarge" "75"
"68" "76" "Ernest Defarge, Thérèse Defarge" "76"
"69" "77" "Doctor Manette, Ernest Defarge, Gaspard, Thérèse Defarge" "77"
"70" "78" "Charles St Evrémonde, Doctor Manette, Ernest Defarge, Gaspard, Marquis St Evrémonde II, Solomon Pross, Thérèse Defarge" "78"
"71" "79" "Charles St Evrémonde, Lucie Manette" "79"
"72" "80" "Charles St Evrémonde, Doctor Manette, Jarvis Lorry, Lucie Manette, Miss Pross" "80"
"73" "81" "Charles St Evrémonde, Doctor Manette, Jarvis Lorry, Lucie Manette, Miss Pross, Solomon Pross" "81"
"74" "82" "Doctor Manette, Ernest Defarge, Jarvis Lorry, Lucie Manette, Miss Pross" "82"
"75" "83" "Jarvis Lorry, Lucie Manette, Miss Pross" "83"
"76" "84" "Doctor Manette, Jarvis Lorry, Miss Pross" "84"
"77" "85" "Doctor Manette, Jarvis Lorry, Miss Pross" "85"
"78" "86" "Doctor Manette, Jarvis Lorry, Lucie Manette, Miss Pross" "86"
"79" "87" "Charles St Evrémonde, Jarvis Lorry, Miss Pross, Mr Stryver, Sydney Carton" "87"
"80" "88" "Charles St Evrémonde, Sydney Carton" "88"
"81" "89" "Lucie Manette, Miss Pross, Mr Stryver, Mrs Stryver, Sydney Carton" "89"
