"id1" "id2" "label"
"Charles St Evrémonde" "Doctor Manette" 25
"Charles St Evrémonde" "Ernest Defarge" 14
"Charles St Evrémonde" "Gaspard" 1
"Charles St Evrémonde" "Jacques" 2
"Charles St Evrémonde" "Jarvis Lorry" 32
"Charles St Evrémonde" "Jerry Cruncher" 8
"Charles St Evrémonde" "Lucie Manette" 29
"Charles St Evrémonde" "Marquis St Evrémonde II" 10
"Charles St Evrémonde" "Miss Pross" 14
"Charles St Evrémonde" "Mr Stryver" 7
"Charles St Evrémonde" "Mrs Cruncher" 1
"Charles St Evrémonde" "Roger Cly" 1
"Charles St Evrémonde" "Solomon Pross" 7
"Charles St Evrémonde" "Sydney Carton" 18
"Charles St Evrémonde" "The Vengeance" 5
"Charles St Evrémonde" "Théophile Gabelle" 6
"Charles St Evrémonde" "Thérèse Defarge" 7
"Doctor Manette" "Ernest Defarge" 17
"Doctor Manette" "Gaspard" 2
"Doctor Manette" "Jacques" 3
"Doctor Manette" "Jarvis Lorry" 39
"Doctor Manette" "Jerry Cruncher" 6
"Doctor Manette" "Lucie Manette" 24
"Doctor Manette" "Marquis St Evrémonde I" 1
"Doctor Manette" "Marquis St Evrémonde II" 3
"Doctor Manette" "Miss Pross" 17
"Doctor Manette" "Mr Stryver" 10
"Doctor Manette" "Roger Cly" 1
"Doctor Manette" "Solomon Pross" 6
"Doctor Manette" "Sydney Carton" 19
"Doctor Manette" "The Vengeance" 3
"Doctor Manette" "Théophile Gabelle" 2
"Doctor Manette" "Thérèse Defarge" 10
"Ernest Defarge" "Foulon" 2
"Ernest Defarge" "Gaspard" 2
"Ernest Defarge" "Jacques" 12
"Ernest Defarge" "Jarvis Lorry" 16
"Ernest Defarge" "Jerry Cruncher" 2
"Ernest Defarge" "Lucie Manette" 7
"Ernest Defarge" "Marquis St Evrémonde I" 1
"Ernest Defarge" "Marquis St Evrémonde II" 7
"Ernest Defarge" "Miss Pross" 5
"Ernest Defarge" "Roger Cly" 1
"Ernest Defarge" "Solomon Pross" 5
"Ernest Defarge" "Sydney Carton" 5
"Ernest Defarge" "The Vengeance" 9
"Ernest Defarge" "Théophile Gabelle" 2
"Ernest Defarge" "Thérèse Defarge" 19
"Foulon" "Jacques" 1
"Foulon" "The Vengeance" 2
"Foulon" "Thérèse Defarge" 2
"Gaspard" "Marquis St Evrémonde II" 1
"Gaspard" "Solomon Pross" 1
"Gaspard" "Thérèse Defarge" 3
"Jacques" "Jarvis Lorry" 4
"Jacques" "Jerry Cruncher" 1
"Jacques" "Marquis St Evrémonde II" 6
"Jacques" "Miss Pross" 1
"Jacques" "Solomon Pross" 2
"Jacques" "Sydney Carton" 2
"Jacques" "The Vengeance" 4
"Jacques" "Thérèse Defarge" 10
"Jarvis Lorry" "Jerry Cruncher" 14
"Jarvis Lorry" "Joe" 1
"Jarvis Lorry" "Lucie Manette" 30
"Jarvis Lorry" "Marquis St Evrémonde II" 8
"Jarvis Lorry" "Miss Pross" 22
"Jarvis Lorry" "Mr Stryver" 8
"Jarvis Lorry" "Mrs Cruncher" 1
"Jarvis Lorry" "Roger Cly" 3
"Jarvis Lorry" "Solomon Pross" 12
"Jarvis Lorry" "Sydney Carton" 22
"Jarvis Lorry" "The Vengeance" 4
"Jarvis Lorry" "Théophile Gabelle" 3
"Jarvis Lorry" "Thérèse Defarge" 10
"Jerry Cruncher" "Joe" 1
"Jerry Cruncher" "Lucie Manette" 6
"Jerry Cruncher" "Marquis St Evrémonde II" 2
"Jerry Cruncher" "Miss Pross" 8
"Jerry Cruncher" "Mr Stryver" 3
"Jerry Cruncher" "Mrs Cruncher" 7
"Jerry Cruncher" "Roger Cly" 5
"Jerry Cruncher" "Solomon Pross" 8
"Jerry Cruncher" "Sydney Carton" 7
"Jerry Cruncher" "The Vengeance" 2
"Jerry Cruncher" "Théophile Gabelle" 1
"Jerry Cruncher" "Thérèse Defarge" 5
"Jerry Cruncher" "Young Jerry Cruncher" 2
"Joe" "Tom" 1
"Lucie Manette" "Marquis St Evrémonde II" 5
"Lucie Manette" "Miss Pross" 20
"Lucie Manette" "Mr Stryver" 6
"Lucie Manette" "Mrs Cruncher" 1
"Lucie Manette" "Mrs Stryver" 1
"Lucie Manette" "Solomon Pross" 4
"Lucie Manette" "Sydney Carton" 14
"Lucie Manette" "The Vengeance" 3
"Lucie Manette" "Théophile Gabelle" 1
"Lucie Manette" "Thérèse Defarge" 6
"Marquis St Evrémonde I" "The Vengeance" 1
"Marquis St Evrémonde I" "Thérèse Defarge" 1
"Marquis St Evrémonde II" "Miss Pross" 1
"Marquis St Evrémonde II" "Mr Stryver" 3
"Marquis St Evrémonde II" "Solomon Pross" 2
"Marquis St Evrémonde II" "Sydney Carton" 1
"Marquis St Evrémonde II" "Théophile Gabelle" 6
"Marquis St Evrémonde II" "Thérèse Defarge" 4
"Miss Pross" "Mr Stryver" 4
"Miss Pross" "Mrs Cruncher" 1
"Miss Pross" "Mrs Stryver" 1
"Miss Pross" "Solomon Pross" 8
"Miss Pross" "Sydney Carton" 8
"Miss Pross" "The Vengeance" 3
"Miss Pross" "Thérèse Defarge" 6
"Mr Stryver" "Mrs Stryver" 1
"Mr Stryver" "Roger Cly" 1
"Mr Stryver" "Solomon Pross" 1
"Mr Stryver" "Sydney Carton" 11
"Mr Stryver" "Théophile Gabelle" 1
"Mrs Cruncher" "Roger Cly" 2
"Mrs Cruncher" "Solomon Pross" 1
"Mrs Cruncher" "Sydney Carton" 1
"Mrs Cruncher" "Thérèse Defarge" 1
"Mrs Cruncher" "Young Jerry Cruncher" 1
"Mrs Stryver" "Sydney Carton" 1
"Roger Cly" "Solomon Pross" 4
"Roger Cly" "Sydney Carton" 4
"Roger Cly" "The Vengeance" 1
"Roger Cly" "Thérèse Defarge" 1
"Solomon Pross" "Sydney Carton" 9
"Solomon Pross" "The Vengeance" 2
"Solomon Pross" "Thérèse Defarge" 4
"Sydney Carton" "The Vengeance" 2
"Sydney Carton" "Thérèse Defarge" 4
"The Vengeance" "Thérèse Defarge" 11
