"t" "specificity" "diversity" "ShannonWiener" "Pielou" "Richness" "" "" ""
3 0 0 0.693147180559945 1 2 0 NA 0
4 0 1 1.33217904021012 0.960964047443681 4 1 0.5 0
6 0 2 1.32966134885476 0.959147917027245 4 2 0.333333333333333 0
8 0 3 1.35178399428965 0.975106032457373 4 2 0.25 0
9 0 4 1.52295506753132 0.946265187221801 5 3 0.2 0.21875
10 1 4 1.51570795208571 0.94176230122066 5 4 0.166666666666667 0.300000011920929
11 2 4 1.47913280742964 0.919036886109272 5 5 0.142857142857143 0.319444447755814
12 3 4 1.43682866896303 0.89275184700352 5 6 0.125 0.357142865657806
14 0 5 1.71154728628635 0.879561313310002 7 6 0.0972222222222222 0.357142865657806
15 0 6 1.91706774022571 0.872495128627154 9 7 0.1 0.438271582126617
16 0 7 1.91855802451091 0.873173386234764 9 8 0.0909090909090909 0.444999992847443
18 1 7 1.90129151080762 0.865315057194848 9 9 0.0833333333333333 0.466942191123962
19 0 8 1.86796933780896 0.850149482704935 9 9 0.0833333333333333 0.482248544692993
20 1 3 1.8401485368625 0.837487690536114 9 9 0.0769230769230769 0.482142865657806
21 0 9 1.83354093663799 0.834480442077006 9 9 0.080952380952381 0.461937725543976
23 1 2 1.85633639017106 0.844855100074282 9 9 0.075 0.489197552204132
24 0 10 2.0135138156575 0.839700481709408 11 9 0.0698529411764706 0.505540132522583
25 0 11 2.04880306527823 0.854417241870306 11 9 0.065359477124183 0.53125
26 0 12 2.02738665027932 0.845485903107576 11 9 0.064327485380117 0.508264482021332
27 0 13 2.06654782639693 0.831640024213077 12 9 0.0605263157894737 0.52173912525177
28 2 2 2.06083006731835 0.829339028689135 12 9 0.0571428571428571 0.53125
29 0 14 2.10050785374594 0.818927612600023 13 9 0.0541125541125541 0.543200016021729
30 0 15 2.13284329207475 0.808183766279033 14 9 0.0533596837944664 0.53292179107666
31 0 16 2.12648240635612 0.805773479224166 14 10 0.0507246376811594 0.547831654548645
32 0 17 2.27463607800047 0.820401547389598 16 10 0.0516666666666667 0.57492196559906
33 0 18 2.26676194708133 0.817561554982511 16 10 0.0523076923076923 0.566176474094391
34 0 19 2.34818485769317 0.828806225489309 17 10 0.0527065527065527 0.583272457122803
35 0 20 2.34853080836784 0.828928330898486 17 10 0.0502645502645503 0.581371188163757
36 0 21 2.35786161270644 0.83222169543038 17 11 0.0480295566502463 0.581854045391083
37 0 22 2.37750456513839 0.839154795782021 17 11 0.0471264367816092 0.572575867176056
38 0 23 2.38219959382661 0.840811934909249 17 11 0.046236559139785 0.599513232707977
40 0 24 2.41910706882385 0.836953607166665 18 11 0.0463709677419355 0.600189030170441
41 0 25 2.44385468639704 0.845515695246022 18 11 0.0454545454545455 0.582248270511627
