"id1" "id2" "label"
"Akerman" "Barnaby Rudge" 1
"Akerman" "Gabriel Varden" 1
"Akerman" "Hugh" 2
"Akerman" "Ned Dennis" 2
"Barnaby Rudge" "Dolly Varden" 4
"Barnaby Rudge" "Edward Chester" 10
"Barnaby Rudge" "Emma Haredale" 4
"Barnaby Rudge" "Gabriel Varden" 16
"Barnaby Rudge" "Gashford" 13
"Barnaby Rudge" "General Conway" 1
"Barnaby Rudge" "Geoffrey Haredale" 16
"Barnaby Rudge" "Hugh" 40
"Barnaby Rudge" "Joe Willet" 5
"Barnaby Rudge" "John Chester" 12
"Barnaby Rudge" "John Grueby" 1
"Barnaby Rudge" "John Willet" 20
"Barnaby Rudge" "Lord George Gordon" 12
"Barnaby Rudge" "Martha Varden" 7
"Barnaby Rudge" "Mary Jones" 4
"Barnaby Rudge" "Miggs" 5
"Barnaby Rudge" "Mr Rudge" 7
"Barnaby Rudge" "Mrs Rudge" 5
"Barnaby Rudge" "Ned Dennis" 22
"Barnaby Rudge" "Peak" 1
"Barnaby Rudge" "Phil Parkes" 3
"Barnaby Rudge" "Simon Tappertit" 9
"Barnaby Rudge" "Solomon Daisy" 3
"Barnaby Rudge" "Stagg" 5
"Barnaby Rudge" "Tom Cobb" 1
"Barnaby Rudge" "Tom Green" 1
"Dolly Varden" "Edward Chester" 9
"Dolly Varden" "Emma Haredale" 16
"Dolly Varden" "Gabriel Varden" 27
"Dolly Varden" "Gashford" 3
"Dolly Varden" "Geoffrey Haredale" 11
"Dolly Varden" "Herbert" 1
"Dolly Varden" "Hugh" 13
"Dolly Varden" "Joe Willet" 29
"Dolly Varden" "John Chester" 8
"Dolly Varden" "John Willet" 26
"Dolly Varden" "Lord George Gordon" 2
"Dolly Varden" "Martha Varden" 30
"Dolly Varden" "Miggs" 30
"Dolly Varden" "Mr Rudge" 1
"Dolly Varden" "Mrs Rudge" 2
"Dolly Varden" "Ned Dennis" 9
"Dolly Varden" "Phil Parkes" 2
"Dolly Varden" "Simon Tappertit" 5
"Dolly Varden" "Solomon Daisy" 4
"Dolly Varden" "The Black Lion" 7
"Dolly Varden" "Tom Cobb" 4
"Edward Chester" "Emma Haredale" 11
"Edward Chester" "Gabriel Varden" 14
"Edward Chester" "Gashford" 1
"Edward Chester" "Geoffrey Haredale" 15
"Edward Chester" "Hugh" 5
"Edward Chester" "Joe Willet" 10
"Edward Chester" "John Chester" 9
"Edward Chester" "John Grueby" 1
"Edward Chester" "John Willet" 13
"Edward Chester" "Martha Varden" 8
"Edward Chester" "Mary Jones" 2
"Edward Chester" "Miggs" 5
"Edward Chester" "Mr Rudge" 2
"Edward Chester" "Mrs Rudge" 4
"Edward Chester" "Ned Dennis" 12
"Edward Chester" "Peak" 1
"Edward Chester" "Phil Parkes" 1
"Edward Chester" "Simon Tappertit" 2
"Edward Chester" "Solomon Daisy" 1
"Edward Chester" "The Black Lion" 3
"Edward Chester" "Tom Cobb" 1
"Emma Haredale" "Gabriel Varden" 6
"Emma Haredale" "Gashford" 3
"Emma Haredale" "Geoffrey Haredale" 21
"Emma Haredale" "Herbert" 1
"Emma Haredale" "Hugh" 9
"Emma Haredale" "Joe Willet" 8
"Emma Haredale" "John Chester" 7
"Emma Haredale" "John Willet" 7
"Emma Haredale" "Lord George Gordon" 1
"Emma Haredale" "Martha Varden" 7
"Emma Haredale" "Mary Jones" 1
"Emma Haredale" "Miggs" 8
"Emma Haredale" "Mrs Rudge" 3
"Emma Haredale" "Ned Dennis" 12
"Emma Haredale" "Phil Parkes" 2
"Emma Haredale" "Simon Tappertit" 4
"Emma Haredale" "Solomon Daisy" 2
"Emma Haredale" "The Black Lion" 1
"Emma Haredale" "Tom Cobb" 2
"Gabriel Varden" "Gashford" 3
"Gabriel Varden" "Geoffrey Haredale" 9
"Gabriel Varden" "Hugh" 12
"Gabriel Varden" "Joe Willet" 16
"Gabriel Varden" "John Chester" 11
"Gabriel Varden" "John Willet" 21
"Gabriel Varden" "Lord George Gordon" 2
"Gabriel Varden" "Mark Gilbert" 1
"Gabriel Varden" "Martha Varden" 30
"Gabriel Varden" "Mary Jones" 4
"Gabriel Varden" "Miggs" 24
"Gabriel Varden" "Mr Rudge" 2
"Gabriel Varden" "Mrs Rudge" 3
"Gabriel Varden" "Ned Dennis" 11
"Gabriel Varden" "Peak" 3
"Gabriel Varden" "Phil Parkes" 1
"Gabriel Varden" "Simon Tappertit" 9
"Gabriel Varden" "Solomon Daisy" 3
"Gabriel Varden" "The Black Lion" 4
"Gabriel Varden" "Tom Cobb" 2
"Gashford" "General Conway" 1
"Gashford" "Geoffrey Haredale" 9
"Gashford" "Hugh" 20
"Gashford" "Joe Willet" 1
"Gashford" "John Chester" 4
"Gashford" "John Grueby" 10
"Gashford" "John Willet" 16
"Gashford" "Lord George Gordon" 21
"Gashford" "Mark Gilbert" 1
"Gashford" "Martha Varden" 3
"Gashford" "Mary Jones" 5
"Gashford" "Miggs" 3
"Gashford" "Mr Rudge" 1
"Gashford" "Ned Dennis" 21
"Gashford" "Phil Parkes" 1
"Gashford" "Simon Tappertit" 8
"Gashford" "Solomon Daisy" 1
"Gashford" "The Black Lion" 1
"Gashford" "Tom Cobb" 1
"General Conway" "Hugh" 1
"General Conway" "Lord George Gordon" 1
"General Conway" "Ned Dennis" 1
"Geoffrey Haredale" "Hugh" 19
"Geoffrey Haredale" "Joe Willet" 14
"Geoffrey Haredale" "John Chester" 19
"Geoffrey Haredale" "John Fielding" 2
"Geoffrey Haredale" "John Grueby" 5
"Geoffrey Haredale" "John Willet" 36
"Geoffrey Haredale" "Lord George Gordon" 7
"Geoffrey Haredale" "Martha Varden" 7
"Geoffrey Haredale" "Mary Jones" 4
"Geoffrey Haredale" "Miggs" 7
"Geoffrey Haredale" "Mr Rudge" 6
"Geoffrey Haredale" "Mrs Rudge" 2
"Geoffrey Haredale" "Ned Dennis" 12
"Geoffrey Haredale" "Phil Parkes" 5
"Geoffrey Haredale" "Philips" 1
"Geoffrey Haredale" "Simon Tappertit" 2
"Geoffrey Haredale" "Solomon Daisy" 11
"Geoffrey Haredale" "The Black Lion" 1
"Geoffrey Haredale" "Tom Cobb" 3
"Herbert" "Joe Willet" 1
"Herbert" "Lord George Gordon" 1
"Hugh" "Joe Willet" 15
"Hugh" "John Chester" 18
"Hugh" "John Grueby" 4
"Hugh" "John Willet" 30
"Hugh" "Lord George Gordon" 14
"Hugh" "Mark Gilbert" 1
"Hugh" "Martha Varden" 3
"Hugh" "Mary Jones" 3
"Hugh" "Miggs" 7
"Hugh" "Mr Rudge" 4
"Hugh" "Mrs Rudge" 1
"Hugh" "Ned Dennis" 45
"Hugh" "Peak" 3
"Hugh" "Phil Parkes" 2
"Hugh" "Simon Tappertit" 15
"Hugh" "Solomon Daisy" 4
"Hugh" "Stagg" 1
"Hugh" "The Black Lion" 2
"Hugh" "Tom Cobb" 1
"Joe Willet" "John Chester" 7
"Joe Willet" "John Grueby" 1
"Joe Willet" "John Willet" 39
"Joe Willet" "Lord George Gordon" 1
"Joe Willet" "Martha Varden" 17
"Joe Willet" "Miggs" 8
"Joe Willet" "Mr Rudge" 1
"Joe Willet" "Ned Dennis" 2
"Joe Willet" "Phil Parkes" 5
"Joe Willet" "Simon Tappertit" 2
"Joe Willet" "Solomon Daisy" 8
"Joe Willet" "The Black Lion" 9
"Joe Willet" "Tom Cobb" 7
"John Chester" "John Willet" 25
"John Chester" "Lord George Gordon" 4
"John Chester" "Martha Varden" 6
"John Chester" "Mary Jones" 1
"John Chester" "Miggs" 5
"John Chester" "Mr Rudge" 3
"John Chester" "Mrs Rudge" 3
"John Chester" "Ned Dennis" 16
"John Chester" "Peak" 4
"John Chester" "Phil Parkes" 3
"John Chester" "Simon Tappertit" 2
"John Chester" "Solomon Daisy" 3
"John Chester" "The Black Lion" 1
"John Chester" "Tom Cobb" 1
"John Fielding" "John Willet" 2
"John Grueby" "John Willet" 14
"John Grueby" "Lord George Gordon" 11
"John Grueby" "Mary Jones" 5
"John Grueby" "Ned Dennis" 3
"John Willet" "Lord George Gordon" 15
"John Willet" "Martha Varden" 17
"John Willet" "Mary Jones" 5
"John Willet" "Miggs" 10
"John Willet" "Mr Rudge" 2
"John Willet" "Mrs Rudge" 3
"John Willet" "Ned Dennis" 13
"John Willet" "Peak" 3
"John Willet" "Phil Parkes" 12
"John Willet" "Simon Tappertit" 4
"John Willet" "Solomon Daisy" 15
"John Willet" "The Black Lion" 10
"John Willet" "Tom Cobb" 12
"John Willet" "Tom Green" 1
"Lord George Gordon" "Mark Gilbert" 1
"Lord George Gordon" "Martha Varden" 2
"Lord George Gordon" "Mary Jones" 5
"Lord George Gordon" "Miggs" 2
"Lord George Gordon" "Mr Rudge" 2
"Lord George Gordon" "Ned Dennis" 11
"Lord George Gordon" "Simon Tappertit" 5
"Lord George Gordon" "Solomon Daisy" 1
"Mark Gilbert" "Ned Dennis" 1
"Mark Gilbert" "Stagg" 1
"Martha Varden" "Mary Jones" 2
"Martha Varden" "Miggs" 28
"Martha Varden" "Mrs Rudge" 1
"Martha Varden" "Ned Dennis" 7
"Martha Varden" "Simon Tappertit" 4
"Martha Varden" "Solomon Daisy" 1
"Martha Varden" "The Black Lion" 4
"Martha Varden" "Tom Cobb" 1
"Mary Jones" "Miggs" 2
"Mary Jones" "Mr Rudge" 2
"Mary Jones" "Mrs Rudge" 1
"Mary Jones" "Ned Dennis" 4
"Mary Jones" "Simon Tappertit" 1
"Miggs" "Mr Rudge" 1
"Miggs" "Mrs Rudge" 2
"Miggs" "Ned Dennis" 10
"Miggs" "Simon Tappertit" 9
"Miggs" "Solomon Daisy" 1
"Miggs" "Stagg" 1
"Miggs" "The Black Lion" 1
"Miggs" "Tom Cobb" 1
"Mr Rudge" "Mrs Rudge" 1
"Mr Rudge" "Ned Dennis" 2
"Mr Rudge" "Simon Tappertit" 1
"Mr Rudge" "Solomon Daisy" 2
"Mrs Rudge" "Ned Dennis" 1
"Mrs Rudge" "Simon Tappertit" 1
"Ned Dennis" "Peak" 2
"Ned Dennis" "Simon Tappertit" 16
"Ned Dennis" "The Black Lion" 1
"Phil Parkes" "Solomon Daisy" 8
"Phil Parkes" "Tom Cobb" 10
"Simon Tappertit" "The Black Lion" 1
"Solomon Daisy" "Tom Cobb" 7
"The Black Lion" "Tom Cobb" 1
