"x"
"Ada Clare"
"Alfred Pardiggle"
"Allan Woodcourt"
"Arethusa Skimpole"
"Bartholomew Smallweed"
"Bob Stables"
"Captain Hawden"
"Captain Swosser"
"Caroline Caddy"
"Charley"
"Coavinses"
"Conversation Kenge"
"Darby"
"Egbert Pardiggle"
"Emma Neckett"
"Esther Summerson"
"Francis Pardiggle"
"George Rouncewell"
"Grandfather Smallweed"
"Guster"
"Inspector Bucket"
"James George Bogsby"
"Jenny"
"Jo"
"Jobling"
"John Jarndyce"
"Judy Smallweed"
"Kitty Skimpole"
"Krook"
"Lady Dedlock"
"Laura Skimpole"
"Lawrence Boythorn"
"Little Swills"
"Liz"
"Lord Boodle"
"Mademoiselle Hortense"
"Malta Bagnet"
"Matthew Bagnet"
"Mercury"
"Miss Barbary"
"Miss Flite"
"Miss Wisk"
"Mooney"
"Mr Badger"
"Mr Gridley"
"Mr Grubble"
"Mr Gusher"
"Mr Jellyby"
"Mr Pardiggle"
"Mr Quale"
"Mr Rouncewell"
"Mr Skimpole"
"Mr Snagsby"
"Mr Tulkinghorn"
"Mr Turveydrop"
"Mrs Badger"
"Mrs Bagnet"
"Mrs Blinder"
"Mrs Bucket"
"Mrs Chadband"
"Mrs Guppy"
"Mrs Jellyby"
"Mrs Pardiggle"
"Mrs Perkins"
"Mrs Piper"
"Mrs Rouncewell"
"Mrs Skimpole"
"Mrs Smallweed"
"Mrs Snagsby"
"Mrs Woodcourt"
"Oswald Pardiggle"
"Peepy Jellby"
"Phil Squod"
"Polly"
"Prince Turvey"
"Priscilla"
"Professor Dingo"
"Quebec Bagnet"
"Reverend Chadband"
"Richard Carstone"
"Rosa"
"Sir Dedlock"
"Sladdery"
"Thomas"
"Vholes"
"Volumnia Dedlock"
"Watt Rouncewell"
"Tom Neckett"
"William Guppy"
"William Buffy"
"Miss Donny"
"Woolwich Bagnet"
"Peffer"
"Mr Tangle"
