"","Character","Node","Type","Appearances"
"1","Ada Clare",13,"First Appearance",126
"2","Ada Clare",387,"Last Appearance",126
"3","Alfred Pardiggle",44,"Last Appearance",2
"4","Alfred Pardiggle",43,"First Appearance",2
"5","Allan Woodcourt",388,"Last Appearance",45
"6","Allan Woodcourt",86,"First Appearance",45
"7","Arethusa Skimpole",364,"Last Appearance",4
"8","Arethusa Skimpole",259,"First Appearance",4
"9","Bartholomew Smallweed",244,"Last Appearance",9
"10","Bartholomew Smallweed",120,"First Appearance",9
"11","Bob Stables",346,"Last Appearance",5
"12","Bob Stables",5,"First Appearance",5
"13","Captain Hawden",321,"Last Appearance",10
"14","Captain Hawden",21,"First Appearance",10
"15","Captain Swosser",101,"Last Appearance",4
"16","Captain Swosser",75,"First Appearance",4
"17","Caroline Caddy",387,"Last Appearance",37
"18","Caroline Caddy",16,"First Appearance",37
"19","Charley",387,"Last Appearance",43
"20","Charley",91,"First Appearance",43
"21","Coavinses",366,"Last Appearance",11
"22","Coavinses",32,"First Appearance",11
"23","Conversation Kenge",383,"Last Appearance",26
"24","Conversation Kenge",9,"First Appearance",26
"25","Darby",136,"Last Appearance",2
"26","Darby",135,"First Appearance",2
"27","Egbert Pardiggle",43,"First Appearance",3
"28","Egbert Pardiggle",45,"Last Appearance",3
"29","Emma Neckett",387,"Last Appearance",8
"30","Emma Neckett",91,"First Appearance",8
"31","Esther Summerson",7,"First Appearance",86
"32","Esther Summerson",388,"Last Appearance",86
"33","Francis Pardiggle",43,"First Appearance",2
"34","Francis Pardiggle",45,"Last Appearance",2
"35","George Rouncewell",128,"First Appearance",46
"36","George Rouncewell",376,"Last Appearance",46
"37","Grandfather Smallweed",371,"Last Appearance",30
"38","Grandfather Smallweed",120,"First Appearance",30
"39","Guster",56,"First Appearance",16
"40","Guster",356,"Last Appearance",16
"41","Inspector Bucket",133,"First Appearance",51
"42","Inspector Bucket",375,"Last Appearance",51
"43","James George Bogsby",199,"First Appearance",2
"44","James George Bogsby",203,"Last Appearance",2
"45","Jenny",345,"Last Appearance",12
"46","Jenny",47,"First Appearance",12
"47","Jo",65,"First Appearance",34
"48","Jo",377,"Last Appearance",34
"49","Jobling",120,"First Appearance",24
"50","Jobling",381,"Last Appearance",24
"51","John Jarndyce",9,"First Appearance",102
"52","John Jarndyce",382,"Last Appearance",102
"53","Judy Smallweed",279,"Last Appearance",19
"54","Judy Smallweed",126,"First Appearance",19
"55","Kitty Skimpole",364,"Last Appearance",4
"56","Kitty Skimpole",259,"First Appearance",4
"57","Krook",21,"First Appearance",30
"58","Krook",370,"Last Appearance",30
"59","Lady Dedlock",4,"First Appearance",77
"60","Lady Dedlock",385,"Last Appearance",77
"61","Laura Skimpole",259,"First Appearance",4
"62","Laura Skimpole",364,"Last Appearance",4
"63","Lawrence Boythorn",385,"Last Appearance",25
"64","Lawrence Boythorn",50,"First Appearance",25
"65","Little Swills",64,"First Appearance",7
"66","Little Swills",243,"Last Appearance",7
"67","Liz",136,"First Appearance",5
"68","Liz",341,"Last Appearance",5
"69","Lord Boodle",70,"First Appearance",4
"70","Lord Boodle",386,"Last Appearance",4
"71","Mademoiselle Hortense",326,"Last Appearance",13
"72","Mademoiselle Hortense",69,"First Appearance",13
"73","Malta Bagnet",167,"First Appearance",10
"74","Malta Bagnet",330,"Last Appearance",10
"75","Matthew Bagnet",167,"First Appearance",20
"76","Matthew Bagnet",330,"Last Appearance",20
"77","Mercury",5,"First Appearance",20
"78","Mercury",332,"Last Appearance",20
"79","Miss Barbary",332,"Last Appearance",4
"80","Miss Barbary",9,"First Appearance",4
"81","Miss Donny",11,"First Appearance",1
"82","Miss Donny",11,"Last Appearance",1
