"source" "target" "tag"
4 5 "Lady Dedlock"
4 5 "Sir Dedlock"
5 6 "Lady Dedlock"
5 6 "Mercury"
5 6 "Mr Tulkinghorn"
5 6 "Sir Dedlock"
7 8 "Esther Summerson"
7 8 "Mrs Chadband"
8 9 "Esther Summerson"
8 9 "Mrs Chadband"
9 10 "Conversation Kenge"
9 10 "Mrs Chadband"
10 11 "Conversation Kenge"
9 11 "Esther Summerson"
9 11 "John Jarndyce"
11 12 "Conversation Kenge"
11 12 "Esther Summerson"
12 13 "Conversation Kenge"
11 13 "John Jarndyce"
13 14 "Ada Clare"
13 14 "Conversation Kenge"
13 14 "John Jarndyce"
13 14 "Richard Carstone"
14 15 "Conversation Kenge"
14 15 "John Jarndyce"
14 15 "Richard Carstone"
14 16 "Ada Clare"
15 16 "John Jarndyce"
15 16 "Mrs Jellyby"
15 16 "Richard Carstone"
16 17 "Ada Clare"
16 17 "Caroline Caddy"
15 17 "Mr Jellyby"
16 17 "Mrs Jellyby"
16 17 "Peepy Jellby"
16 17 "Richard Carstone"
17 18 "Ada Clare"
12 18 "Esther Summerson"
16 18 "John Jarndyce"
17 18 "Mr Jellyby"
17 18 "Mrs Jellyby"
17 18 "Peepy Jellby"
17 18 "Richard Carstone"
18 19 "Ada Clare"
18 19 "Peepy Jellby"
19 20 "Ada Clare"
18 20 "Mr Quale"
19 20 "Peepy Jellby"
19 20 "Priscilla"
18 20 "Richard Carstone"
20 21 "Ada Clare"
20 21 "Richard Carstone"
21 22 "Ada Clare"
21 22 "Krook"
21 22 "Richard Carstone"
22 23 "Ada Clare"
22 23 "Richard Carstone"
23 24 "Ada Clare"
23 24 "Richard Carstone"
24 25 "Ada Clare"
17 25 "Caroline Caddy"
18 25 "John Jarndyce"
22 25 "Krook"
18 25 "Mrs Jellyby"
20 25 "Peepy Jellby"
24 25 "Richard Carstone"
25 26 "Ada Clare"
25 26 "John Jarndyce"
25 26 "Richard Carstone"
26 27 "Ada Clare"
18 27 "Esther Summerson"
26 27 "John Jarndyce"
25 27 "Mrs Jellyby"
26 27 "Richard Carstone"
27 28 "Ada Clare"
25 28 "Caroline Caddy"
27 28 "Esther Summerson"
27 28 "John Jarndyce"
25 28 "Peepy Jellby"
27 28 "Richard Carstone"
28 29 "Ada Clare"
28 29 "John Jarndyce"
27 29 "Mrs Jellyby"
28 29 "Richard Carstone"
29 30 "Ada Clare"
