"Character","Node","Appearances"
"Adams",100,4
"Adams",107,4
"Adams",104,4
"Adams",118,4
"Agnes Wickfield",118,87
"Agnes Wickfield",277,87
"Agnes Wickfield",342,87
"Agnes Wickfield",228,87
"Agnes Wickfield",329,87
"Agnes Wickfield",165,87
"Agnes Wickfield",119,87
"Agnes Wickfield",337,87
"Agnes Wickfield",354,87
"Agnes Wickfield",231,87
"Agnes Wickfield",156,87
"Agnes Wickfield",385,87
"Agnes Wickfield",382,87
"Agnes Wickfield",216,87
"Agnes Wickfield",253,87
"Agnes Wickfield",344,87
"Agnes Wickfield",112,87
"Agnes Wickfield",384,87
"Agnes Wickfield",247,87
"Agnes Wickfield",175,87
"Agnes Wickfield",381,87
"Agnes Wickfield",380,87
"Agnes Wickfield",268,87
"Agnes Wickfield",373,87
"Agnes Wickfield",104,87
"Agnes Wickfield",249,87
"Agnes Wickfield",383,87
"Agnes Wickfield",262,87
"Agnes Wickfield",122,87
"Agnes Wickfield",157,87
"Agnes Wickfield",272,87
"Agnes Wickfield",191,87
"Agnes Wickfield",167,87
"Agnes Wickfield",227,87
"Agnes Wickfield",270,87
"Agnes Wickfield",278,87
"Agnes Wickfield",164,87
"Agnes Wickfield",283,87
"Agnes Wickfield",252,87
"Agnes Wickfield",226,87
"Agnes Wickfield",327,87
"Agnes Wickfield",365,87
"Agnes Wickfield",264,87
"Agnes Wickfield",330,87
"Agnes Wickfield",105,87
"Agnes Wickfield",125,87
"Agnes Wickfield",101,87
"Agnes Wickfield",266,87
"Agnes Wickfield",334,87
"Agnes Wickfield",276,87
"Agnes Wickfield",254,87
"Agnes Wickfield",168,87
"Agnes Wickfield",102,87
"Agnes Wickfield",111,87
"Agnes Wickfield",166,87
"Agnes Wickfield",386,87
"Agnes Wickfield",99,87
"Agnes Wickfield",372,87
"Agnes Wickfield",160,87
"Agnes Wickfield",163,87
"Agnes Wickfield",338,87
"Agnes Wickfield",251,87
"Agnes Wickfield",339,87
"Agnes Wickfield",371,87
"Agnes Wickfield",161,87
"Agnes Wickfield",360,87
"Agnes Wickfield",123,87
"Agnes Wickfield",162,87
"Agnes Wickfield",124,87
"Agnes Wickfield",307,87
"Agnes Wickfield",186,87
"Agnes Wickfield",103,87
"Agnes Wickfield",333,87
"Agnes Wickfield",370,87
"Agnes Wickfield",108,87
"Agnes Wickfield",379,87
"Agnes Wickfield",225,87
"Agnes Wickfield",269,87
"Agnes Wickfield",250,87
"Agnes Wickfield",117,87
"Agnes Wickfield",224,87
"Agnes Wickfield",267,87
"Agnes Wickfield",361,87
"Agnes Wickfield",170,87
"Agnes Wickfield",357,87
"Agnes Wickfield",341,87
"Agnes Wickfield",387,87
"Annie Strong",289,24
"Annie Strong",272,24
"Annie Strong",231,24
"Annie Strong",229,24
"Annie Strong",230,24
"Annie Strong",102,24
"Annie Strong",105,24
