"source" "target" "tag"
1 2 "Miss Betsey Trotwood"
2 3 "Clara Copperfield"
2 3 "Miss Betsey Trotwood"
3 4 "Clara Copperfield"
3 4 "Clara Peggotty"
3 4 "Miss Betsey Trotwood"
4 5 "Clara Copperfield"
4 5 "Miss Betsey Trotwood"
4 5 "Mr Chillip"
5 6 "Clara Copperfield"
4 6 "Clara Peggotty"
6 7 "Clara Copperfield"
6 7 "Clara Peggotty"
2 7 "David Copperfield"
5 7 "Mr Chillip"
7 8 "Clara Copperfield"
7 8 "Clara Peggotty"
8 9 "Clara Copperfield"
8 9 "Clara Peggotty"
7 9 "David Copperfield"
9 10 "Clara Copperfield"
9 10 "David Copperfield"
9 10 "Mr Murdstone"
10 11 "Clara Copperfield"
9 11 "Clara Peggotty"
10 11 "David Copperfield"
4 11 "Ham Peggotty"
10 11 "Mr Murdstone"
11 12 "Clara Peggotty"
12 13 "Clara Peggotty"
11 13 "David Copperfield"
11 13 "Ham Peggotty"
11 14 "Clara Copperfield"
13 14 "Clara Peggotty"
13 14 "Ham Peggotty"
14 15 "Clara Copperfield"
14 15 "Clara Peggotty"
14 15 "Daniel Peggotty"
14 15 "Ham Peggotty"
14 15 "Little Emily"
15 16 "Daniel Peggotty"
15 16 "Ham Peggotty"
15 16 "Little Emily"
15 16 "Mrs Gummidge"
15 17 "Clara Peggotty"
16 17 "Daniel Peggotty"
13 17 "David Copperfield"
16 17 "Ham Peggotty"
16 17 "Little Emily"
16 17 "Mrs Gummidge"
15 18 "Clara Copperfield"
17 18 "Clara Peggotty"
17 18 "Daniel Peggotty"
17 18 "David Copperfield"
17 18 "Ham Peggotty"
17 18 "Little Emily"
17 18 "Mrs Gummidge"
18 19 "Clara Copperfield"
18 19 "Clara Peggotty"
18 19 "David Copperfield"
11 19 "Mr Murdstone"
19 20 "Clara Copperfield"
19 20 "Clara Peggotty"
19 20 "David Copperfield"
18 20 "Little Emily"
18 20 "Mr Gummidge"
19 20 "Mr Murdstone"
18 20 "Mrs Gummidge"
20 21 "Clara Copperfield"
20 21 "Clara Peggotty"
20 21 "Mrs Gummidge"
21 22 "Clara Copperfield"
21 22 "Clara Peggotty"
21 22 "Jane Murdstone"
20 22 "Mr Murdstone"
22 23 "Clara Copperfield"
22 23 "Clara Peggotty"
22 23 "Jane Murdstone"
22 23 "Mr Murdstone"
23 24 "Clara Copperfield"
20 24 "David Copperfield"
23 24 "Jane Murdstone"
23 24 "Mr Murdstone"
24 25 "Clara Copperfield"
24 25 "David Copperfield"
24 25 "Jane Murdstone"
24 25 "Mr Murdstone"
24 25 "Tom Jones"
25 26 "Clara Copperfield"
23 26 "Clara Peggotty"
25 26 "David Copperfield"
25 26 "Jane Murdstone"
25 26 "Mr Murdstone"
26 27 "Clara Copperfield"
26 27 "Clara Peggotty"
18 27 "Daniel Peggotty"
26 27 "David Copperfield"
18 27 "Ham Peggotty"
26 27 "Jane Murdstone"
20 27 "Little Emily"
26 27 "Mr Murdstone"
21 27 "Mrs Gummidge"
27 28 "Clara Copperfield"
27 28 "Clara Peggotty"
27 28 "David Copperfield"
28 29 "Barkis"
27 29 "Daniel Peggotty"
27 29 "Little Emily"
28 30 "Clara Peggotty"
30 31 "Clara Peggotty"
28 31 "David Copperfield"
27 31 "Mr Murdstone"
31 32 "Clara Peggotty"
31 32 "Mr Murdstone"
31 33 "David Copperfield"
32 33 "Mrs Fibbitson"
28 34 "Clara Copperfield"
32 34 "Clara Peggotty"
33 34 "David Copperfield"
30 34 "George Demple"
33 34 "Mr Mell"
34 35 "Clara Peggotty"
27 35 "Jane Murdstone"
34 35 "Mr Creakle"
34 35 "Mr Mell"
32 35 "Mr Murdstone"
34 36 "Miss Creakle"
35 36 "Mr Creakle"
