"root_node_id" "tag"
"1" "Miss Betsey Trotwood"
"2" "Clara Copperfield"
"2" "David Copperfield"
"3" "Clara Peggotty"
"4" "Ham Peggotty"
"4" "Mr Chillip"
"9" "Mr Murdstone"
"10" "Mr Passnidge"
"10" "Mr Quinion"
"11" "Mrs Grayper"
"14" "Daniel Peggotty"
"14" "Little Emily"
"15" "Mrs Gummidge"
"18" "Mr Gummidge"
"21" "Jane Murdstone"
"24" "Tom Jones"
"28" "Barkis"
"29" "Topsawyer"
"30" "George Demple"
"32" "Mrs Fibbitson"
"33" "Mr Mell"
"34" "Miss Creakle"
"34" "Mr Creakle"
"34" "Mrs Creakle"
"34" "Tommy Traddles"
"35" "James Steerforth"
"37" "Mr Sharp"
"38" "Mrs Mell"
"38" "Tungay"
"56" "Minnie Joram"
"56" "Mr Omer"
"57" "Mr Joram"
"58" "Mr Grayper"
"69" "Mealy Potatoes"
"69" "Mick Walker"
"70" "Miss Micawber"
"70" "Mr Micawber"
"70" "Mrs Micawber"
"72" "Gregory"
"72" "Tipp"
"73" "Clickett"
"74" "Captain Hopkins"
"80" "Mr Dolloby"
"82" "Charley Pyegrave"
"85" "Janet"
"85" "Mr Dick"
"96" "Mr Wickfield"
"97" "Uriah"
"99" "Agnes Wickfield"
"100" "Adams"
"100" "Annie Strong"
"100" "Doctor Strong"
"100" "Jack Maldon"
"105" "Mrs Markleham"
"112" "Mrs Heep"
"117" "Miss Shepherd"
"117" "Misses Nettingall"
"118" "Miss Larkins"
"118" "Mr Larkins"
"119" "Captain Bailey"
"119" "Mr Chestle"
"125" "William"
"129" "Mrs Steerforth"
"129" "Rosa Dartle"
"132" "Littimer"
"144" "Miss Mowcher"
"145" "Lady Mithers"
"145" "Mithers"
"148" "Martha Endell"
"153" "Mr Jorkins"
"154" "Mr Spenlow"
"156" "Mrs Crupp"
"158" "Grainger"
"158" "Markham"
"161" "Mr Waterbrook"
"163" "Mr Henry Spiker"
"163" "Mrs Henry Spiker"
"163" "Mrs Waterbrook"
"164" "Mr Gulpidge"
"164" "Mrs Gulpidge"
"171" "Mr Tiffey"
"178" "Yawler"
"212" "Julia Mills"
"214" "Mr Mills"
"215" "Miss Kitt"
"217" "Sarah Crewler"
"217" "Sophy Crewler"
"245" "Clarissa Spenlow"
"245" "Lavinia Spenlow"
"260" "Mrs Crewler"
"260" "Reverend Crewler"
"279" "Mary Anne Paragon"
"364" "Caroline Crewler"
"364" "Louisa Crewler"
"368" "Mrs Chillip"
