"Character","Node","Type","Appearances"
"Alex Macstinger",114,"First Appearance",7
"Alex Macstinger",379,"Last Appearance",7
"Alice Brown",215,"First Appearance",16
"Alice Brown",365,"Last Appearance",16
"Anne",366,"First Appearance",1
"Anne",366,"Last Appearance",1
"Barnet Skettles Jr",178,"Last Appearance",5
"Barnet Skettles Jr",89,"First Appearance",5
"Berinthia",46,"First Appearance",6
"Berinthia",369,"Last Appearance",6
"Bill Bitherstone",56,"First Appearance",2
"Bill Bitherstone",57,"Last Appearance",2
"Briggs",69,"First Appearance",9
"Briggs",375,"Last Appearance",9
"Captain Bunsby",379,"Last Appearance",14
"Captain Bunsby",96,"First Appearance",14
"Captain Cuttle",387,"Last Appearance",91
"Captain Cuttle",20,"First Appearance",91
"Charles Macstinger",245,"First Appearance",2
"Charles Macstinger",246,"Last Appearance",2
"Cornelia Blimber",64,"First Appearance",25
"Cornelia Blimber",377,"Last Appearance",25
"Cousin Feenix",385,"Last Appearance",23
"Cousin Feenix",130,"First Appearance",23
"Diogenes",351,"Last Appearance",26
"Diogenes",91,"First Appearance",26
"Doctor Blimber",63,"First Appearance",29
"Doctor Blimber",377,"Last Appearance",29
"Doctor Parker Peps",2,"First Appearance",4
"Doctor Parker Peps",42,"Last Appearance",4
"Florence Dombey",2,"First Appearance",217
"Florence Dombey",388,"Last Appearance",217
"Flowers",253,"Last Appearance",5
"Flowers",230,"First Appearance",5
"Harriet Carker",134,"First Appearance",22
"Harriet Carker",365,"Last Appearance",22
"James Carker",79,"First Appearance",9
"James Carker",361,"Last Appearance",9
"Jemima",7,"First Appearance",5
"Jemima",31,"Last Appearance",5
"Joe",34,"Last Appearance",2
"Joe",33,"First Appearance",2
"John",244,"Last Appearance",8
"John",19,"First Appearance",8
"Johnson",70,"First Appearance",5
"Johnson",259,"Last Appearance",5
"Juliana Macstinger",160,"First Appearance",4
"Juliana Macstinger",379,"Last Appearance",4
"Kate",155,"Last Appearance",2
"Kate",154,"First Appearance",2
"Lady Skettles",375,"Last Appearance",10
"Lady Skettles",89,"First Appearance",10
"Lucretia Tox",3,"First Appearance",60
"Lucretia Tox",386,"Last Appearance",60
"Major Bagstock",38,"First Appearance",57
"Major Bagstock",370,"Last Appearance",57
"Martha",156,"First Appearance",1
"Martha",156,"Last Appearance",1
"Mary Daws",366,"Last Appearance",2
"Mary Daws",178,"First Appearance",2
"Master Bitherstone",46,"First Appearance",11
"Master Bitherstone",375,"Last Appearance",11
"Melia",256,"First Appearance",1
"Melia",256,"Last Appearance",1
"Miss Pankey",46,"First Appearance",3
"Miss Pankey",64,"Last Appearance",3
"Mr Baps",90,"Last Appearance",3
"Mr Baps",88,"First Appearance",3
"Mr Brogley",306,"Last Appearance",8
"Mr Brogley",51,"First Appearance",8
"Mr Carker",362,"Last Appearance",85
"Mr Carker",17,"First Appearance",85
"Mr Chick",6,"First Appearance",13
"Mr Chick",369,"Last Appearance",13
"Mr Clark",34,"Last Appearance",1
"Mr Clark",34,"First Appearance",1
"Mr Dombey",387,"Last Appearance",191
"Mr Dombey",1,"First Appearance",191
"Mr Feeder",377,"Last Appearance",21
"Mr Feeder",64,"First Appearance",21
"Mr Morfin",17,"First Appearance",9
"Mr Morfin",362,"Last Appearance",9
"Mr Perch",76,"First Appearance",22
"Mr Perch",366,"Last Appearance",22
"Mr Pilkins",2,"First Appearance",4
"Mr Pilkins",44,"Last Appearance",4
"Mr Sownds",355,"Last Appearance",7
"Mr Sownds",194,"First Appearance",7
"Mr Toodle",10,"First Appearance",12
"Mr Toodle",369,"Last Appearance",12
"Mr Toots",64,"First Appearance",69
"Mr Toots",387,"Last Appearance",69
"Mrs Baps",88,"First Appearance",2
"Mrs Baps",90,"Last Appearance",2
"Mrs Blimber",377,"Last Appearance",23
"Mrs Blimber",64,"First Appearance",23
"Mrs Blockitt",2,"Last Appearance",1
"Mrs Blockitt",2,"First Appearance",1
"Mrs Bokum",378,"First Appearance",2
"Mrs Bokum",379,"Last Appearance",2
"Mrs Brown",32,"First Appearance",15
"Mrs Brown",325,"Last Appearance",15
"Mrs Chick",369,"Last Appearance",45
"Mrs Chick",3,"First Appearance",45
"Mrs Dombey I",186,"Last Appearance",13
"Mrs Dombey I",1,"First Appearance",13
"Mrs Dombey II",58,"First Appearance",95
"Mrs Dombey II",384,"Last Appearance",95
"Mrs Miff",194,"First Appearance",7
"Mrs Miff",355,"Last Appearance",7
"Mrs Perch",81,"First Appearance",16
"Mrs Perch",367,"Last Appearance",16
"Mrs Polly Toodle",374,"Last Appearance",45
"Mrs Polly Toodle",7,"First Appearance",45
"Mrs Skewton",129,"First Appearance",48
"Mrs Skewton",289,"Last Appearance",48
