"source" "target" "tag"
"1" 1 2 "Mr Dombey"
"2" 1 2 "Mrs Dombey I"
"3" 2 3 "Doctor Parker Peps"
"4" 2 3 "Mr Dombey"
"5" 2 3 "Mrs Dombey I"
"6" 1 3 "Paul Dombey"
"7" 3 4 "Lucretia Tox"
"8" 3 4 "Mr Dombey"
"9" 3 4 "Mrs Chick"
"10" 3 4 "Mrs Dombey I"
"11" 3 4 "Paul Dombey"
"12" 3 5 "Doctor Parker Peps"
"13" 4 5 "Mr Dombey"
"14" 4 5 "Mrs Chick"
"15" 4 5 "Mrs Dombey I"
"16" 4 6 "Lucretia Tox"
"17" 5 6 "Mrs Chick"
"18" 5 6 "Mrs Dombey I"
"19" 4 6 "Paul Dombey"
"20" 6 7 "Lucretia Tox"
"21" 5 7 "Mr Dombey"
"22" 6 7 "Mrs Chick"
"23" 7 8 "Lucretia Tox"
"24" 7 8 "Mr Dombey"
"25" 7 8 "Mrs Chick"
"26" 7 8 "Mrs Polly Toodle"
"27" 7 9 "Jemima"
"28" 8 9 "Lucretia Tox"
"29" 8 9 "Mr Dombey"
"30" 8 9 "Mrs Chick"
"31" 8 9 "Mrs Polly Toodle"
"32" 9 10 "Jemima"
"33" 9 10 "Lucretia Tox"
"34" 9 10 "Mrs Chick"
"35" 9 10 "Mrs Polly Toodle"
"36" 9 10 "Robin Toodle"
"37" 9 11 "Mr Dombey"
"38" 10 11 "Mrs Polly Toodle"
"39" 6 11 "Paul Dombey"
"40" 2 12 "Florence Dombey"
"41" 10 12 "Lucretia Tox"
"42" 11 12 "Mrs Polly Toodle"
"43" 11 12 "Paul Dombey"
"44" 12 13 "Florence Dombey"
"45" 11 13 "Mr Dombey"
"46" 10 13 "Mr Toodle"
"47" 12 13 "Mrs Polly Toodle"
"48" 12 13 "Paul Dombey"
"49" 13 14 "Florence Dombey"
"50" 13 14 "Mr Dombey"
"51" 13 14 "Mrs Polly Toodle"
"52" 13 14 "Paul Dombey"
"53" 14 15 "Florence Dombey"
"54" 14 15 "Mr Dombey"
"55" 14 15 "Mrs Polly Toodle"
"56" 14 15 "Paul Dombey"
"57" 13 15 "Susan Nipper"
"58" 15 17 "Mr Dombey"
"59" 16 17 "Solomon Gills"
"60" 16 17 "Walter Gay"
"61" 17 18 "Solomon Gills"
"62" 17 18 "Walter Gay"
"63" 18 19 "Solomon Gills"
"64" 18 19 "Walter Gay"
"65" 17 20 "Mr Dombey"
"66" 19 20 "Walter Gay"
"67" 12 21 "Lucretia Tox"
"68" 20 21 "Mr Dombey"
"69" 10 21 "Mrs Chick"
"70" 6 21 "Mrs Dombey I"
"71" 15 21 "Mrs Polly Toodle"
"72" 15 21 "Paul Dombey"
"73" 21 22 "Lucretia Tox"
"74" 21 22 "Mr Dombey"
"75" 21 22 "Mrs Chick"
"76" 21 22 "Mrs Polly Toodle"
"77" 21 22 "Paul Dombey"
"78" 15 22 "Susan Nipper"
"79" 15 23 "Florence Dombey"
"80" 22 23 "Lucretia Tox"
"81" 22 23 "Mrs Chick"
"82" 21 23 "Mrs Dombey I"
"83" 22 23 "Mrs Polly Toodle"
"84" 22 23 "Paul Dombey"
"85" 23 24 "Florence Dombey"
"86" 23 24 "Lucretia Tox"
"87" 6 24 "Mr Chick"
"88" 22 24 "Mr Dombey"
"89" 23 24 "Mrs Chick"
"90" 23 24 "Mrs Polly Toodle"
"91" 23 24 "Paul Dombey"
"92" 22 24 "Susan Nipper"
"93" 23 24 "Towlinson"
"94" 24 25 "Florence Dombey"
"95" 19 25 "John"
"96" 24 25 "Lucretia Tox"
"97" 24 25 "Mr Chick"
"98" 24 25 "Mr Dombey"
"99" 24 25 "Mrs Chick"
"100" 24 25 "Mrs Polly Toodle"
"101" 24 25 "Paul Dombey"
"102" 24 25 "Susan Nipper"
"103" 24 25 "Towlinson"
"104" 25 26 "John"
"105" 25 26 "Lucretia Tox"
"106" 25 26 "Mr Chick"
"107" 25 26 "Mr Dombey"
"108" 25 26 "Mrs Chick"
"109" 23 26 "Mrs Dombey I"
"110" 25 26 "Paul Dombey"
"111" 26 27 "John"
"112" 26 27 "Lucretia Tox"
"113" 26 27 "Mr Chick"
"114" 26 27 "Mr Dombey"
"115" 26 27 "Mrs Chick"
"116" 25 27 "Mrs Polly Toodle"
"117" 26 27 "Paul Dombey"
"118" 10 27 "Robin Toodle"
"119" 25 28 "Florence Dombey"
"120" 27 28 "Lucretia Tox"
"121" 27 28 "Mr Chick"
"122" 27 28 "Mr Dombey"
"123" 27 28 "Mrs Chick"
"124" 27 28 "Mrs Polly Toodle"
"125" 27 28 "Paul Dombey"
"126" 25 28 "Susan Nipper"
"127" 28 29 "Florence Dombey"
"128" 28 29 "Mr Dombey"
"129" 28 29 "Mrs Polly Toodle"
"130" 28 29 "Paul Dombey"
"131" 28 29 "Susan Nipper"
"132" 29 30 "Florence Dombey"
"133" 10 30 "Jemima"
"134" 29 30 "Mr Dombey"
"135" 13 30 "Mr Toodle"
"136" 29 30 "Mrs Polly Toodle"
"137" 29 30 "Paul Dombey"
"138" 27 30 "Robin Toodle"
"139" 29 30 "Susan Nipper"
"140" 30 31 "Florence Dombey"
"141" 30 31 "Jemima"
"142" 30 31 "Mrs Polly Toodle"
"143" 30 31 "Robin Toodle"
"144" 30 31 "Susan Nipper"
"145" 31 32 "Florence Dombey"
"146" 32 33 "Florence Dombey"
"147" 32 33 "Mrs Brown"
"148" 33 34 "Florence Dombey"
"149" 33 34 "Joe"
"150" 17 34 "Mr Carker"
"151" 30 34 "Mr Dombey"
"152" 19 34 "Solomon Gills"
"153" 20 34 "Walter Gay"
"154" 34 35 "Florence Dombey"
"155" 34 35 "Mr Carker"
"156" 34 35 "Mr Dombey"
"157" 34 35 "Solomon Gills"
"158" 34 35 "Walter Gay"
"159" 35 36 "Florence Dombey"
"160" 28 36 "Lucretia Tox"
"161" 35 36 "Mr Dombey"
"162" 28 36 "Mrs Chick"
"163" 31 36 "Mrs Polly Toodle"
"164" 35 36 "Solomon Gills"
"165" 31 36 "Susan Nipper"
"166" 35 36 "Walter Gay"
"167" 36 37 "Florence Dombey"
"168" 36 37 "Lucretia Tox"
"169" 36 37 "Mr Dombey"
"170" 36 37 "Mrs Chick"
"171" 36 37 "Mrs Polly Toodle"
"172" 30 37 "Paul Dombey"
"173" 36 37 "Susan Nipper"
"174" 37 38 "Lucretia Tox"
"175" 38 39 "Lucretia Tox"
"176" 38 39 "Major Bagstock"
"177" 37 39 "Mrs Chick"
"178" 37 39 "Paul Dombey"
"179" 39 40 "Lucretia Tox"
"180" 39 40 "Major Bagstock"
"181" 39 40 "Mrs Chick"
"182" 26 40 "Mrs Dombey I"
"183" 39 40 "Paul Dombey"
"184" 40 41 "Lucretia Tox"
"185" 40 41 "Major Bagstock"
"186" 28 41 "Mr Chick"
"187" 37 41 "Mr Dombey"
"188" 40 41 "Mrs Chick"
"189" 37 41 "Mrs Polly Toodle"
"190" 40 41 "Paul Dombey"
"191" 5 42 "Doctor Parker Peps"
"192" 37 42 "Florence Dombey"
"193" 41 42 "Lucretia Tox"
"194" 41 42 "Mr Dombey"
"195" 2 42 "Mr Pilkins"
"196" 41 42 "Paul Dombey"
"197" 42 43 "Florence Dombey"
"198" 42 43 "Lucretia Tox"
"199" 42 43 "Mr Dombey"
"200" 42 43 "Mr Pilkins"
"201" 41 43 "Mrs Chick"
"202" 41 43 "Mrs Wickam"
"203" 42 43 "Paul Dombey"
"204" 43 44 "Lucretia Tox"
"205" 43 44 "Mr Dombey"
"206" 43 44 "Mr Pilkins"
"207" 43 44 "Mrs Chick"
"208" 43 44 "Mrs Wickam"
"209" 43 44 "Paul Dombey"
"210" 25 44 "Towlinson"
"211" 43 45 "Florence Dombey"
"212" 44 45 "Lucretia Tox"
"213" 44 45 "Mr Dombey"
"214" 44 45 "Mrs Chick"
"215" 44 45 "Mrs Wickam"
"216" 44 45 "Paul Dombey"
"217" 45 46 "Florence Dombey"
"218" 45 46 "Lucretia Tox"
"219" 45 46 "Mr Dombey"
"220" 45 46 "Mrs Chick"
"221" 45 46 "Mrs Wickam"
"222" 45 46 "Paul Dombey"
"223" 46 47 "Berinthia"
"224" 46 47 "Florence Dombey"
"225" 46 47 "Master Bitherstone"
"226" 46 47 "Miss Pankey"
"227" 46 47 "Mr Dombey"
"228" 46 47 "Mrs Wickam"
"229" 46 47 "Paul Dombey"
"230" 47 48 "Berinthia"
"231" 47 48 "Florence Dombey"
"232" 47 48 "Mrs Wickam"
"233" 47 48 "Paul Dombey"
"234" 48 49 "Berinthia"
"235" 48 49 "Florence Dombey"
"236" 48 49 "Mrs Wickam"
"237" 48 49 "Paul Dombey"
"238" 20 50 "Captain Cuttle"
"239" 49 50 "Florence Dombey"
"240" 47 50 "Mr Dombey"
"241" 33 50 "Mrs Brown"
"242" 49 50 "Mrs Wickam"
"243" 36 50 "Solomon Gills"
"244" 37 50 "Susan Nipper"
"245" 36 50 "Walter Gay"
"246" 35 51 "Mr Carker"
"247" 50 51 "Solomon Gills"
"248" 50 51 "Walter Gay"
