"","V1","V2"
"1","Mr Dombey","Mrs Dombey I"
"2","Mr Dombey","Paul Dombey"
"3","Mrs Dombey I","Paul Dombey"
"4","Doctor Parker Peps","Florence Dombey"
"5","Doctor Parker Peps","Mr Dombey"
"6","Doctor Parker Peps","Mr Pilkins"
"7","Doctor Parker Peps","Mrs Blockitt"
"8","Doctor Parker Peps","Mrs Dombey I"
"9","Florence Dombey","Mr Dombey"
"10","Florence Dombey","Mr Pilkins"
"11","Florence Dombey","Mrs Blockitt"
"12","Florence Dombey","Mrs Dombey I"
"13","Mr Dombey","Mr Pilkins"
"14","Mr Dombey","Mrs Blockitt"
"15","Mr Pilkins","Mrs Blockitt"
"16","Mr Pilkins","Mrs Dombey I"
"17","Mrs Blockitt","Mrs Dombey I"
"18","Doctor Parker Peps","Lucretia Tox"
"19","Doctor Parker Peps","Mrs Chick"
"20","Doctor Parker Peps","Paul Dombey"
"21","Lucretia Tox","Mr Dombey"
"22","Lucretia Tox","Mrs Chick"
"23","Lucretia Tox","Mrs Dombey I"
"24","Lucretia Tox","Paul Dombey"
"25","Mr Dombey","Mrs Chick"
"26","Mrs Chick","Mrs Dombey I"
"27","Mrs Chick","Paul Dombey"
"28","Lucretia Tox","Mr Chick"
"29","Mr Chick","Mrs Chick"
"30","Mr Chick","Mrs Dombey I"
"31","Mr Chick","Paul Dombey"
"32","Jemima","Lucretia Tox"
"33","Jemima","Mr Dombey"
"34","Jemima","Mrs Chick"
"35","Jemima","Mrs Polly Toodle"
"36","Lucretia Tox","Mrs Polly Toodle"
"37","Mr Dombey","Mrs Polly Toodle"
"38","Mrs Chick","Mrs Polly Toodle"
"39","Jemima","Robin Toodle"
"40","Lucretia Tox","Robin Toodle"
"41","Mr Dombey","Robin Toodle"
"42","Mrs Chick","Robin Toodle"
"43","Mrs Polly Toodle","Robin Toodle"
"44","Jemima","Mr Toodle"
"45","Lucretia Tox","Mr Toodle"
"46","Mr Toodle","Mrs Chick"
"47","Mr Toodle","Mrs Polly Toodle"
"48","Mr Toodle","Robin Toodle"
"49","Mrs Polly Toodle","Paul Dombey"
"50","Florence Dombey","Lucretia Tox"
"51","Florence Dombey","Mrs Polly Toodle"
"52","Florence Dombey","Paul Dombey"
"53","Florence Dombey","Mr Toodle"
"54","Florence Dombey","Susan Nipper"
"55","Mr Dombey","Mr Toodle"
"56","Mr Dombey","Susan Nipper"
"57","Mr Toodle","Paul Dombey"
"58","Mr Toodle","Susan Nipper"
"59","Mrs Polly Toodle","Susan Nipper"
"60","Paul Dombey","Susan Nipper"
"61","Solomon Gills","Walter Gay"
"62","Mr Carker","Mr Dombey"
"63","Mr Carker","Mr Morfin"
"64","Mr Carker","Solomon Gills"
"65","Mr Carker","Walter Gay"
"66","Mr Dombey","Mr Morfin"
"67","Mr Dombey","Solomon Gills"
"68","Mr Dombey","Walter Gay"
"69","Mr Morfin","Solomon Gills"
"70","Mr Morfin","Walter Gay"
"71","John","Solomon Gills"
"72","John","Walter Gay"
"73","Captain Cuttle","Mr Dombey"
"74","Captain Cuttle","Walter Gay"
"75","Mrs Dombey I","Mrs Polly Toodle"
"76","Lucretia Tox","Susan Nipper"
"77","Mrs Chick","Susan Nipper"
"78","Florence Dombey","Mrs Chick"
"79","Florence Dombey","Towlinson"
