"V1","V2"
"2","EmmaWoodhouse"
"2","MrsIsabellaKnightley"
"2","MrsWeston"
"2","MrWeston"
"3","EmmaWoodhouse"
"3","MrGeorgeKnightley"
"3","MrsWeston"
"3","MrWeston"
"3","MrWoodhouse"
"4","EmmaWoodhouse"
"4","MrGeorgeKnightley"
"4","MrWoodhouse"
"5","MrsWeston"
"5","MrWeston"
"6","EmmaWoodhouse"
"6","FrankChurchill"
"6","MrsWeston"
"6","MrWeston"
"7","EmmaWoodhouse"
"7","MissBates"
"7","MrGeorgeKnightley"
"7","MrPhillipElton"
"7","MrsWeston"
"7","MrWeston"
"8","EmmaWoodhouse"
"8","Harriet Smith"
"8","MissBates"
"8","MrGeorgeKnightley"
"8","MrsGoddard"
"9","EmmaWoodhouse"
"9","Harriet Smith"
"9","MrsGoddard"
"9","MrsWeston"
"10","EmmaWoodhouse"
"10","Harriet Smith"
"10","MrsGoddard"
"10","MrsMartin"
"10","RobertMartin"
"11","EmmaWoodhouse"
"11","Harriet Smith"
"11","MrGeorgeKnightley"
"11","MrPhillipElton"
"11","MrWeston"
"11","RobertMartin"
"12","EmmaWoodhouse"
"12","Harriet Smith"
"12","MrGeorgeKnightley"
"12","MrPhillipElton"
"12","RobertMartin"
"13","EmmaWoodhouse"
"13","FrankChurchill"
"13","Harriet Smith"
"13","MrGeorgeKnightley"
"13","MrsIsabellaKnightley"
"13","MrsWeston"
"13","MrWeston"
"14","EmmaWoodhouse"
"14","Harriet Smith"
"14","MrGeorgeKnightley"
"14","MrsIsabellaKnightley"
"14","MrsWeston"
"14","MrWeston"
"15","EmmaWoodhouse"
"15","Harriet Smith"
"15","MrPhillipElton"
"15","MrsWeston"
"16","EmmaWoodhouse"
"16","Harriet Smith"
"16","JohnKnightley"
"16","MrPhillipElton"
"16","MrsIsabellaKnightley"
"16","MrsWeston"
"17","EmmaWoodhouse"
"17","Harriet Smith"
"17","MrGeorgeKnightley"
"17","MrPhillipElton"
"17","MrsIsabellaKnightley"
"17","MrsWeston"
"17","MrWoodhouse"
"18","EmmaWoodhouse"
"18","Harriet Smith"
"18","MrPhillipElton"
"18","MrsGoddard"
"18","RobertMartin"
"19","EmmaWoodhouse"
"19","Harriet Smith"
"19","MrPhillipElton"
"19","RobertMartin"
"20","EmmaWoodhouse"
"20","Harriet Smith"
"20","MissNash"
"20","MrPhillipElton"
"20","MrsGoddard"
"20","RobertMartin"
"21","EmmaWoodhouse"
"21","Harriet Smith"
"21","MrGeorgeKnightley"
"21","MrPhillipElton"
"21","MrsGoddard"
"21","RobertMartin"
"22","EmmaWoodhouse"
"22","Harriet Smith"
"22","MrGeorgeKnightley"
"22","MrsGoddard"
"22","RobertMartin"
"23","ElizabethMartin"
"23","EmmaWoodhouse"
"23","Harriet Smith"
"23","Miss Martin"
"23","MrGeorgeKnightley"
"23","MrsGoddard"
"23","MrsMartin"
"23","RobertMartin"
"24","EmmaWoodhouse"
"24","FrankChurchill"
"24","Harriet Smith"
"24","MissNash"
"24","MrGeorgeKnightley"
"24","MrPerry"
"24","MrPhillipElton"
"24","MrsGoddard"
"24","RobertMartin"
"25","MissNash"
"25","MrPerry"
"25","MrPhillipElton"
"25","MrsGoddard"
"26","EmmaWoodhouse"
"26","Harriet Smith"
"26","MissNash"
"26","MrGeorgeKnightley"
"26","MrPerry"
"26","MrPhillipElton"
"26","MrsGoddard"
"26","RobertMartin"
"27","EmmaWoodhouse"
"27","Harriet Smith"
"27","MrGeorgeKnightley"
"27","MrPhillipElton"
"28","EmmaWoodhouse"
"28","Harriet Smith"
"28","MissNash"
"28","MrPhillipElton"
"28","RobertMartin"
"29","EmmaWoodhouse"
"29","Harriet Smith"
"29","HenryKnightley"
"29","JohnKnightley"
"29","MrGeorgeKnightley"
"29","MrsBates"
"29","MrsIsabellaKnightley"
"29","MrsWeston"
"29","MrWeston"
"29","MrWoodhouse"
"30","EmmaWoodhouse"
"30","Harriet Smith"
"30","HenryKnightley"
"30","JohnKnightley"
"30","MrCole"
"30","MrGeorgeKnightley"
"30","MrPhillipElton"
"30","MrWoodhouse"
"31","EmmaWoodhouse"
"31","Harriet Smith"
"31","MissBates"
"31","MissNash"
"31","MrPhillipElton"
"32","EmmaWoodhouse"
"32","Harriet Smith"
"32","MissBates"
"32","MrPhillipElton"
"32","MrsBates"
"33","EmmaWoodhouse"
"33","Harriet Smith"
"33","MrCole"
"33","MrPhillipElton"
"34","EmmaWoodhouse"
"34","JohnKnightley"
"34","MrPerry"
"34","MrPhillipElton"
"34","MrsIsabellaKnightley"
"35","EmmaWoodhouse"
"35","HenryKnightley"
"35","JohnKnightley"
"35","LittleJohnKnightley"
"35","MrsIsabellaKnightley"
"35","MrsWeston"
"35","MrWeston"
"35","MrWoodhouse"
"35","OldMrChurchill"
"36","EmmaWoodhouse"
"36","MrWeston"
"37","EmmaWoodhouse"
"37","JohnKnightley"
"37","MrGeorgeKnightley"
"37","MrsIsabellaKnightley"
"37","RobertMartin"
"38","EmmaWoodhouse"
"38","JohnKnightley"
"38","LitteIsabellaKnightley"
"38","MissBates"
"38","Mr. Wingfield"
"38","MrGeorgeKnightley"
"38","MrPerry"
"38","MrsBates"
"38","MrsIsabellaKnightley"
"38","MrsPerry"
"39","EmmaWoodhouse"
"39","Harriet Smith"
"39","JohnKnightley"
"39","MissJaneFairfax"
"39","Mr. Wingfield"
"39","MrPerry"
"39","MrsBates"
"39","MrsIsabellaKnightley"
"40","MrGeorgeKnightley"
"40","MrPerry"
"41","EmmaWoodhouse"
"41","Harriet Smith"
"41","JohnKnightley"
"41","MrGeorgeKnightley"
"41","MrPerry"
"41","MrPhillipElton"
"41","MrsGoddard"
"41","MrsWeston"
"41","MrWeston"
"42","EmmaWoodhouse"
"42","Harriet Smith"
"42","JohnKnightley"
"42","MrPhillipElton"
"42","MrsGoddard"
"43","EmmaWoodhouse"
"43","Harriet Smith"
"43","JohnKnightley"
"43","MrGeorgeKnightley"
"43","MrPerry"
"43","MrPhillipElton"
"43","MrsGoddard"
"43","MrsWeston"
"43","MrWeston"
"44","EmmaWoodhouse"
"44","FrankChurchill"
"44","Harriet Smith"
"44","JohnKnightley"
"44","MrPhillipElton"
"44","MrsIsabellaKnightley"
"44","MrsWeston"
"44","MrWeston"
"45","EmmaWoodhouse"
"45","FrankChurchill"
"45","MrsChurchill"
"45","MrsIsabellaKnightley"
"45","MrsWeston"
"45","MrWeston"
"46","EmmaWoodhouse"
"46","FrankChurchill"
"46","MrsChurchill"
"46","MrsWeston"
"46","MrWeston"
"47","EmmaWoodhouse"
"47","FrankChurchill"
