"root_node_id" "tag"
"1" "EmmaWoodhouse"
"1" "MrsIsabellaKnightley"
"1" "MrsWeston"
"1" "MrWeston"
"2" "Hannah"
"2" "MrGeorgeKnightley"
"2" "MrWoodhouse"
"3" "FarmerMitchell"
"4" "MrPhillipElton"
"5" "FrankChurchill"
"5" "MrsChurchill"
"5" "OldMrChurchill"
"6" "MissBates"
"6" "MrPerry"
"6" "MrsPerry"
"7" "Harriet Smith"
"7" "MrsBates"
"7" "MrsGoddard"
"8" "Serle"
"9" "ElizabethMartin"
"9" "Miss Martin"
"9" "MrsMartin"
"9" "RobertMartin"
"10" "MissNash"
"10" "MissPrince"
"10" "MissRichardson"
"14" "JohnKnightley"
"16" "HenryKnightley"
"16" "LitteIsabellaKnightley"
"16" "LittleGeorgeKnightley"
"28" "MrCole"
"29" "LittleJohnKnightley"
"32" "MissJaneFairfax"
"34" "Mr. Wingfield"
"37" "LittleEmmaKnightley"
"39" "ColonelCampbell"
"39" "MrGraham"
"39" "MrsCampbell"
"58" "MrsCole"
"62" "LiutenantFairfax"
"66" "MrsElton"
"66" "Patty"
"69" "MrsBrown"
"81" "MrCoxe"
"88" "WilliamCox"
"89" "JohnSaunders"
"89" "MrsFordEM"
"90" "MrsHodges"
"90" "WilliamLarkins"
"94" "MissGilbert"
"94" "MrsGilbert"
"95" "MrsStokes"
"103" "MrSuckling"
"105" "MrsBird"
"105" "MrsJamesCooper"
"105" "MrsPartridge"
"114" "MrsBragge"
"117" "MrBragge"
"123" "DrHughes"
"123" "MissCaroline Otway"
"123" "MissOtway"
"123" "MrGeorgeOtway"
"123" "MrOtway"
"123" "MrsHughes"
"127" "MissBickerton"
"135" "MrsSuckling"
"146" "MrsSmallridge"
"147" "OldJohnAbdy"
"176" "Harry"
