"id1" "id2" "label"
"ColonelCampbell" "DrHughes" 1
"ColonelCampbell" "ElizabethMartin" 1
"ColonelCampbell" "EmmaWoodhouse" 25
"ColonelCampbell" "FrankChurchill" 15
"ColonelCampbell" "Harriet Smith" 8
"ColonelCampbell" "JohnKnightley" 3
"ColonelCampbell" "JohnSaunders" 1
"ColonelCampbell" "LiutenantFairfax" 1
"ColonelCampbell" "Miss Martin" 1
"ColonelCampbell" "MissBates" 17
"ColonelCampbell" "MissCaroline Otway" 1
"ColonelCampbell" "MissJaneFairfax" 26
"ColonelCampbell" "MissOtway" 1
"ColonelCampbell" "Mr. Wingfield" 1
"ColonelCampbell" "MrBragge" 1
"ColonelCampbell" "MrCole" 3
"ColonelCampbell" "MrGeorgeKnightley" 9
"ColonelCampbell" "MrGeorgeOtway" 1
"ColonelCampbell" "MrGraham" 1
"ColonelCampbell" "MrOtway" 1
"ColonelCampbell" "MrPerry" 4
"ColonelCampbell" "MrPhillipElton" 7
"ColonelCampbell" "MrsBates" 11
"ColonelCampbell" "MrsBragge" 2
"ColonelCampbell" "MrsCampbell" 19
"ColonelCampbell" "MrsChurchill" 2
"ColonelCampbell" "MrsCole" 6
"ColonelCampbell" "MrsElton" 8
"ColonelCampbell" "MrsFordEM" 1
"ColonelCampbell" "MrsGoddard" 1
"ColonelCampbell" "MrsHughes" 1
"ColonelCampbell" "MrsIsabellaKnightley" 3
"ColonelCampbell" "MrsMartin" 1
"ColonelCampbell" "MrsPartridge" 1
"ColonelCampbell" "MrsPerry" 2
"ColonelCampbell" "MrsSmallridge" 1
"ColonelCampbell" "MrsStokes" 1
"ColonelCampbell" "MrsSuckling" 1
"ColonelCampbell" "MrSuckling" 3
"ColonelCampbell" "MrsWeston" 13
"ColonelCampbell" "MrWeston" 6
"ColonelCampbell" "OldJohnAbdy" 1
"ColonelCampbell" "OldMrChurchill" 3
"ColonelCampbell" "Patty" 3
"ColonelCampbell" "RobertMartin" 1
"DrHughes" "EmmaWoodhouse" 1
"DrHughes" "FrankChurchill" 1
"DrHughes" "MissBates" 1
"DrHughes" "MissCaroline Otway" 1
"DrHughes" "MissJaneFairfax" 1
"DrHughes" "MissOtway" 1
"DrHughes" "MrGeorgeOtway" 1
"DrHughes" "MrOtway" 1
"DrHughes" "MrsElton" 1
"DrHughes" "MrsHughes" 1
"DrHughes" "MrsStokes" 1
"DrHughes" "MrsWeston" 1
"DrHughes" "MrWeston" 1
"ElizabethMartin" "EmmaWoodhouse" 8
"ElizabethMartin" "FrankChurchill" 3
"ElizabethMartin" "Harriet Smith" 8
"ElizabethMartin" "JohnKnightley" 2
"ElizabethMartin" "Miss Martin" 7
"ElizabethMartin" "MissBates" 2
"ElizabethMartin" "MissJaneFairfax" 3
"ElizabethMartin" "MissNash" 1
"ElizabethMartin" "MrCole" 2
"ElizabethMartin" "MrGeorgeKnightley" 3
"ElizabethMartin" "MrPhillipElton" 6
"ElizabethMartin" "MrsBates" 2
"ElizabethMartin" "MrsCampbell" 1
"ElizabethMartin" "MrsCole" 1
"ElizabethMartin" "MrsElton" 2
"ElizabethMartin" "MrsGoddard" 6
"ElizabethMartin" "MrsIsabellaKnightley" 1
"ElizabethMartin" "MrsMartin" 7
"ElizabethMartin" "MrsWeston" 3
"ElizabethMartin" "MrWeston" 1
"ElizabethMartin" "OldMrChurchill" 1
"ElizabethMartin" "RobertMartin" 7
"ElizabethMartin" "WilliamCox" 1
"EmmaWoodhouse" "FarmerMitchell" 1
"EmmaWoodhouse" "FrankChurchill" 84
"EmmaWoodhouse" "Hannah" 1
"EmmaWoodhouse" "Harriet Smith" 102
"EmmaWoodhouse" "Harry" 1
"EmmaWoodhouse" "HenryKnightley" 10
"EmmaWoodhouse" "JohnKnightley" 32
"EmmaWoodhouse" "JohnSaunders" 1
