"source" "target" "tag"
"1" 1 2 "Abel Magwitch"
"2" 1 3 "Joe Gargery"
"3" 1 3 "Mrs Joe Gargery"
"4" 1 3 "Pip"
"5" 3 4 "Joe Gargery"
"6" 3 4 "Mrs Joe Gargery"
"7" 3 4 "Pip"
"8" 2 5 "Abel Magwitch"
"9" 4 5 "Joe Gargery"
"10" 4 5 "Mrs Joe Gargery"
"11" 5 6 "Joe Gargery"
"12" 5 7 "Abel Magwitch"
"13" 6 7 "Joe Gargery"
"14" 7 8 "Abel Magwitch"
"15" 7 9 "Joe Gargery"
"16" 5 9 "Mrs Joe Gargery"
"17" 9 10 "Joe Gargery"
"18" 9 10 "Mr Hubble"
"19" 9 10 "Mr Wopsle"
"20" 9 10 "Mrs Hubble"
"21" 9 10 "Mrs Joe Gargery"
"22" 9 10 "Uncle Pumblechook"
"23" 10 11 "Joe Gargery"
"24" 10 11 "Mr Hubble"
"25" 10 11 "Mr Wopsle"
"26" 10 11 "Mrs Hubble"
"27" 10 11 "Mrs Joe Gargery"
"28" 10 11 "Uncle Pumblechook"
"29" 11 12 "Joe Gargery"
"30" 11 12 "Mr Hubble"
"31" 11 12 "Mr Wopsle"
"32" 11 12 "Mrs Joe Gargery"
"33" 4 12 "Pip"
"34" 11 12 "Uncle Pumblechook"
"35" 12 13 "Joe Gargery"
"36" 12 13 "Mr Wopsle"
"37" 12 13 "Mrs Joe Gargery"
"38" 12 13 "Uncle Pumblechook"
"39" 13 14 "Joe Gargery"
"40" 12 14 "Mr Hubble"
"41" 13 14 "Mr Wopsle"
"42" 13 14 "Mrs Joe Gargery"
"43" 12 14 "Pip"
"44" 13 14 "Uncle Pumblechook"
"45" 8 15 "Abel Magwitch"
"46" 14 15 "Joe Gargery"
"47" 14 15 "Mr Wopsle"
"48" 15 16 "Abel Magwitch"
"49" 15 16 "Compeyson"
"50" 15 16 "Joe Gargery"
"51" 15 16 "Mr Wopsle"
"52" 14 16 "Mrs Joe Gargery"
"53" 16 18 "Joe Gargery"
"54" 16 18 "Mr Wopsle"
"55" 16 18 "Mrs Joe Gargery"
"56" 14 18 "Uncle Pumblechook"
"57" 18 19 "Joe Gargery"
"58" 18 19 "Mr Wopsle"
"59" 18 19 "Mrs Joe Gargery"
"60" 14 19 "Pip"
"61" 19 20 "Joe Gargery"
"62" 19 20 "Pip"
"63" 20 21 "Joe Gargery"
"64" 19 21 "Mrs Joe Gargery"
"65" 20 21 "Pip"
"66" 18 21 "Uncle Pumblechook"
"67" 21 22 "Joe Gargery"
"68" 21 22 "Mrs Joe Gargery"
"69" 21 22 "Pip"
"70" 21 22 "Uncle Pumblechook"
"71" 22 23 "Miss Havisham"
"72" 22 23 "Mrs Joe Gargery"
"73" 22 23 "Pip"
"74" 22 23 "Uncle Pumblechook"
"75" 23 24 "Miss Havisham"
"76" 23 24 "Uncle Pumblechook"
"77" 24 25 "Miss Havisham"
"78" 23 25 "Mrs Joe Gargery"
"79" 24 25 "Uncle Pumblechook"
"80" 25 26 "Estella"
"81" 22 26 "Joe Gargery"
"82" 25 26 "Miss Havisham"
"83" 25 26 "Mrs Joe Gargery"
"84" 23 26 "Pip"
"85" 26 27 "Estella"
"86" 26 27 "Miss Havisham"
"87" 25 27 "Uncle Pumblechook"
"88" 26 28 "Joe Gargery"
"89" 27 28 "Miss Havisham"
"90" 26 28 "Mrs Joe Gargery"
"91" 27 28 "Uncle Pumblechook"
"92" 28 29 "Joe Gargery"
"93" 28 29 "Miss Havisham"
"94" 28 29 "Mrs Joe Gargery"
"95" 26 29 "Pip"
"96" 28 29 "Uncle Pumblechook"
"97" 27 30 "Estella"
"98" 29 30 "Joe Gargery"
"99" 29 30 "Miss Havisham"
"100" 29 30 "Mrs Joe Gargery"
"101" 29 30 "Pip"
"102" 19 31 "Biddy"
"103" 30 31 "Joe Gargery"
"104" 19 31 "Mr Wopsle"
"105" 30 31 "Mrs Joe Gargery"
"106" 30 31 "Pip"
"107" 16 32 "Abel Magwitch"
"108" 31 32 "Joe Gargery"
"109" 31 32 "Mr Wopsle"
"110" 31 32 "Pip"
