"t" "specificity" "diversity" "ShannonWiener" "Pielou" "Richness" "" "" ""
1 0 0 1.38629436111989 1 4 0 NA 0
2 0 1 1.33217904021012 0.960964047443681 4 1 0.5 0
3 0 2 1.58109375017182 0.982388781795621 5 1 0.333333333333333 0
4 0 3 1.54542290319359 0.960225238422717 5 2 0.25 0.16666667163372
5 0 4 1.52924829303769 0.950175388079972 5 2 0.25 0.0800000131130219
6 0 5 1.51108617607361 0.938890630324631 5 3 0.2 0.111111111938953
7 0 6 1.49388572621107 0.928203389934891 5 3 0.19047619047619 0.25
8 1 1 1.48976736400735 0.925644507624552 5 4 0.160714285714286 0.271604955196381
9 0 7 1.8984123435189 0.864004691691742 9 4 0.152777777777778 0.280991733074188
10 1 7 2.00578420379284 0.912871731220362 9 4 0.133333333333333 0.277777761220932
11 0 8 2.11330284047361 0.917795762208159 10 5 0.118181818181818 0.328402400016785
12 0 9 2.12089146415753 0.921091459599323 10 5 0.113636363636364 0.353333353996277
13 0 10 2.10704206011033 0.915076739843975 10 6 0.102564102564103 0.388671875
14 1 9 2.10410904821892 0.913802948964182 10 6 0.0989010989010989 0.430555582046509
15 0 11 2.14866898914281 0.896064566921342 11 6 0.0952380952380952 0.411249965429306
16 0 12 2.15729946989859 0.89966375695007 11 6 0.0916666666666667 0.426652878522873
18 1 10 2.14149998583493 0.893074860327729 11 6 0.0882352941176471 0.440104126930237
19 0 13 2.17313512145752 0.874533907196443 12 7 0.0849673202614379 0.443047344684601
20 0 14 2.16719680475346 0.872144152754533 12 8 0.0789473684210526 0.435528129339218
21 0 15 2.15643829225056 0.867814608824254 12 8 0.0789473684210526 0.465000033378601
22 0 16 2.18400110447889 0.851479230233355 13 8 0.0738095238095238 0.473985433578491
23 0 17 2.20015755378537 0.85777816524331 13 9 0.0692640692640693 0.47216796875
24 0 18 2.21469436164958 0.863445648627309 13 10 0.0652173913043478 0.491735517978668
25 0 19 2.25436918791007 0.854232745386675 14 10 0.0634057971014493 0.522040843963623
26 0 20 2.2691808297179 0.859845219826551 14 10 0.0633333333333333 0.550900340080261
27 0 21 2.28754167322752 0.866802569067726 14 10 0.0615384615384615 0.562187492847443
28 0 22 2.2778011779312 0.863111669598809 14 10 0.0598290598290598 0.568877577781677
29 1 16 2.26716105469226 0.859079880247536 14 10 0.0582010582010582 0.572055757045746
30 1 20 2.26916539597 0.859839371621692 14 11 0.0566502463054187 0.576795876026154
31 1 13 2.27684328971146 0.862748703546883 14 11 0.0551724137931035 0.56098085641861
32 0 23 2.27506735955287 0.862075762440728 14 11 0.053763440860215 0.566200017929077
33 0 24 2.26816385381596 0.859459864082084 14 11 0.0534274193548387 0.573335766792297
34 0 25 2.32835789029859 0.839777595437115 16 11 0.0520833333333333 0.586611568927765
35 0 26 2.40351072823856 0.831557643639592 18 11 0.0499108734402852 0.599011480808258
36 0 27 2.44831606416792 0.847059226024958 18 11 0.0495798319327731 0.594513058662415
37 0 28 2.52702975582012 0.843543255893883 20 11 0.0484126984126984 0.580892205238342
38 0 29 2.552142179384 0.838273401358931 21 11 0.0465465465465465 0.583376705646515
39 0 30 2.54864626190315 0.837125136712387 21 11 0.0455192034139403 0.5904541015625
40 0 31 2.55696073391691 0.839856097703426 21 11 0.0452091767881242 0.597571849822998
41 0 32 2.56549357213156 0.842658782981392 21 11 0.0455128205128205 0.601963877677917
42 0 33 2.55658216536841 0.839731753555452 21 11 0.0439024390243902 0.602334141731262
43 0 34 2.54433337171535 0.835708530240921 21 11 0.0435540069686411 0.602044463157654
44 1 34 2.53226763151022 0.831745432431022 21 11 0.0420819490586932 0.601540863513947
45 2 10 2.523105335274 0.828735996165191 21 11 0.0412262156448203 0.600016415119171
46 0 35 2.51434600624184 0.825858917998966 21 11 0.0404040404040404 0.606640577316284
47 0 36 2.51622198763866 0.826475100482491 21 11 0.0405797101449275 0.602607727050781
48 0 37 2.52882363602745 0.818113524542494 22 11 0.0393154486586494 0.619930803775787
49 0 38 2.54565023897892 0.823557190621291 22 11 0.0398936170212766 0.601234555244446
50 0 39 2.55993520636571 0.828178598318642 22 11 0.0395408163265306 0.610937714576721
51 0 40 2.55911866173097 0.82791443351112 22 11 0.0387755102040816 0.616066455841064
52 0 41 2.57008529100524 0.831462307550297 22 11 0.0384313725490196 0.599229514598846
53 0 42 2.57408545898158 0.832756423705833 22 11 0.0377073906485671 0.606400012969971
54 0 43 2.57962336234846 0.834548021023065 22 11 0.0373730043541364 0.610613584518433
55 0 44 2.5781538082578 0.834072597565499 22 11 0.037037037037037 0.613385558128357
56 0 45 2.58202638594256 0.835325436290035 22 11 0.0367003367003367 0.614931404590607
57 0 46 2.5814004919215 0.83512294990219 22 11 0.036038961038961 0.615372121334076
58 0 47 2.57785590542942 0.833976221396981 22 11 0.0354010025062657 0.592137217521667
59 0 48 2.58809957481693 0.825419980578722 23 11 0.0350877192982456 0.623810946941376
60 0 49 2.61681760966615 0.834578994396485 23 11 0.0350672121566335 0.621111154556274
61 0 50 2.6200260905734 0.835602271968154 23 11 0.0344632768361582 0.617206335067749
62 0 51 2.61991654711121 0.835567335382517 23 11 0.0346994535519126 0.608996272087097
64 1 44 2.6158954492405 0.834284890704326 23 11 0.0338445267054469 0.617279052734375
65 0 52 2.64263766966536 0.820981551773147 25 11 0.033026113671275 0.607956230640411
66 0 53 2.66052597501585 0.826538866290312 25 11 0.0324900793650794 0.606637120246887
67 0 54 2.65772703001551 0.825669325135998 25 11 0.0319711538461538 0.60506534576416
68 0 55 2.66285907597299 0.827263684855572 25 11 0.0321678321678322 0.607671737670898
69 0 56 2.65750173149741 0.825599332216001 25 11 0.0316598824061511 0.610510230064392
70 0 57 2.67462196020337 0.820915503574231 26 11 0.0311676909569798 0.615949213504791
71 0 58 2.69219380212651 0.816846801459066 27 11 0.0304774083546462 0.608709514141083
72 0 59 2.71651159497876 0.824225137778769 27 11 0.0302277432712215 0.613951921463013
73 1 58 2.72649782425819 0.82725509031751 27 11 0.0295774647887324 0.61710399389267
74 0 60 2.74296697547136 0.832252046138668 27 11 0.0293427230046948 0.60435551404953
75 0 61 2.75405960109698 0.835617693795576 27 11 0.0289193302891933 0.610024273395538
76 0 62 2.7628964764847 0.838298917335148 27 11 0.0290633098852277 0.622195601463318
77 0 63 2.77434415155015 0.832585197900797 28 11 0.0286486486486487 0.625074148178101
78 0 64 2.77325470560098 0.832258253397287 28 11 0.0282456140350877 0.627618551254272
79 0 65 2.77337378824537 0.832293990292796 28 11 0.0278537252221463 0.629850566387177
80 0 66 2.81425262945221 0.819529154266067 31 11 0.0276390276390276 0.632657170295715
81 0 67 2.85432120403922 0.823583009234319 32 11 0.0272638753651412 0.610101342201233
82 0 68 2.90990310861555 0.832231321529046 33 11 0.0270569620253165 0.617061674594879
83 0 69 2.94662549791955 0.835599615340037 34 11 0.0266975308641975 0.621855080127716
84 0 70 2.95134969426243 0.836939295815105 34 11 0.0263474856970792 0.626269400119781
85 0 71 2.95755226883159 0.838698212558261 34 11 0.0263003232441963 0.619253516197205
86 0 72 2.96001515086495 0.839396632931382 34 11 0.0258175559380379 0.619490742683411
87 0 73 2.96120443524919 0.839733888403685 34 12 0.0253501400560224 0.618555545806885
88 0 74 2.98943124832826 0.847738405492063 34 12 0.0258549931600547 0.626284241676331
89 0 75 2.99979711246154 0.843742176737784 35 12 0.0253942796043839 0.627576112747192
90 0 76 3.00699785589395 0.845767504021603 35 12 0.0250783699059561 0.6103515625
91 0 77 3.01545986147329 0.848147581986683 35 12 0.0247701736465781 0.617679834365845
92 0 78 3.03353255888373 0.846523378551103 36 12 0.0245942571785268 0.623437941074371
93 0 79 3.04160507326912 0.84877605658184 36 12 0.0244200244200244 0.628575026988983
94 0 80 3.04577279081983 0.849939080308597 36 12 0.0244863831820354 0.631671607494354
95 0 81 3.04842187011344 0.850678319960768 36 12 0.0240766713417485 0.646432280540466
96 0 82 3.04201349024017 0.848890027507643 36 12 0.0241363532372455 0.6297926902771
97 0 83 3.05452777814804 0.852382206040196 36 12 0.0241881298992161 0.637399256229401
98 0 84 3.05251332495394 0.851820062173037 36 12 0.0239035087719298 0.638046026229858
99 0 85 3.05188783531263 0.85164551596523 36 12 0.0235180412371134 0.638320684432983
100 0 86 3.04989255682983 0.85108872290314 36 12 0.0233536713654534 0.634506106376648
101 0 87 3.04733828799313 0.850375940612725 36 12 0.023294166151309 0.616121053695679
102 0 88 3.04323549407585 0.849231034170834 36 12 0.0229292929292929 0.62456089258194
103 0 89 3.03954367788283 0.848200813246534 36 12 0.0226732673267327 0.617188811302185
104 0 90 3.03793058160972 0.847750670160697 36 12 0.0226169675791109 0.613522052764893
105 0 91 3.04455813669012 0.849600124619912 36 12 0.0227489053873977 0.621330142021179
106 0 92 3.04358959511275 0.849329847946618 36 12 0.0226848394324123 0.62698769569397
107 0 93 3.04845492049328 0.844232683833274 37 12 0.0224358974358974 0.641707599163055
108 0 94 3.05171427149641 0.845135321633962 37 12 0.0222821203953279 0.64408004283905
109 0 95 3.05158921442728 0.845100688592681 37 12 0.0219538000352671 0.644804120063782
110 0 96 3.04937299798292 0.844486934279243 37 12 0.0218068535825545 0.636660695075989
111 0 97 3.05151621256219 0.845080471609949 37 12 0.0216615698267074 0.641883909702301
112 0 98 3.06394647307735 0.842302103246351 38 12 0.021768140116764 0.628440618515015
113 1 72 3.06346890207965 0.842170815360172 38 12 0.0214578214578215 0.629246532917023
114 0 99 3.06368834885561 0.842231142941796 38 12 0.0212355212355212 0.632432341575623
115 0 100 3.0625945920243 0.84193046090066 38 12 0.0210176991150442 0.635451436042786
116 0 101 3.06051002222486 0.841357396866463 38 12 0.0208042229467474 0.62934398651123
117 0 102 3.066852965931 0.843101120156474 38 12 0.0208237986270023 0.649136543273926
118 0 103 3.07504985282605 0.845354506477821 38 12 0.0210644677661169 0.63737154006958
119 0 104 3.07558331998748 0.845501160642974 38 12 0.0208517536103743 0.634462893009186
120 0 105 3.07673624135282 0.845818107462847 38 12 0.0206431986093003 0.636694371700287
121 0 106 3.08283991720816 0.847496054207565 38 12 0.02072354365475 0.627100586891174
122 0 107 3.08621253454241 0.848423212269575 38 12 0.0204481792717087 0.627503991127014
123 1 56 3.08218425138084 0.847315806703166 38 12 0.0201790633608815 0.626431345939636
124 0 108 3.08233835741226 0.847358171618982 38 12 0.019916000541932 0.628089010715485
125 0 109 3.08136149185207 0.847089623874049 38 12 0.0198587231773957 0.623530507087708
126 0 110 3.0783327606328 0.846257002710928 38 12 0.019669551534225 0.623222231864929
127 0 111 3.08054390699804 0.846864863602228 38 12 0.0194838709677419 0.625630497932434
128 0 112 3.09156199522416 0.843867878814112 39 12 0.0192380952380952 0.619993627071381
129 0 113 3.10385558042021 0.841408785250142 40 12 0.0191851018622672 0.62198007106781
130 0 114 3.122205478863 0.840755322040612 41 12 0.0189468503937008 0.623566329479218
132 0 115 3.1259534733362 0.83633755590519 42 12 0.0187742248062015 0.626638948917389
133 0 116 3.12402280286764 0.835821011997962 42 12 0.0185450208706023 0.628126263618469
134 1 116 3.12204501713155 0.835291862571159 42 13 0.0183206106870229 0.626700162887573
135 0 117 3.11938153371879 0.83457925720879 42 13 0.0183321767291233 0.632521986961365
136 0 118 3.12319670326203 0.835599992033658 42 13 0.0181704260651629 0.635091066360474
137 2 116 3.12115379137758 0.835053418341201 42 13 0.0180114465267647 0.637547254562378
138 0 119 3.12061009115612 0.834907953311653 42 13 0.017910447761194 0.637307584285736
139 2 1 3.12200585892853 0.835281385935444 42 13 0.0177015250544662 0.638437867164612
140 0 120 3.12200398517719 0.835280884620043 42 13 0.017657793044225 0.633576929569244
141 0 121 3.11946413542961 0.834601356998031 42 13 0.0175076695229028 0.63574630022049
142 0 122 3.11971548151656 0.834668603735334 42 13 0.0176206860598478 0.645578742027283
143 0 123 3.12179572918537 0.835225166481983 42 13 0.0174203494347379 0.645473837852478
144 0 124 3.12114914465926 0.835052175128507 42 13 0.017274569402229 0.642929673194885
145 0 125 3.12013820277375 0.834781701280159 42 13 0.017181100789132 0.645403742790222
146 0 126 3.11842648173033 0.834323736500434 42 13 0.0170392987294396 0.642637550830841
147 0 127 3.11884140563471 0.834434747891689 42 13 0.0168997668997669 0.644293308258057
148 1 119 3.11744069414585 0.834059992594429 42 13 0.0167624521072797 0.647848963737488
149 2 119 3.11593738377179 0.833657787336184 42 13 0.0165800661313179 0.642295897006989
150 0 128 3.12141542841013 0.835123418383814 42 13 0.0164942689404529 0.639148235321045
