"V1","V2"
"1","M’Choakumchild"
"2","Sissy Jupe"
"2","Thomas Gradgrind"
"3","Sissy Jupe"
"3","Thomas Gradgrind"
"5","Thomas Gradgrind"
"6","Bounderby"
"6","Thomas Gradgrind"
"7","Bounderby"
"6","Louisa Gradgrind"
"7","Mrs Gradgrind"
"7","Thomas Gradgrind"
"8","Bounderby"
"8","Louisa Gradgrind"
"8","Mrs Gradgrind"
"8","Thomas Gradgrind"
"5","Tom Gradgrind"
"9","Bounderby"
"3","M’Choakumchild"
"9","Mrs Gradgrind"
"9","Thomas Gradgrind"
"2","Bitzer"
"10","Bounderby"
"10","M’Choakumchild"
"7","Mrs Pegler"
"5","Sissy Jupe"
"10","Thomas Gradgrind"
"11","Bounderby"
"12","Bounderby"
"5","Signor Jupe"
"11","Sissy Jupe"
"11","Thomas Gradgrind"
"13","Bounderby"
"13","E.W.B. Childers"
"13","Kidderminster"
"5","Mr Sleary"
"13","Thomas Gradgrind"
"14","Bounderby"
"14","E.W.B. Childers"
"14","Kidderminster"
"9","Louisa Gradgrind"
"14","Mr Sleary"
"13","Sissy Jupe"
"14","Thomas Gradgrind"
"15","Bounderby"
"15","Mr Sleary"
"15","Sissy Jupe"
"15","Thomas Gradgrind"
"16","Bounderby"
"15","Kidderminster"
"16","Mr Sleary"
"16","Sissy Jupe"
"16","Thomas Gradgrind"
"17","Bounderby"
"15","Louisa Gradgrind"
"11","Mrs Pegler"
"17","Thomas Gradgrind"
"18","Bounderby"
"18","Louisa Gradgrind"
"10","Mrs Gradgrind"
"18","Mrs Sparsit"
"17","Sissy Jupe"
"18","Thomas Gradgrind"
"9","Tom Gradgrind"
"19","Bounderby"
"19","Louisa Gradgrind"
"19","Mrs Sparsit"
"19","Sissy Jupe"
"19","Thomas Gradgrind"
"20","Louisa Gradgrind"
"11","M’Choakumchild"
"20","Sissy Jupe"
"20","Thomas Gradgrind"
"19","Tom Gradgrind"
"20","Bounderby"
"21","Louisa Gradgrind"
"19","Mrs Gradgrind"
"21","Tom Gradgrind"
"22","Mrs Gradgrind"
"22","Louisa Gradgrind"
"21","M’Choakumchild"
"23","Mrs Gradgrind"
"21","Sissy Jupe"
"21","Thomas Gradgrind"
"24","Louisa Gradgrind"
"24","Sissy Jupe"
"22","Bounderby"
"25","Louisa Gradgrind"
"17","Mr Sleary"
"24","Mrs Gradgrind"
"25","Sissy Jupe"
"24","Thomas Gradgrind"
"22","Tom Gradgrind"
"27","Rachael"
"27","Stephen Blackpool"
"26","Bounderby"
"20","Mrs Sparsit"
"28","Stephen Blackpool"
"30","Bounderby"
"28","Mrs Blackpool"
"30","Mrs Sparsit"
"30","Stephen Blackpool"
"31","Bounderby"
"31","Mrs Sparsit"
"31","Stephen Blackpool"
"32","Bounderby"
"18","Mrs Pegler"
"32","Stephen Blackpool"
"33","Mrs Pegler"
"28","Rachael"
"31","Mrs Blackpool"
"34","Rachael"
"33","Stephen Blackpool"
"35","Mrs Blackpool"
"35","Rachael"
"35","Stephen Blackpool"
"36","Mrs Blackpool"
"36","Rachael"
"36","Stephen Blackpool"
"37","Rachael"
"33","Bounderby"
"26","Louisa Gradgrind"
"24","M’Choakumchild"
"26","Mrs Gradgrind"
"26","Sissy Jupe"
"26","Thomas Gradgrind"
"39","Bounderby"
"39","Louisa Gradgrind"
"32","Mrs Sparsit"
"39","Thomas Gradgrind"
"26","Tom Gradgrind"
"40","Bounderby"
"40","Louisa Gradgrind"
"40","Thomas Gradgrind"
"41","Bounderby"
"41","Louisa Gradgrind"
"41","Thomas Gradgrind"
"42","Bounderby"
"42","Louisa Gradgrind"
"39","Mrs Gradgrind"
"39","Sissy Jupe"
"42","Thomas Gradgrind"
"43","Bounderby"
"18","Lady Scadgers"
"40","Mrs Sparsit"
"43","Thomas Gradgrind"
"44","Bounderby"
"9","Jane Gradgrind"
"43","Louisa Gradgrind"
"44","Mrs Sparsit"
"44","Thomas Gradgrind"
"40","Tom Gradgrind"
"45","Bounderby"
"45","Mrs Sparsit"
"11","Bitzer"
"46","Mrs Sparsit"
"47","Bitzer"
"46","Bounderby"
"47","Mrs Sparsit"
"48","Bitzer"
"48","Bounderby"
"48","Mrs Sparsit"
"49","Bitzer"
"49","Bounderby"
"49","Mrs Sparsit"
"50","Bounderby"
"50","Mrs Sparsit"
"45","Thomas Gradgrind"
"51","Bounderby"
"51","Harthouse"
"45","Louisa Gradgrind"
"51","Thomas Gradgrind"
"52","Bounderby"
"52","Harthouse"
"52","Louisa Gradgrind"
"45","Tom Gradgrind"
"53","Bounderby"
"53","Harthouse"
"53","Tom Gradgrind"
"54","Bounderby"
"54","Harthouse"
"54","Tom Gradgrind"
"55","Bounderby"
"56","Slackbridge"
"37","Stephen Blackpool"
"50","Bitzer"
"57","Bounderby"
"38","Rachael"
"57","Slackbridge"
"57","Stephen Blackpool"
"58","Bounderby"
"55","Harthouse"
"53","Louisa Gradgrind"
"58","Slackbridge"
"58","Stephen Blackpool"
"59","Bounderby"
"59","Harthouse"
"59","Louisa Gradgrind"
"59","Slackbridge"
"59","Stephen Blackpool"
"60","Bounderby"
"60","Louisa Gradgrind"
"60","Stephen Blackpool"
"61","Bounderby"
"34","Mrs Pegler"
"58","Rachael"
"61","Stephen Blackpool"
"62","Bounderby"
"61","Louisa Gradgrind"
"62","Mrs Pegler"
"62","Rachael"
"62","Stephen Blackpool"
"55","Tom Gradgrind"
"63","Louisa Gradgrind"
"63","Rachael"
"63","Stephen Blackpool"
"63","Tom Gradgrind"
"63","Bounderby"
"64","Louisa Gradgrind"
"63","Mrs Pegler"
"64","Rachael"
"64","Stephen Blackpool"
"64","Tom Gradgrind"
"51","Mrs Sparsit"
"65","Rachael"
"65","Stephen Blackpool"
"65","Bounderby"
"60","Harthouse"
"65","Louisa Gradgrind"
"52","Thomas Gradgrind"
"65","Tom Gradgrind"
"67","Bounderby"
"67","Harthouse"
"67","Louisa Gradgrind"
"67","Nickits"
"67","Tom Gradgrind"
"68","Bounderby"
"68","Harthouse"
"68","Louisa Gradgrind"
"67","Thomas Gradgrind"
"68","Tom Gradgrind"
"69","Bounderby"
"69","Harthouse"
"69","Louisa Gradgrind"
"68","Nickits"
"69","Thomas Gradgrind"
"69","Tom Gradgrind"
"70","Bounderby"
"70","Harthouse"
"70","Louisa Gradgrind"
