"source" "target" "tag"
1 3 "M’Choakumchild"
2 3 "Sissy Jupe"
2 3 "Thomas Gradgrind"
3 5 "Sissy Jupe"
3 5 "Thomas Gradgrind"
5 6 "Thomas Gradgrind"
6 7 "Bounderby"
6 7 "Thomas Gradgrind"
7 8 "Bounderby"
6 8 "Louisa Gradgrind"
7 8 "Mrs Gradgrind"
7 8 "Thomas Gradgrind"
8 9 "Bounderby"
8 9 "Louisa Gradgrind"
8 9 "Mrs Gradgrind"
8 9 "Thomas Gradgrind"
5 9 "Tom Gradgrind"
9 10 "Bounderby"
3 10 "M’Choakumchild"
9 10 "Mrs Gradgrind"
9 10 "Thomas Gradgrind"
2 11 "Bitzer"
10 11 "Bounderby"
10 11 "M’Choakumchild"
7 11 "Mrs Pegler"
5 11 "Sissy Jupe"
10 11 "Thomas Gradgrind"
11 12 "Bounderby"
12 13 "Bounderby"
5 13 "Signor Jupe"
11 13 "Sissy Jupe"
11 13 "Thomas Gradgrind"
13 14 "Bounderby"
13 14 "E.W.B. Childers"
13 14 "Kidderminster"
5 14 "Mr Sleary"
13 14 "Thomas Gradgrind"
14 15 "Bounderby"
14 15 "E.W.B. Childers"
14 15 "Kidderminster"
9 15 "Louisa Gradgrind"
14 15 "Mr Sleary"
13 15 "Sissy Jupe"
14 15 "Thomas Gradgrind"
15 16 "Bounderby"
15 16 "Mr Sleary"
15 16 "Sissy Jupe"
15 16 "Thomas Gradgrind"
16 17 "Bounderby"
15 17 "Kidderminster"
16 17 "Mr Sleary"
16 17 "Sissy Jupe"
16 17 "Thomas Gradgrind"
17 18 "Bounderby"
15 18 "Louisa Gradgrind"
11 18 "Mrs Pegler"
17 18 "Thomas Gradgrind"
18 19 "Bounderby"
18 19 "Louisa Gradgrind"
10 19 "Mrs Gradgrind"
18 19 "Mrs Sparsit"
17 19 "Sissy Jupe"
18 19 "Thomas Gradgrind"
9 19 "Tom Gradgrind"
19 20 "Bounderby"
19 20 "Louisa Gradgrind"
19 20 "Mrs Sparsit"
19 20 "Sissy Jupe"
19 20 "Thomas Gradgrind"
20 21 "Louisa Gradgrind"
11 21 "M’Choakumchild"
20 21 "Sissy Jupe"
20 21 "Thomas Gradgrind"
19 21 "Tom Gradgrind"
20 22 "Bounderby"
21 22 "Louisa Gradgrind"
19 22 "Mrs Gradgrind"
21 22 "Tom Gradgrind"
22 23 "Mrs Gradgrind"
22 24 "Louisa Gradgrind"
21 24 "M’Choakumchild"
23 24 "Mrs Gradgrind"
21 24 "Sissy Jupe"
21 24 "Thomas Gradgrind"
24 25 "Louisa Gradgrind"
24 25 "Sissy Jupe"
22 26 "Bounderby"
25 26 "Louisa Gradgrind"
17 26 "Mr Sleary"
24 26 "Mrs Gradgrind"
25 26 "Sissy Jupe"
24 26 "Thomas Gradgrind"
22 26 "Tom Gradgrind"
27 28 "Rachael"
27 28 "Stephen Blackpool"
26 30 "Bounderby"
20 30 "Mrs Sparsit"
28 30 "Stephen Blackpool"
30 31 "Bounderby"
28 31 "Mrs Blackpool"
30 31 "Mrs Sparsit"
30 31 "Stephen Blackpool"
31 32 "Bounderby"
31 32 "Mrs Sparsit"
31 32 "Stephen Blackpool"
32 33 "Bounderby"
18 33 "Mrs Pegler"
32 33 "Stephen Blackpool"
33 34 "Mrs Pegler"
28 34 "Rachael"
31 35 "Mrs Blackpool"
34 35 "Rachael"
33 35 "Stephen Blackpool"
35 36 "Mrs Blackpool"
35 36 "Rachael"
35 36 "Stephen Blackpool"
36 37 "Mrs Blackpool"
36 37 "Rachael"
36 37 "Stephen Blackpool"
37 38 "Rachael"
33 39 "Bounderby"
26 39 "Louisa Gradgrind"
24 39 "M’Choakumchild"
26 39 "Mrs Gradgrind"
26 39 "Sissy Jupe"
26 39 "Thomas Gradgrind"
39 40 "Bounderby"
39 40 "Louisa Gradgrind"
32 40 "Mrs Sparsit"
39 40 "Thomas Gradgrind"
26 40 "Tom Gradgrind"
40 41 "Bounderby"
40 41 "Louisa Gradgrind"
40 41 "Thomas Gradgrind"
41 42 "Bounderby"
41 42 "Louisa Gradgrind"
41 42 "Thomas Gradgrind"
42 43 "Bounderby"
42 43 "Louisa Gradgrind"
39 43 "Mrs Gradgrind"
39 43 "Sissy Jupe"
42 43 "Thomas Gradgrind"
43 44 "Bounderby"
18 44 "Lady Scadgers"
40 44 "Mrs Sparsit"
43 44 "Thomas Gradgrind"
44 45 "Bounderby"
9 45 "Jane Gradgrind"
43 45 "Louisa Gradgrind"
44 45 "Mrs Sparsit"
44 45 "Thomas Gradgrind"
40 45 "Tom Gradgrind"
45 46 "Bounderby"
45 46 "Mrs Sparsit"
11 47 "Bitzer"
46 47 "Mrs Sparsit"
47 48 "Bitzer"
46 48 "Bounderby"
47 48 "Mrs Sparsit"
48 49 "Bitzer"
48 49 "Bounderby"
48 49 "Mrs Sparsit"
49 50 "Bitzer"
49 50 "Bounderby"
49 50 "Mrs Sparsit"
50 51 "Bounderby"
