"V1","V2"
"Bitzer","Sissy Jupe"
"Bitzer","Thomas Gradgrind"
"Sissy Jupe","Thomas Gradgrind"
"M’Choakumchild","Sissy Jupe"
"M’Choakumchild","Thomas Gradgrind"
"Mr Sleary","Signor Jupe"
"Mr Sleary","Sissy Jupe"
"Mr Sleary","Thomas Gradgrind"
"Mr Sleary","Tom Gradgrind"
"Signor Jupe","Sissy Jupe"
"Signor Jupe","Thomas Gradgrind"
"Signor Jupe","Tom Gradgrind"
"Sissy Jupe","Tom Gradgrind"
"Thomas Gradgrind","Tom Gradgrind"
"Bounderby","Louisa Gradgrind"
"Bounderby","Thomas Gradgrind"
"Louisa Gradgrind","Thomas Gradgrind"
"Bounderby","Mrs Gradgrind"
"Bounderby","Mrs Pegler"
"Mrs Gradgrind","Mrs Pegler"
"Mrs Gradgrind","Thomas Gradgrind"
"Mrs Pegler","Thomas Gradgrind"
"Louisa Gradgrind","Mrs Gradgrind"
"Adam Smith Gradgrind","Bounderby"
"Adam Smith Gradgrind","Jane Gradgrind"
"Adam Smith Gradgrind","Louisa Gradgrind"
"Adam Smith Gradgrind","Malthus Gradgrind"
"Adam Smith Gradgrind","Mrs Gradgrind"
"Adam Smith Gradgrind","Thomas Gradgrind"
"Adam Smith Gradgrind","Tom Gradgrind"
"Bounderby","Jane Gradgrind"
"Bounderby","Malthus Gradgrind"
"Bounderby","Tom Gradgrind"
"Jane Gradgrind","Louisa Gradgrind"
"Jane Gradgrind","Malthus Gradgrind"
"Jane Gradgrind","Mrs Gradgrind"
"Jane Gradgrind","Thomas Gradgrind"
"Jane Gradgrind","Tom Gradgrind"
"Louisa Gradgrind","Malthus Gradgrind"
"Louisa Gradgrind","Tom Gradgrind"
"Malthus Gradgrind","Mrs Gradgrind"
"Malthus Gradgrind","Thomas Gradgrind"
"Malthus Gradgrind","Tom Gradgrind"
"Mrs Gradgrind","Tom Gradgrind"
"Bounderby","M’Choakumchild"
"M’Choakumchild","Mrs Gradgrind"
"Bitzer","Bounderby"
"Bitzer","M’Choakumchild"
"Bitzer","Mrs Pegler"
"Bounderby","Sissy Jupe"
"M’Choakumchild","Mrs Pegler"
"Mrs Pegler","Sissy Jupe"
