"","x"
"1","Affery Flintwinch"
"2","Amy Dorrit"
"3","Anastasia Rugg"
"4","Arthur Clennam"
"5","Augustus Stiltstalking"
"6","Bob"
"7","Captain Maroon"
"8","Christopher Casby"
"9","Clarence Barnacle"
"10","Daniel Doyce"
"11","Dawes"
"12","Doctor Haggage"
"13","Edward Dorrit"
"14","Ephraim Flintwinch"
"15","Fanny Dorrit"
"16","Ferdinand Barnacle"
"17","Flora Finching"
"18","Harriet Beadle"
"19","Henry Gowan"
"20","Jeremiah Flintwinch"
"21","John Baptist Cavalletto"
"22","John Chivery"
"23","John Edward Nandy"
"24","Lady Stiltstalking"
"25","Lord Decimus Tite Barnacle"
"26","Lord Lancaster Stiltstalking"
"27","Madame Barronneau"
"28","Maggy"
"29","Minnie Meagles"
"30","Miss Tite Barnacles"
"31","Miss Wade"
"32","Mr Cripples"
"33","Mr Frederick Dorrit"
"34","Mr John Chivery"
"35","Mr Meagles"
"36","Mr Merdle"
"37","Mr Pancks"
"38","Mr Plornish"
"39","Mr Rugg"
"40","Mr Sparkler"
"41","Mr Tite Barnacle"
"42","Mr William Dorrit"
"43","Mrs Bangham"
"44","Mrs Captain Barbary"
"45","Mrs Clennam"
"46","Mrs General"
"47","Mrs Gowan"
"48","Mrs Meagles"
"49","Mrs Merdle"
"50","Mrs Plornish"
"51","Mrs Tickit"
"52","Physician"
"53","Rigaud"
"54","Captain Martin"
"55","Mrs Chivery"
"56","Slingo"
"57","Tinkler"
"58","Treasury"
"59","Mr Wobbler"
"60","Mrs Tite Barnacle"
"61","Tudor Stiltstalking"
