"root_node_id" "tag"
"2" "John Baptist Cavalletto"
"2" "Rigaud"
"4" "Madame Barronneau"
"7" "Harriet Beadle"
"7" "Minnie Meagles"
"7" "Mr Meagles"
"7" "Mrs Meagles"
"9" "Arthur Clennam"
"10" "Miss Wade"
"15" "Affery Flintwinch"
"15" "Mrs Clennam"
"16" "Jeremiah Flintwinch"
"16" "Physician"
"24" "Amy Dorrit"
"26" "Mr William Dorrit"
"27" "Mrs Bangham"
"28" "Doctor Haggage"
"31" "Bob"
"33" "Fanny Dorrit"
"34" "Edward Dorrit"
"34" "Slingo"
"36" "Mr Frederick Dorrit"
"42" "Mr Cripples"
"44" "Mr Tite Barnacle"
"45" "Maggy"
"45" "Mr Plornish"
"48" "Clarence Barnacle"
"48" "Mrs Tite Barnacle"
"49" "Ferdinand Barnacle"
"51" "Mr Wobbler"
"53" "Daniel Doyce"
"61" "Mrs Plornish"
"63" "Captain Maroon"
"63" "Christopher Casby"
"63" "Mr Pancks"
"63" "Mrs Captain Barbary"
"65" "Flora Finching"
"66" "Lord Decimus Tite Barnacle"
"70" "Mr F.'s Aunt"
"88" "Mrs Tickit"
"90" "Henry Gowan"
"91" "Lady Stiltstalking"
"94" "Mr John Chivery"
"94" "Mrs Chivery"
"101" "Captain Martin"
"106" "Mrs Merdle"
"107" "Mr Merdle"
"111" "Mr Sparkler"
"111" "Treasury"
"132" "Anastasia Rugg"
"132" "Mr Rugg"
"139" "Lord Lancaster Stiltstalking"
"139" "Mrs Gowan"
"140" "Augustus Stiltstalking"
"140" "Tudor Stiltstalking"
"164" "John Edward Nandy"
"181" "Miss Tite Barnacles"
"196" "Mrs General"
"213" "Tinkler"
"301" "Dawes"
"326" "John Chivery"
"354" "Ephraim Flintwinch"
