"Character","Node","Type","Appearances"
"Admiral Crawford",15,"First Appearance",14
"Admiral Crawford",160,"Last Appearance",14
"Baddeley",69,"First Appearance",3
"Baddeley",131,"Last Appearance",3
"Betsey Price",142,"First Appearance",10
"Betsey Price",156,"Last Appearance",10
"Captain Walsh",145,"Last Appearance",1
"Captain Walsh",145,"First Appearance",1
"Charles",19,"First Appearance",2
"Charles",72,"Last Appearance",2
"Charles Anderson",19,"First Appearance",1
"Charles Anderson",19,"Last Appearance",1
"Charles Maddox",57,"First Appearance",3
"Charles Maddox",61,"Last Appearance",3
"Charlie Price",150,"Last Appearance",3
"Charlie Price",146,"First Appearance",3
"Colonel Harrison",109,"First Appearance",1
"Colonel Harrison",109,"Last Appearance",1
"Dr Grant",9,"First Appearance",30
"Dr Grant",183,"Last Appearance",30
"Edmund Bertram",2,"First Appearance",129
"Edmund Bertram",182,"Last Appearance",129
"Ellis",3,"Last Appearance",1
"Ellis",3,"First Appearance",1
"Fanny Price",183,"Last Appearance",164
"Fanny Price",1,"First Appearance",164
"Henry Crawford",15,"First Appearance",122
"Henry Crawford",182,"Last Appearance",122
"John Groom",27,"First Appearance",1
"John Groom",27,"Last Appearance",1
"Johnny Price",149,"First Appearance",1
"Johnny Price",149,"Last Appearance",1
"Julia Bertram",181,"Last Appearance",66
"Julia Bertram",3,"First Appearance",66
"Lady Bertram",1,"First Appearance",6
"Lady Bertram",166,"Last Appearance",6
"Lady Flora Stornaway",137,"First Appearance",5
"Lady Flora Stornaway",176,"Last Appearance",5
"Lady Prescott",109,"First Appearance",1
"Lady Prescott",109,"Last Appearance",1
"Lady Ravenshaw",54,"Last Appearance",2
"Lady Ravenshaw",47,"First Appearance",2
"Lord Ravenshaw",47,"First Appearance",2
"Lord Ravenshaw",51,"Last Appearance",2
"Lord Stornaway",138,"First Appearance",1
"Lord Stornaway",138,"Last Appearance",1
"Maddison",158,"First Appearance",1
"Maddison",158,"Last Appearance",1
"Margaret Fraser",163,"Last Appearance",4
"Margaret Fraser",137,"First Appearance",4
"Maria Bertram",181,"Last Appearance",79
"Maria Bertram",1,"First Appearance",79
"Mary Crawford",182,"Last Appearance",110
"Mary Crawford",15,"First Appearance",110
"Mary Price",148,"First Appearance",1
"Mary Price",148,"Last Appearance",1
"Miss Anderson",18,"First Appearance",2
"Miss Anderson",19,"Last Appearance",2
"Miss Augusta Sneyd",19,"Last Appearance",1
"Miss Augusta Sneyd",19,"First Appearance",1
"Miss Lee",58,"Last Appearance",6
"Miss Lee",3,"First Appearance",6
"Mr Campbell",144,"First Appearance",2
"Mr Campbell",147,"Last Appearance",2
"Mr Fraser",137,"First Appearance",4
"Mr Fraser",163,"Last Appearance",4
"Mr Green",27,"Last Appearance",1
"Mr Green",27,"First Appearance",1
"Mr Harding",174,"Last Appearance",1
"Mr Harding",174,"First Appearance",1
"Mr Price",1,"First Appearance",10
"Mr Price",171,"Last Appearance",10
"Mr Rushworth",14,"First Appearance",61
"Mr Rushworth",181,"Last Appearance",61
"Mrs Brown",90,"Last Appearance",1
"Mrs Brown",90,"First Appearance",1
"Mrs Chapman",104,"Last Appearance",1
"Mrs Chapman",104,"First Appearance",1
"Mrs Crawford",113,"Last Appearance",3
"Mrs Crawford",15,"First Appearance",3
"Mrs Holford",19,"First Appearance",1
"Mrs Holford",19,"Last Appearance",1
"Mrs Janet Fraser",137,"First Appearance",7
"Mrs Janet Fraser",181,"Last Appearance",7
"Mrs Jefferies",27,"First Appearance",1
"Mrs Jefferies",27,"Last Appearance",1
"Mrs Norris",180,"Last Appearance",20
"Mrs Norris",1,"First Appearance",20
"Mrs Rushworth",175,"First Appearance",1
"Mrs Rushworth",175,"Last Appearance",1
"Mrs Sneyd",19,"First Appearance",1
"Mrs Sneyd",19,"Last Appearance",1
"Mrs. Admiral Maxwell",148,"First Appearance",1
"Mrs. Admiral Maxwell",148,"Last Appearance",1
"Mrs. Frances Price",172,"Last Appearance",15
"Mrs. Frances Price",1,"First Appearance",15
"Nanny",2,"First Appearance",3
"Nanny",123,"Last Appearance",3
"Old Scholey",145,"First Appearance",1
"Old Scholey",145,"Last Appearance",1
"Rebecca",145,"First Appearance",11
"Rebecca",172,"Last Appearance",11
"Richard Price",149,"Last Appearance",1
"Richard Price",149,"First Appearance",1
"Robert",80,"Last Appearance",1
"Robert",80,"First Appearance",1
"Sam Price",145,"First Appearance",4
"Sam Price",149,"Last Appearance",4
"Sir Charles",115,"First Appearance",1
"Sir Charles",115,"Last Appearance",1
"Sir Thomas Bertram",1,"First Appearance",100
"Sir Thomas Bertram",183,"Last Appearance",100
"Smith",37,"Last Appearance",2
"Smith",20,"First Appearance",2
"Sneyd",19,"First Appearance",1
"Sneyd",19,"Last Appearance",1
"Susan PriceMP",142,"First Appearance",21
"Susan PriceMP",183,"Last Appearance",21
"The Aylmers",169,"First Appearance",1
"The Aylmers",169,"Last Appearance",1
"Tom Bertram",181,"Last Appearance",46
"Tom Bertram",2,"First Appearance",46
"Tom Oliver",57,"First Appearance",1
"Tom Oliver",57,"Last Appearance",1
"Turner",145,"First Appearance",1
"Turner",145,"Last Appearance",1
"William Price",6,"First Appearance",49
"William Price",183,"Last Appearance",49
