"","V1","V2"
"1","1","Mrs. Frances Price"
"2","1","Sir Thomas Bertram"
"3","1","Mrs Norris"
"4","2","Nanny"
"5","2","Sir Thomas Bertram"
"6","2","Mrs. Frances Price"
"7","1","Fanny Price"
"8","3","Julia Bertram"
"9","1","Maria Bertram"
"10","3","Miss Lee"
"11","3","Sir Thomas Bertram"
"12","2","Edmund Bertram"
"13","5","Fanny Price"
"14","5","Julia Bertram"
"15","5","Maria Bertram"
"16","3","Mrs Norris"
"17","6","Edmund Bertram"
"18","6","Fanny Price"
"19","6","Julia Bertram"
"20","1","Lady Bertram"
"21","6","Maria Bertram"
"22","5","Sir Thomas Bertram"
"23","2","Tom Bertram"
"24","7","Edmund Bertram"
"25","7","Fanny Price"
"26","5","Miss Lee"
"27","4","Mrs. Frances Price"
"28","7","Sir Thomas Bertram"
"29","6","William Price"
"30","8","Edmund Bertram"
"31","8","Fanny Price"
"32","6","Mrs Norris"
"33","8","Sir Thomas Bertram"
"34","7","Tom Bertram"
"35","9","Fanny Price"
"36","8","Miss Lee"
"37","9","Sir Thomas Bertram"
"38","9","Edmund Bertram"
"39","10","Fanny Price"
"40","10","Sir Thomas Bertram"
"41","11","Edmund Bertram"
"42","11","Fanny Price"
"43","7","Julia Bertram"
"44","7","Maria Bertram"
"45","11","Sir Thomas Bertram"
"46","8","William Price"
"47","9","Dr Grant"
"48","12","Edmund Bertram"
"49","12","Fanny Price"
"50","12","Julia Bertram"
"51","12","Maria Bertram"
"52","10","Miss Lee"
"53","12","Sir Thomas Bertram"
"54","9","Tom Bertram"
"55","12","William Price"
"56","13","Edmund Bertram"
"57","13","Fanny Price"
"58","13","Maria Bertram"
"59","13","Sir Thomas Bertram"
"60","13","Tom Bertram"
"61","14","Edmund Bertram"
"62","14","Fanny Price"
"63","14","Maria Bertram"
"64","14","Mr Rushworth"
"65","14","Sir Thomas Bertram"
"66","14","Tom Bertram"
"67","15","Admiral Crawford"
"68","13","Dr Grant"
"69","15","Henry Crawford"
"70","13","Julia Bertram"
"71","15","Maria Bertram"
"72","15","Mary Crawford"
"73","16","Henry Crawford"
"74","16","Julia Bertram"
"75","16","Maria Bertram"
"76","16","Mary Crawford"
"77","15","Mr Rushworth"
"78","16","Dr Grant"
"79","15","Edmund Bertram"
"80","15","Fanny Price"
"81","17","Henry Crawford"
"82","17","Julia Bertram"
"83","17","Maria Bertram"
"84","17","Mary Crawford"
"85","15","Sir Thomas Bertram"
"86","15","Tom Bertram"
"87","18","Edmund Bertram"
"88","18","Fanny Price"
"89","18","Mary Crawford"
"90","18","Miss Anderson"
"91","18","Tom Bertram"
"92","18","Dr Grant"
"93","19","Edmund Bertram"
"94","18","Henry Crawford"
"95","18","Maria Bertram"
"96","19","Mary Crawford"
"97","17","Mr Rushworth"
"98","18","Sir Thomas Bertram"
"99","19","Tom Bertram"
"100","16","Admiral Crawford"
"101","20","Dr Grant"
"102","20","Edmund Bertram"
"103","19","Fanny Price"
"104","20","Henry Crawford"
"105","20","Maria Bertram"
"106","20","Mary Crawford"
"107","20","Mr Rushworth"
"108","21","Dr Grant"
"109","21","Edmund Bertram"
"110","21","Fanny Price"
"111","21","Henry Crawford"
"112","21","Mary Crawford"
"113","13","William Price"
"114","22","Edmund Bertram"
"115","22","Fanny Price"
"116","22","Henry Crawford"
"117","18","Julia Bertram"
"118","21","Maria Bertram"
"119","21","Mr Rushworth"
"120","21","Admiral Crawford"
"121","22","Dr Grant"
"122","23","Edmund Bertram"
"123","23","Fanny Price"
"124","22","Mary Crawford"
"125","15","Mrs Crawford"
"126","22","William Price"
"127","24","Admiral Crawford"
"128","24","Dr Grant"
"129","24","Edmund Bertram"
"130","24","Fanny Price"
"131","23","Henry Crawford"
"132","24","Mary Crawford"
"133","25","Edmund Bertram"
"134","25","Fanny Price"
"135","25","Henry Crawford"
"136","23","Julia Bertram"
"137","23","Maria Bertram"
"138","25","Mary Crawford"
"139","23","Mr Rushworth"
"140","20","Sir Thomas Bertram"
"141","26","Edmund Bertram"
"142","26","Fanny Price"
"143","26","Julia Bertram"
"144","27","Edmund Bertram"
"145","27","Fanny Price"
"146","26","Mary Crawford"
"147","28","Edmund Bertram"
"148","28","Fanny Price"
"149","26","Henry Crawford"
"150","27","Julia Bertram"
"151","26","Maria Bertram"
"152","28","Mary Crawford"
"153","26","Mr Rushworth"
"154","26","Sir Thomas Bertram"
"155","25","Dr Grant"
"156","29","Edmund Bertram"
"157","29","Fanny Price"
"158","29","Henry Crawford"
"159","29","Julia Bertram"
