"node_id" "tags" "dpub"
"1" "Fanny Price, Lady Bertram, Maria Bertram, Mr Price, Mrs Norris, Mrs. Frances Price, Sir Thomas Bertram" "1"
"2" "Edmund Bertram, Mrs. Frances Price, Nanny, Sir Thomas Bertram, Tom Bertram" "2"
"3" "Ellis, Julia Bertram, Miss Lee, Mrs Norris, Nanny, Sir Thomas Bertram" "3"
"4" "Mrs. Frances Price" "4"
"5" "Fanny Price, Julia Bertram, Maria Bertram, Miss Lee, Sir Thomas Bertram" "5"
"6" "Edmund Bertram, Fanny Price, Julia Bertram, Maria Bertram, Mrs Norris, William Price" "6"
"7" "Edmund Bertram, Fanny Price, Julia Bertram, Lady Bertram, Maria Bertram, Sir Thomas Bertram, Tom Bertram" "7"
"8" "Edmund Bertram, Fanny Price, Miss Lee, Mrs. Frances Price, Sir Thomas Bertram, William Price" "8"
"9" "Dr Grant, Edmund Bertram, Fanny Price, Mrs Norris, Sir Thomas Bertram, Tom Bertram" "9"
"10" "Fanny Price, Miss Lee, Sir Thomas Bertram" "10"
"11" "Edmund Bertram, Fanny Price, Sir Thomas Bertram" "11"
"12" "Edmund Bertram, Fanny Price, Julia Bertram, Maria Bertram, Sir Thomas Bertram, William Price" "12"
"13" "Dr Grant, Edmund Bertram, Fanny Price, Julia Bertram, Maria Bertram, Miss Lee, Sir Thomas Bertram, Tom Bertram, William Price" "13"
"14" "Edmund Bertram, Fanny Price, Maria Bertram, Mr Rushworth, Sir Thomas Bertram, Tom Bertram" "14"
"15" "Admiral Crawford, Edmund Bertram, Fanny Price, Henry Crawford, Maria Bertram, Mary Crawford, Mr Rushworth, Mrs Crawford, Sir Thomas Bertram, Tom Bertram" "15"
"16" "Admiral Crawford, Dr Grant, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford" "16"
"17" "Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth" "17"
"18" "Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Miss Anderson, Sir Thomas Bertram, Tom Bertram" "18"
"19" "Charles, Charles Anderson, Edmund Bertram, Fanny Price, Mary Crawford, Miss Anderson, Miss Augusta Sneyd, Mrs Holford, Mrs Sneyd, Sneyd, Tom Bertram" "19"
"20" "Dr Grant, Edmund Bertram, Henry Crawford, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram, Smith, Tom Bertram" "20"
"21" "Admiral Crawford, Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Maria Bertram, Mary Crawford, Mr Rushworth" "21"
"22" "Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford, William Price" "22"
"23" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mr Rushworth" "23"
"24" "Admiral Crawford, Dr Grant, Edmund Bertram, Fanny Price, Mary Crawford, Mrs Crawford, William Price" "24"
"25" "Admiral Crawford, Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Mary Crawford" "25"
"26" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram" "26"
"27" "Edmund Bertram, Fanny Price, John Groom, Julia Bertram, Mr Green, Mrs Jefferies" "27"
"28" "Edmund Bertram, Fanny Price, Mary Crawford" "28"
"29" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram" "29"
"30" "Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth" "30"
"31" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth" "31"
"32" "Edmund Bertram, Fanny Price, Henry Crawford, Maria Bertram, Mary Crawford, Mr Rushworth" "32"
"33" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth" "33"
"34" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth" "34"
"35" "Edmund Bertram, Fanny Price, Mary Crawford" "35"
"36" "Edmund Bertram, Fanny Price, Mary Crawford" "36"
"37" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Smith" "37"
"38" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth" "38"
"39" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth" "39"
"40" "Fanny Price, Maria Bertram" "40"
"41" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram" "41"
"42" "Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford" "42"
"43" "Fanny Price" "43"
"44" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Mrs Norris, Sir Thomas Bertram, Tom Bertram" "44"
