"root_node_id" "tag"
"1" "Fanny Price"
"1" "Lady Bertram"
"1" "Maria Bertram"
"1" "Mr Price"
"1" "Mrs Norris"
"1" "Mrs. Frances Price"
"1" "Sir Thomas Bertram"
"2" "Edmund Bertram"
"2" "Nanny"
"2" "Tom Bertram"
"3" "Ellis"
"3" "Julia Bertram"
"3" "Miss Lee"
"6" "William Price"
"9" "Dr Grant"
"14" "Mr Rushworth"
"15" "Admiral Crawford"
"15" "Henry Crawford"
"15" "Mary Crawford"
"15" "Mrs Crawford"
"18" "Miss Anderson"
"19" "Charles"
"19" "Charles Anderson"
"19" "Miss Augusta Sneyd"
"19" "Mrs Holford"
"19" "Mrs Sneyd"
"19" "Sneyd"
"20" "Smith"
"27" "John Groom"
"27" "Mr Green"
"27" "Mrs Jefferies"
"47" "Lady Ravenshaw"
"47" "Lord Ravenshaw"
"57" "Charles Maddox"
"57" "Tom Oliver"
"69" "Baddeley"
"80" "Robert"
"90" "Mrs Brown"
"104" "Mrs Chapman"
"109" "Colonel Harrison"
"109" "Lady Prescott"
"115" "Sir Charles"
"137" "Lady Flora Stornaway"
"137" "Margaret Fraser"
"137" "Mr Fraser"
"137" "Mrs Janet Fraser"
"138" "Lord Stornaway"
"142" "Betsey Price"
"142" "Susan PriceMP"
"144" "Mr Campbell"
"145" "Captain Walsh"
"145" "Old Scholey"
"145" "Rebecca"
"145" "Sam Price"
"145" "Turner"
"146" "Charlie Price"
"148" "Mary Price"
"148" "Mrs. Admiral Maxwell"
"149" "Johnny Price"
"149" "Richard Price"
"158" "Maddison"
"169" "The Aylmers"
"174" "Mr Harding"
"175" "Mrs Rushworth"
