"source" "target" "tag"
6 7 "Seth Pecksniff"
7 8 "Charity Pecksniff"
7 8 "Mercy Pecksniff"
7 8 "Seth Pecksniff"
8 9 "Charity Pecksniff"
8 9 "Mercy Pecksniff"
8 9 "Seth Pecksniff"
9 10 "John Westlock"
9 10 "Seth Pecksniff"
9 10 "Tom Pinch"
10 11 "John Westlock"
10 11 "Seth Pecksniff"
10 11 "Tom Pinch"
11 12 "John Westlock"
11 12 "Tom Pinch"
11 13 "Seth Pecksniff"
13 14 "Seth Pecksniff"
14 16 "Seth Pecksniff"
16 17 "Mrs Lupin"
16 17 "Seth Pecksniff"
17 18 "Mrs Lupin"
17 18 "Seth Pecksniff"
18 19 "Seth Pecksniff"
18 20 "Martin Jr"
18 20 "Martin Sr"
19 20 "Seth Pecksniff"
18 22 "Mrs Lupin"
20 22 "Seth Pecksniff"
22 23 "Seth Pecksniff"
23 24 "Chevy Slyme"
20 24 "Martin Sr"
23 24 "Seth Pecksniff"
23 24 "Tigg Montague"
24 25 "Chevy Slyme"
24 25 "Mr/Mrs Spottletoe"
22 25 "Mrs Lupin"
24 25 "Seth Pecksniff"
24 25 "Tigg Montague"
25 26 "Anthony Chuzzlewit"
9 26 "Charity Pecksniff"
25 26 "Jonas Chuzzlewit"
9 26 "Mercy Pecksniff"
25 26 "Mr/Mrs Spottletoe"
2 26 "Mrs Ned Chuzzlewit"
25 26 "Seth Pecksniff"
26 27 "Charity Pecksniff"
25 27 "Chevy Slyme"
26 27 "Mercy Pecksniff"
26 27 "Mr/Mrs Spottletoe"
26 27 "Mrs Ned Chuzzlewit"
26 27 "Seth Pecksniff"
25 27 "Tigg Montague"
26 28 "Anthony Chuzzlewit"
27 28 "George Chuzzlewit"
27 28 "Mercy Pecksniff"
27 28 "Mr/Mrs Spottletoe"
27 28 "Mrs Ned Chuzzlewit"
27 28 "Seth Pecksniff"
27 28 "Tigg Montague"
27 29 "Charity Pecksniff"
28 29 "George Chuzzlewit"
24 29 "Martin Sr"
28 29 "Mr/Mrs Spottletoe"
28 29 "Mrs Ned Chuzzlewit"
28 29 "Seth Pecksniff"
29 30 "Seth Pecksniff"
28 30 "Tigg Montague"
30 31 "Seth Pecksniff"
12 31 "Tom Pinch"
31 32 "Tom Pinch"
32 33 "Mark Tapley"
25 33 "Mrs Lupin"
32 33 "Tom Pinch"
31 34 "Seth Pecksniff"
33 34 "Tom Pinch"
20 35 "Martin Jr"
34 35 "Tom Pinch"
35 36 "Martin Jr"
29 36 "Martin Sr"
34 36 "Seth Pecksniff"
35 36 "Tom Pinch"
29 37 "Charity Pecksniff"
36 37 "Martin Jr"
36 37 "Martin Sr"
28 37 "Mercy Pecksniff"
36 37 "Seth Pecksniff"
36 37 "Tom Pinch"
37 38 "Martin Jr"
37 38 "Mercy Pecksniff"
37 38 "Seth Pecksniff"
37 38 "Tom Pinch"
37 39 "Charity Pecksniff"
38 39 "Martin Jr"
37 39 "Martin Sr"
38 39 "Mercy Pecksniff"
38 39 "Seth Pecksniff"
38 39 "Tom Pinch"
39 40 "Martin Jr"
39 40 "Seth Pecksniff"
39 40 "Tom Pinch"
12 41 "John Westlock"
40 41 "Martin Jr"
39 41 "Mercy Pecksniff"
40 41 "Seth Pecksniff"
40 41 "Tom Pinch"
39 42 "Charity Pecksniff"
41 42 "John Westlock"
41 42 "Martin Jr"
41 42 "Mercy Pecksniff"
41 42 "Seth Pecksniff"
42 43 "Charity Pecksniff"
42 43 "John Westlock"
42 43 "Martin Jr"
42 43 "Mercy Pecksniff"
42 43 "Seth Pecksniff"
41 43 "Tom Pinch"
43 44 "Martin Jr"
43 44 "Mercy Pecksniff"
43 44 "Seth Pecksniff"
43 44 "Tom Pinch"
44 45 "Martin Jr"
44 45 "Tom Pinch"
45 46 "Martin Jr"
46 47 "Martin Jr"
44 47 "Mercy Pecksniff"
45 47 "Tom Pinch"
27 48 "Chevy Slyme"
47 48 "Martin Jr"
44 48 "Seth Pecksniff"
30 48 "Tigg Montague"
47 48 "Tom Pinch"
48 49 "Chevy Slyme"
33 49 "Mark Tapley"
48 49 "Martin Jr"
33 49 "Mrs Lupin"
48 49 "Seth Pecksniff"
48 49 "Tigg Montague"
48 49 "Tom Pinch"
49 50 "Chevy Slyme"
49 50 "Mark Tapley"
49 50 "Martin Jr"
49 50 "Seth Pecksniff"
49 50 "Tigg Montague"
49 50 "Tom Pinch"
50 51 "Chevy Slyme"
50 51 "Martin Jr"
50 51 "Tigg Montague"
50 51 "Tom Pinch"
50 52 "Mark Tapley"
51 52 "Martin Jr"
50 52 "Seth Pecksniff"
51 52 "Tigg Montague"
51 52 "Tom Pinch"
52 53 "Mark Tapley"
49 53 "Mrs Lupin"
52 53 "Tom Pinch"
53 54 "Mark Tapley"
53 54 "Mrs Lupin"
53 54 "Tom Pinch"
28 55 "Anthony Chuzzlewit"
43 55 "Charity Pecksniff"
52 55 "Seth Pecksniff"
55 56 "Charity Pecksniff"
26 56 "Jonas Chuzzlewit"
47 56 "Mercy Pecksniff"
55 56 "Seth Pecksniff"
55 57 "Anthony Chuzzlewit"
56 57 "Charity Pecksniff"
56 57 "Jonas Chuzzlewit"
39 57 "Martin Sr"
56 57 "Mercy Pecksniff"
56 57 "Seth Pecksniff"
57 58 "Seth Pecksniff"
57 59 "Mercy Pecksniff"
58 59 "Mr Jinkins"
58 59 "Mrs Todgers"
58 59 "Seth Pecksniff"
57 61 "Martin Sr"
59 61 "Mrs Todgers"
57 62 "Charity Pecksniff"
59 62 "Mercy Pecksniff"
59 62 "Mr Jinkins"
61 62 "Mrs Todgers"
59 62 "Seth Pecksniff"
54 62 "Tom Pinch"
62 63 "Mercy Pecksniff"
62 63 "Mrs Todgers"
62 63 "Ruth Pinch"
62 63 "Seth Pecksniff"
62 63 "Tom Pinch"
63 64 "Mercy Pecksniff"
63 64 "Mrs Todgers"
63 64 "Ruth Pinch"
63 64 "Seth Pecksniff"
64 65 "Mrs Todgers"
64 65 "Ruth Pinch"
64 65 "Seth Pecksniff"
62 66 "Charity Pecksniff"
61 66 "Martin Sr"
64 66 "Mercy Pecksniff"
62 66 "Mr Jinkins"
65 66 "Mrs Todgers"
65 66 "Seth Pecksniff"
59 66 "Young Bailey"
66 67 "Mercy Pecksniff"
66 67 "Mr Gander"
66 67 "Mr Jinkins"
66 67 "Mrs Todgers"
66 67 "Seth Pecksniff"
66 67 "Young Bailey"
66 68 "Charity Pecksniff"
67 68 "Mercy Pecksniff"
67 68 "Mr Gander"
67 68 "Mr Jinkins"
67 68 "Mrs Todgers"
67 68 "Seth Pecksniff"
67 68 "Young Bailey"
68 69 "Charity Pecksniff"
68 69 "Mercy Pecksniff"
68 69 "Mr Jinkins"
68 69 "Mrs Todgers"
68 69 "Seth Pecksniff"
68 70 "Augustus Moddle"
68 70 "Mr Gander"
69 70 "Mr Jinkins"
69 70 "Mrs Todgers"
69 70 "Seth Pecksniff"
68 70 "Young Bailey"
66 71 "Martin Sr"
70 71 "Seth Pecksniff"
69 72 "Charity Pecksniff"
71 72 "Martin Sr"
69 72 "Mercy Pecksniff"
71 72 "Seth Pecksniff"
72 73 "Martin Sr"
72 73 "Mercy Pecksniff"
72 73 "Seth Pecksniff"
73 74 "Martin Sr"
73 74 "Seth Pecksniff"
70 75 "Augustus Moddle"
73 75 "Mercy Pecksniff"
70 75 "Mr Jinkins"
70 75 "Mrs Todgers"
74 75 "Seth Pecksniff"
75 76 "Augustus Moddle"
75 76 "Mr Jinkins"
75 76 "Mrs Todgers"
75 76 "Seth Pecksniff"
76 77 "Mrs Todgers"
76 77 "Seth Pecksniff"
72 78 "Charity Pecksniff"
57 78 "Jonas Chuzzlewit"
75 78 "Mercy Pecksniff"
76 78 "Mr Jinkins"
77 78 "Mrs Todgers"
70 78 "Young Bailey"
78 79 "Charity Pecksniff"
78 79 "Jonas Chuzzlewit"
78 79 "Mercy Pecksniff"
78 79 "Young Bailey"
57 80 "Anthony Chuzzlewit"
79 80 "Charity Pecksniff"
79 80 "Jonas Chuzzlewit"
78 80 "Mr Jinkins"
80 81 "Anthony Chuzzlewit"
80 81 "Jonas Chuzzlewit"
74 81 "Martin Sr"
79 81 "Mercy Pecksniff"
81 82 "Anthony Chuzzlewit"
80 82 "Charity Pecksniff"
81 82 "Chuffey"
81 82 "Jonas Chuzzlewit"
81 82 "Mercy Pecksniff"
82 83 "Anthony Chuzzlewit"
82 83 "Charity Pecksniff"
82 83 "Jonas Chuzzlewit"
82 83 "Mercy Pecksniff"
80 83 "Mr Jinkins"
78 83 "Mrs Todgers"
77 83 "Seth Pecksniff"
76 84 "Augustus Moddle"
83 84 "Mr Jinkins"
83 84 "Mrs Todgers"
83 84 "Seth Pecksniff"
79 84 "Young Bailey"
83 85 "Anthony Chuzzlewit"
84 85 "Augustus Moddle"
83 85 "Charity Pecksniff"
83 85 "Mercy Pecksniff"
84 85 "Mr Jinkins"
84 85 "Seth Pecksniff"
84 85 "Young Bailey"
85 86 "Anthony Chuzzlewit"
85 86 "Augustus Moddle"
83 86 "Jonas Chuzzlewit"
85 86 "Mercy Pecksniff"
85 86 "Mr Jinkins"
84 86 "Mrs Todgers"
85 86 "Seth Pecksniff"
52 87 "Martin Jr"
63 87 "Tom Pinch"
43 88 "John Westlock"
54 88 "Mark Tapley"
87 88 "Martin Jr"
86 88 "Seth Pecksniff"
88 89 "John Westlock"
88 89 "Martin Jr"
81 89 "Martin Sr"
87 89 "Tom Pinch"
89 90 "John Westlock"
89 90 "Martin Jr"
88 90 "Seth Pecksniff"
90 91 "John Westlock"
90 91 "Martin Jr"
90 91 "Seth Pecksniff"
89 91 "Tom Pinch"
91 92 "John Westlock"
91 92 "Martin Jr"
91 92 "Seth Pecksniff"
52 92 "Tigg Montague"
91 92 "Tom Pinch"
92 93 "John Westlock"
92 93 "Martin Jr"
92 93 "Seth Pecksniff"
92 93 "Tigg Montague"
92 93 "Tom Pinch"
93 94 "Martin Jr"
93 94 "Seth Pecksniff"
93 94 "Tom Pinch"
94 95 "Martin Jr"
94 95 "Seth Pecksniff"
94 95 "Tom Pinch"
95 96 "Martin Jr"
95 96 "Seth Pecksniff"
95 96 "Tom Pinch"
96 97 "Martin Jr"
97 98 "Martin Jr"
89 98 "Martin Sr"
96 98 "Seth Pecksniff"
51 99 "Chevy Slyme"
98 99 "Martin Jr"
93 99 "Tigg Montague"
99 100 "Chevy Slyme"
99 100 "Martin Jr"
99 100 "Tigg Montague"
93 101 "John Westlock"
100 101 "Martin Jr"
88 102 "Mark Tapley"
101 102 "Martin Jr"
102 103 "Mark Tapley"
102 103 "Martin Jr"
96 103 "Tom Pinch"
103 104 "Mark Tapley"
103 104 "Martin Jr"
103 104 "Tom Pinch"
104 105 "Mark Tapley"
104 105 "Martin Jr"
98 105 "Martin Sr"
105 106 "Mark Tapley"
105 106 "Martin Jr"
98 106 "Seth Pecksniff"
106 107 "Mark Tapley"
106 107 "Martin Jr"
54 107 "Mrs Lupin"
107 108 "Mark Tapley"
107 108 "Martin Jr"
108 109 "Mark Tapley"
108 109 "Martin Jr"
109 110 "Mark Tapley"
109 110 "Martin Jr"
110 111 "Mark Tapley"
110 111 "Martin Jr"
111 112 "Mark Tapley"
111 112 "Martin Jr"
112 113 "Mark Tapley"
112 113 "Martin Jr"
113 114 "Martin Jr"
114 115 "Martin Jr"
115 116 "Colonel Diver"
113 116 "Mark Tapley"
115 116 "Martin Jr"
116 117 "Colonel Diver"
116 117 "Jeff Brick"
116 117 "Martin Jr"
117 118 "Colonel Diver"
117 118 "Jeff Brick"
117 118 "Martin Jr"
118 119 "Jeff Brick"
118 119 "Major Pawkins"
118 119 "Martin Jr"
119 120 "Jeff Brick"
119 120 "Martin Jr"
119 120 "Mrs Pawkins"
118 121 "Colonel Diver"
120 121 "Jeff Brick"
120 121 "Martin Jr"
121 122 "Martin Jr"
116 123 "Mark Tapley"
122 123 "Martin Jr"
123 124 "Mark Tapley"
123 124 "Martin Jr"
124 125 "Mark Tapley"
124 125 "Martin Jr"
124 125 "Mr Bevan"
