"id1" "id2" "label"
"Anonymous Woman" "Augustus Moddle" 2
"Anonymous Woman" "General Choke" 1
"Anonymous Woman" "Major Chollop" 1
"Anonymous Woman" "Mark Tapley" 6
"Anonymous Woman" "Martin Jr" 5
"Anonymous Woman" "Martin Sr" 2
"Anonymous Woman" "Mercy Pecksniff" 1
"Anonymous Woman" "Mr Jinkins" 1
"Anonymous Woman" "Mr/Mrs Spottletoe" 1
"Anonymous Woman" "Mrs Lupin" 1
"Anonymous Woman" "Mrs Todgers" 1
"Anonymous Woman" "Seth Pecksniff" 1
"Anonymous Woman" "Tom Pinch" 1
"Anonymous Woman" "Zephaniah Scadder" 1
"Anthony Chuzzlewit" "Augustus Moddle" 4
"Anthony Chuzzlewit" "Bullamy" 1
"Anthony Chuzzlewit" "Charity Pecksniff" 9
"Anthony Chuzzlewit" "Chevy Slyme" 1
"Anthony Chuzzlewit" "Chuffey" 13
"Anthony Chuzzlewit" "David Crimple" 1
"Anthony Chuzzlewit" "Doctor Jobling" 4
"Anthony Chuzzlewit" "George Chuzzlewit" 1
"Anthony Chuzzlewit" "John Westlock" 3
"Anthony Chuzzlewit" "Jonas Chuzzlewit" 20
"Anthony Chuzzlewit" "Lewsome" 3
"Anthony Chuzzlewit" "Mark Tapley" 1
"Anthony Chuzzlewit" "Martin Jr" 3
"Anthony Chuzzlewit" "Martin Sr" 12
"Anthony Chuzzlewit" "Mercy Pecksniff" 9
"Anthony Chuzzlewit" "Mr Jinkins" 5
"Anthony Chuzzlewit" "Mr Mould" 3
"Anthony Chuzzlewit" "Mr/Mrs Spottletoe" 3
"Anthony Chuzzlewit" "Mrs Gamp" 8
"Anthony Chuzzlewit" "Mrs Lupin" 1
"Anthony Chuzzlewit" "Mrs Mould" 1
"Anthony Chuzzlewit" "Mrs Ned Chuzzlewit" 2
"Anthony Chuzzlewit" "Mrs Prig" 3
"Anthony Chuzzlewit" "Mrs Todgers" 7
"Anthony Chuzzlewit" "Nadgett" 1
"Anthony Chuzzlewit" "Seth Pecksniff" 19
"Anthony Chuzzlewit" "Tacker" 1
"Anthony Chuzzlewit" "Tigg Montague" 3
"Anthony Chuzzlewit" "Young Bailey" 2
"Augustus Moddle" "Charity Pecksniff" 10
"Augustus Moddle" "Chuffey" 4
"Augustus Moddle" "General Choke" 1
"Augustus Moddle" "George Chuzzlewit" 2
"Augustus Moddle" "John Westlock" 1
"Augustus Moddle" "Jonas Chuzzlewit" 7
"Augustus Moddle" "Mark Tapley" 3
"Augustus Moddle" "Martin Jr" 1
"Augustus Moddle" "Martin Sr" 4
"Augustus Moddle" "Mercy Pecksniff" 14
"Augustus Moddle" "Mr Gander" 2
"Augustus Moddle" "Mr Jinkins" 11
"Augustus Moddle" "Mr/Mrs Spottletoe" 3
"Augustus Moddle" "Mrs Gamp" 4
"Augustus Moddle" "Mrs Lupin" 1
"Augustus Moddle" "Mrs Ned Chuzzlewit" 2
"Augustus Moddle" "Mrs Prig" 1
"Augustus Moddle" "Mrs Todgers" 19
"Augustus Moddle" "Nadgett" 1
"Augustus Moddle" "Ruth Pinch" 3
"Augustus Moddle" "Seth Pecksniff" 9
"Augustus Moddle" "Tom Pinch" 3
"Augustus Moddle" "Young Bailey" 6
"Augustus Moddle" "Zephaniah Scadder" 1
"Bullamy" "Chuffey" 1
"Bullamy" "David Crimple" 3
"Bullamy" "Doctor Jobling" 2
"Bullamy" "John Westlock" 1
"Bullamy" "Jonas Chuzzlewit" 2
"Bullamy" "Mrs Gamp" 1
"Bullamy" "Mrs Todgers" 1
"Bullamy" "Seth Pecksniff" 1
"Bullamy" "Tigg Montague" 2
"Captain Kedgick" "Doctor Dunkle" 1
"Captain Kedgick" "Mark Tapley" 4
"Captain Kedgick" "Martin Jr" 4
"Captain Kedgick" "Mrs Gamp" 1
"Captain Kedgick" "Mrs Hominy" 1
"Captain Kedgick" "Pogram" 1
"Captain Kedgick" "Zephaniah Scadder" 1
"Charity Pecksniff" "Chevy Slyme" 1
"Charity Pecksniff" "Chuffey" 3
"Charity Pecksniff" "George Chuzzlewit" 3
"Charity Pecksniff" "John Westlock" 4
"Charity Pecksniff" "Jonas Chuzzlewit" 20
"Charity Pecksniff" "Martin Jr" 7
"Charity Pecksniff" "Martin Sr" 9
"Charity Pecksniff" "Mary" 1
"Charity Pecksniff" "Mercy Pecksniff" 32
"Charity Pecksniff" "Mr Gander" 2
"Charity Pecksniff" "Mr Jinkins" 11
"Charity Pecksniff" "Mr/Mrs Spottletoe" 4
"Charity Pecksniff" "Mrs Gamp" 3
"Charity Pecksniff" "Mrs Lupin" 1
"Charity Pecksniff" "Mrs Ned Chuzzlewit" 4
"Charity Pecksniff" "Mrs Prig" 1
"Charity Pecksniff" "Mrs Todgers" 15
"Charity Pecksniff" "Ruth Pinch" 2
"Charity Pecksniff" "Seth Pecksniff" 32
"Charity Pecksniff" "Sophia" 1
"Charity Pecksniff" "Tigg Montague" 1
"Charity Pecksniff" "Tom Pinch" 15
"Charity Pecksniff" "Young Bailey" 6
"Chevy Slyme" "Chuffey" 2
"Chevy Slyme" "George Chuzzlewit" 1
"Chevy Slyme" "John Westlock" 1
