"Character","Node"
"Bazzard","46, 91, 92, 49, 47, 48, 98"
"Deputy","55, 18, 84, 85, 56, 107, 108, 19"
"Dick Datchery","106, 107, 108, 83, 85, 109, 84, 82"
"Durdles","85, 20, 51, 56, 55, 17, 54, 16, 107, 18, 66, 84, 19, 53, 52"
"Edwin Drood","13, 74, 73, 107, 27, 7, 33, 46, 31, 58, 59, 12, 29, 5, 44, 64, 6, 30, 38, 65, 63, 49, 36, 47, 10, 70, 79, 103, 11, 69, 48, 35, 60, 42, 41, 43, 57, 26"
"Helena Landless","93, 40, 26, 23, 63, 22, 33, 96, 88, 57, 60, 42, 43, 34, 79, 97, 92, 29, 27, 64, 86, 103, 70, 62, 89, 94, 41"
"Hiram Grewgious","45, 91, 60, 46, 36, 93, 49, 47, 94, 35, 70, 98, 90, 81, 38, 99, 58, 37, 73, 103, 50, 79, 78, 34, 80, 48, 97, 71, 75, 92, 72, 100, 64"
"Jack Chinaman","1, 103"
"Joe","90, 23, 68"
"John Jasper","4, 26, 91, 17, 7, 55, 5, 64, 32, 38, 65, 6, 59, 31, 8, 66, 37, 73, 67, 22, 52, 56, 15, 39, 69, 53, 16, 12, 97, 43, 54, 70, 14, 44, 80, 74, 103, 72, 19, 27, 75, 20, 51, 18, 41, 29, 86, 49, 89, 108, 30, 36, 83, 106, 107, 60, 84"
"Lieutenant Tartar","96, 81, 94, 80, 97, 93, 100, 99"
"Lobley","100, 99"
"Luke Honeythunder","78, 76, 23, 21, 26, 77, 25, 24, 22"
"Miss Brobity","15"
"Miss Dean","4"
"Miss Ferdinand","37, 34, 57"
"Miss Giggles","34, 57"
"Miss Jennings","34"
"Miss Reynolds","34"
"Miss Rickitts","57"
"Miss Twinkleton","57, 33, 27, 11, 100, 37, 12, 9, 93, 58, 24, 60, 86, 22, 34, 101, 89, 102, 10, 90, 35, 97, 62, 26, 98, 99"
"Mr Porters","9, 10"
"Mr Tope","82, 83, 24, 72, 108, 26, 51, 66, 52, 62, 4"
"Mrs Billickin","99, 102, 101, 100, 98"
"Mrs Crisparkle","39, 78, 27, 22, 31, 40, 21, 26, 23, 74, 75"
"Mrs Dean","4"
"Mrs Tisher","57, 11, 33, 86, 34, 10, 27, 58"
"Mrs Tope","83, 108, 109, 72, 5, 82, 62"
"Neville Landless","25, 62, 30, 81, 74, 66, 87, 22, 53, 68, 75, 80, 73, 78, 33, 63, 96, 23, 69, 94, 44, 103, 92, 42, 88, 26, 43, 41, 29, 31, 77, 67, 39, 97, 70, 79"
"Princess Puffer","108"
"Rosa Bud","11, 46, 101, 57, 26, 34, 41, 49, 100, 59, 86, 12, 36, 91, 90, 102, 10, 64, 37, 33, 98, 96, 87, 47, 93, 88, 70, 92, 60, 97, 62, 103, 58, 35, 27, 94, 29, 99, 13, 89"
"Septimus Crisparkle","39, 53, 21, 43, 26, 5, 66, 75, 96, 108, 67, 65, 40, 93, 73, 23, 76, 29, 94, 74, 80, 41, 103, 42, 98, 78, 31, 63, 4, 88, 87, 97, 44, 77, 32, 33, 62, 69, 89, 57, 79, 25, 24, 22"
"The Dean","51, 108, 14, 83, 5, 75, 52, 16, 62, 4"
"Thomas Sapsea","69, 74, 16, 86, 65, 15, 84, 51, 88, 22, 73, 58, 52, 18, 83, 17, 19, 14, 70"
