"","V1","V2"
"1","5","John Jasper"
"2","5","Septimus Crisparkle"
"3","5","The Dean"
"4","6","Edwin Drood"
"5","6","John Jasper"
"6","7","Edwin Drood"
"7","7","John Jasper"
"8","8","John Jasper"
"9","10","Edwin Drood"
"10","10","Miss Twinkleton"
"11","10","Mr Porters"
"12","11","Edwin Drood"
"13","11","Miss Twinkleton"
"14","11","Mrs Tisher"
"15","11","Rosa Bud"
"16","12","Edwin Drood"
"17","12","John Jasper"
"18","12","Miss Twinkleton"
"19","12","Rosa Bud"
"20","13","Edwin Drood"
"21","13","Rosa Bud"
"22","14","John Jasper"
"23","14","The Dean"
"24","15","John Jasper"
"25","15","Thomas Sapsea"
"26","16","John Jasper"
"27","16","The Dean"
"28","16","Thomas Sapsea"
"29","17","Durdles"
"30","17","John Jasper"
"31","17","Thomas Sapsea"
"32","18","Durdles"
"33","18","John Jasper"
"34","18","Thomas Sapsea"
"35","19","Deputy"
"36","19","Durdles"
"37","19","John Jasper"
"38","19","Thomas Sapsea"
"39","20","Durdles"
"40","20","John Jasper"
"41","21","Septimus Crisparkle"
"42","22","John Jasper"
"43","22","Luke Honeythunder"
"44","22","Miss Twinkleton"
"45","22","Mrs Crisparkle"
"46","22","Septimus Crisparkle"
"47","22","Thomas Sapsea"
"48","23","Helena Landless"
"49","23","Luke Honeythunder"
"50","23","Mrs Crisparkle"
"51","23","Neville Landless"
"52","23","Septimus Crisparkle"
"53","24","Luke Honeythunder"
"54","24","Miss Twinkleton"
"55","24","Mr Tope"
"56","24","Septimus Crisparkle"
"57","25","Luke Honeythunder"
"58","25","Neville Landless"
"59","25","Septimus Crisparkle"
"60","26","Edwin Drood"
"61","26","Helena Landless"
"62","26","John Jasper"
"63","26","Luke Honeythunder"
"64","26","Miss Twinkleton"
"65","26","Mr Tope"
"66","26","Mrs Crisparkle"
"67","26","Neville Landless"
"68","26","Rosa Bud"
"69","26","Septimus Crisparkle"
"70","27","Edwin Drood"
"71","27","Helena Landless"
"72","27","John Jasper"
"73","27","Miss Twinkleton"
"74","27","Mrs Crisparkle"
"75","27","Mrs Tisher"
"76","27","Rosa Bud"
"77","29","Edwin Drood"
"78","29","Helena Landless"
"79","29","John Jasper"
"80","29","Neville Landless"
"81","29","Rosa Bud"
"82","29","Septimus Crisparkle"
"83","30","Edwin Drood"
"84","30","John Jasper"
"85","30","Neville Landless"
"86","31","Edwin Drood"
"87","31","John Jasper"
"88","31","Mrs Crisparkle"
"89","31","Neville Landless"
"90","31","Septimus Crisparkle"
"91","32","John Jasper"
"92","32","Septimus Crisparkle"
"93","33","Edwin Drood"
"94","33","Helena Landless"
"95","33","Miss Twinkleton"
"96","33","Mrs Tisher"
"97","33","Neville Landless"
"98","33","Rosa Bud"
"99","33","Septimus Crisparkle"
"100","34","Helena Landless"
"101","34","Miss Twinkleton"
"102","34","Mrs Tisher"
"103","34","Rosa Bud"
"104","35","Edwin Drood"
"105","35","Hiram Grewgious"
"106","35","Miss Twinkleton"
"107","35","Rosa Bud"
"108","36","Edwin Drood"
"109","36","Hiram Grewgious"
"110","36","John Jasper"
"111","36","Rosa Bud"
"112","37","Hiram Grewgious"
"113","37","John Jasper"
"114","37","Miss Ferdinand"
"115","37","Miss Twinkleton"
"116","37","Rosa Bud"
"117","38","Edwin Drood"
"118","38","Hiram Grewgious"
"119","38","John Jasper"
"120","39","John Jasper"
"121","39","Mrs Crisparkle"
"122","39","Neville Landless"
"123","39","Septimus Crisparkle"
"124","40","Helena Landless"
"125","40","Mrs Crisparkle"
"126","40","Septimus Crisparkle"
"127","41","Edwin Drood"
"128","41","Helena Landless"
"129","41","John Jasper"
"130","41","Neville Landless"
"131","41","Rosa Bud"
"132","41","Septimus Crisparkle"
"133","42","Edwin Drood"
"134","42","Helena Landless"
"135","42","Neville Landless"
"136","42","Septimus Crisparkle"
"137","43","Edwin Drood"
"138","43","Helena Landless"
"139","43","John Jasper"
"140","43","Neville Landless"
"141","43","Septimus Crisparkle"
"142","44","Edwin Drood"
"143","44","John Jasper"
"144","44","Neville Landless"
"145","44","Septimus Crisparkle"
"146","45","Hiram Grewgious"
"147","46","Edwin Drood"
"148","46","Hiram Grewgious"
"149","46","Rosa Bud"
"150","47","Bazzard"
"151","47","Edwin Drood"
"152","47","Hiram Grewgious"
"153","47","Rosa Bud"
"154","48","Bazzard"
"155","48","Edwin Drood"
"156","48","Hiram Grewgious"
"157","49","Bazzard"
"158","49","Edwin Drood"
"159","49","Hiram Grewgious"
"160","49","John Jasper"
"161","49","Rosa Bud"
"162","50","Hiram Grewgious"
"163","51","Durdles"
"164","51","John Jasper"
"165","51","Mr Tope"
"166","51","The Dean"
"167","51","Thomas Sapsea"
"168","52","Durdles"
"169","52","John Jasper"
"170","52","Mr Tope"
"171","52","The Dean"
"172","52","Thomas Sapsea"
"173","53","Durdles"
"174","53","John Jasper"
"175","53","Neville Landless"
"176","53","Septimus Crisparkle"
"177","54","Durdles"
"178","54","John Jasper"
"179","55","Deputy"
"180","55","Durdles"
"181","55","John Jasper"
"182","56","Deputy"
"183","56","Durdles"
"184","56","John Jasper"
"185","57","Edwin Drood"
"186","57","Helena Landless"
"187","57","Miss Ferdinand"
"188","57","Miss Giggles"
"189","57","Miss Twinkleton"
"190","57","Mrs Tisher"
"191","57","Rosa Bud"
"192","57","Septimus Crisparkle"
"193","58","Edwin Drood"
"194","58","Hiram Grewgious"
"195","58","Miss Twinkleton"
"196","58","Mrs Tisher"
"197","58","Rosa Bud"
"198","58","Thomas Sapsea"
"199","59","Edwin Drood"
"200","59","John Jasper"
"201","59","Rosa Bud"
"202","60","Edwin Drood"
"203","60","Helena Landless"
"204","60","Hiram Grewgious"
"205","60","John Jasper"
"206","60","Miss Twinkleton"
"207","60","Rosa Bud"
"208","62","Helena Landless"
"209","62","Miss Twinkleton"
"210","62","Mr Tope"
"211","62","Mrs Tope"
"212","62","Neville Landless"
"213","62","Rosa Bud"
"214","62","Septimus Crisparkle"
"215","62","The Dean"
"216","63","Edwin Drood"
"217","63","Helena Landless"
"218","63","Neville Landless"
"219","63","Septimus Crisparkle"
"220","64","Edwin Drood"
"221","64","Helena Landless"
"222","64","Hiram Grewgious"
"223","64","John Jasper"
"224","64","Rosa Bud"
"225","65","Edwin Drood"
"226","65","John Jasper"
"227","65","Septimus Crisparkle"
"228","65","Thomas Sapsea"
"229","66","Durdles"
"230","66","John Jasper"
"231","66","Mr Tope"
"232","66","Neville Landless"
"233","66","Septimus Crisparkle"
"234","67","John Jasper"
"235","67","Neville Landless"
"236","67","Septimus Crisparkle"
"237","68","Joe"
"238","68","Neville Landless"
"239","69","Edwin Drood"
"240","69","John Jasper"
"241","69","Neville Landless"
"242","69","Septimus Crisparkle"
"243","69","Thomas Sapsea"
"244","70","Edwin Drood"
"245","70","Helena Landless"
"246","70","Hiram Grewgious"
"247","70","John Jasper"
"248","70","Neville Landless"
"249","70","Rosa Bud"
"250","70","Thomas Sapsea"
"251","71","Hiram Grewgious"
"252","72","Hiram Grewgious"
"253","72","John Jasper"
"254","72","Mr Tope"
"255","72","Mrs Tope"
"256","73","Edwin Drood"
"257","73","Hiram Grewgious"
"258","73","John Jasper"
"259","73","Neville Landless"
"260","73","Septimus Crisparkle"
"261","73","Thomas Sapsea"
"262","74","Edwin Drood"
"263","74","John Jasper"
"264","74","Mrs Crisparkle"
"265","74","Neville Landless"
"266","74","Septimus Crisparkle"
"267","74","Thomas Sapsea"
"268","75","Hiram Grewgious"
"269","75","John Jasper"
"270","75","Mrs Crisparkle"
"271","75","Neville Landless"
"272","75","Septimus Crisparkle"
"273","75","The Dean"
"274","76","Luke Honeythunder"
"275","76","Septimus Crisparkle"
"276","77","Luke Honeythunder"
"277","77","Neville Landless"
"278","77","Septimus Crisparkle"
"279","78","Hiram Grewgious"
"280","78","Luke Honeythunder"
"281","78","Mrs Crisparkle"
"282","78","Neville Landless"
"283","78","Septimus Crisparkle"
"284","79","Edwin Drood"
"285","79","Helena Landless"
"286","79","Hiram Grewgious"
"287","79","Neville Landless"
"288","79","Septimus Crisparkle"
"289","80","Hiram Grewgious"
"290","80","John Jasper"
"291","80","Neville Landless"
"292","80","Septimus Crisparkle"
"293","81","Hiram Grewgious"
"294","81","Lieutenant Tartar"
"295","81","Neville Landless"
"296","82","Mr Tope"
"297","82","Mrs Tope"
"298","83","Dick Datchery"
"299","83","John Jasper"
"300","83","Mr Tope"
"301","83","Mrs Tope"
"302","83","The Dean"
"303","83","Thomas Sapsea"
"304","84","Deputy"
"305","84","Dick Datchery"
"306","84","Durdles"
"307","84","John Jasper"
"308","84","Thomas Sapsea"
"309","85","Deputy"
"310","85","Dick Datchery"
"311","85","Durdles"
"312","86","Helena Landless"
"313","86","John Jasper"
"314","86","Miss Twinkleton"
"315","86","Mrs Tisher"
"316","86","Rosa Bud"
"317","86","Thomas Sapsea"
"318","87","Neville Landless"
"319","87","Rosa Bud"
"320","87","Septimus Crisparkle"
"321","88","Helena Landless"
"322","88","Neville Landless"
"323","88","Rosa Bud"
"324","88","Septimus Crisparkle"
"325","88","Thomas Sapsea"
"326","89","Helena Landless"
"327","89","John Jasper"
"328","89","Miss Twinkleton"
"329","89","Rosa Bud"
"330","89","Septimus Crisparkle"
"331","90","Hiram Grewgious"
"332","90","Joe"
"333","90","Miss Twinkleton"
"334","90","Rosa Bud"
"335","91","Bazzard"
"336","91","Hiram Grewgious"
"337","91","John Jasper"
"338","91","Rosa Bud"
"339","92","Bazzard"
"340","92","Helena Landless"
"341","92","Hiram Grewgious"
"342","92","Neville Landless"
"343","92","Rosa Bud"
"344","93","Helena Landless"
"345","93","Hiram Grewgious"
"346","93","Lieutenant Tartar"
"347","93","Miss Twinkleton"
"348","93","Rosa Bud"
"349","93","Septimus Crisparkle"
"350","94","Helena Landless"
"351","94","Hiram Grewgious"
"352","94","Lieutenant Tartar"
"353","94","Neville Landless"
"354","94","Rosa Bud"
"355","94","Septimus Crisparkle"
"356","96","Helena Landless"
"357","96","Lieutenant Tartar"
"358","96","Neville Landless"
"359","96","Rosa Bud"
"360","96","Septimus Crisparkle"
"361","97","Helena Landless"
"362","97","Hiram Grewgious"
"363","97","John Jasper"
"364","97","Lieutenant Tartar"
"365","97","Miss Twinkleton"
"366","97","Neville Landless"
"367","97","Rosa Bud"
"368","97","Septimus Crisparkle"
"369","98","Bazzard"
"370","98","Hiram Grewgious"
"371","98","Miss Twinkleton"
"372","98","Rosa Bud"
"373","98","Septimus Crisparkle"
"374","99","Hiram Grewgious"
"375","99","Lieutenant Tartar"
"376","99","Miss Twinkleton"
"377","99","Mrs Billickin"
"378","99","Rosa Bud"
"379","100","Hiram Grewgious"
"380","100","Lieutenant Tartar"
"381","100","Lobley"
"382","100","Miss Twinkleton"
"383","100","Mrs Billickin"
"384","100","Rosa Bud"
"385","101","Miss Twinkleton"
"386","101","Mrs Billickin"
"387","101","Rosa Bud"
"388","102","Miss Twinkleton"
"389","102","Mrs Billickin"
"390","102","Rosa Bud"
"391","103","Edwin Drood"
"392","103","Helena Landless"
"393","103","Hiram Grewgious"
"394","103","Jack Chinaman"
"395","103","John Jasper"
"396","103","Neville Landless"
"397","103","Rosa Bud"
"398","103","Septimus Crisparkle"
"399","106","Dick Datchery"
"400","106","John Jasper"
"401","107","Deputy"
"402","107","Dick Datchery"
"403","107","Durdles"
"404","107","Edwin Drood"
"405","107","John Jasper"
"406","108","Deputy"
"407","108","Dick Datchery"
"408","108","John Jasper"
"409","108","Mr Tope"
"410","108","Mrs Tope"
"411","108","Septimus Crisparkle"
"412","108","The Dean"
"413","109","Dick Datchery"
"414","109","Mrs Tope"
