"id1" "id2" "label"
"Bazzard" "Edwin Drood" 4
"Bazzard" "Helena Landless" 1
"Bazzard" "Hiram Grewgious" 7
"Bazzard" "John Jasper" 2
"Bazzard" "Miss Twinkleton" 1
"Bazzard" "Mrs Billickin" 1
"Bazzard" "Neville Landless" 1
"Bazzard" "Rosa Bud" 6
"Bazzard" "Septimus Crisparkle" 1
"Deputy" "Dick Datchery" 4
"Deputy" "Durdles" 7
"Deputy" "Edwin Drood" 1
"Deputy" "John Jasper" 7
"Deputy" "Mr Tope" 1
"Deputy" "Mrs Tope" 1
"Deputy" "Princess Puffer" 1
"Deputy" "Septimus Crisparkle" 1
"Deputy" "The Dean" 1
"Deputy" "Thomas Sapsea" 3
"Dick Datchery" "Durdles" 3
"Dick Datchery" "Edwin Drood" 1
"Dick Datchery" "John Jasper" 5
"Dick Datchery" "Mr Tope" 3
"Dick Datchery" "Mrs Tope" 4
"Dick Datchery" "Princess Puffer" 1
"Dick Datchery" "Septimus Crisparkle" 1
"Dick Datchery" "The Dean" 2
"Dick Datchery" "Thomas Sapsea" 2
"Durdles" "Edwin Drood" 1
"Durdles" "John Jasper" 14
"Durdles" "Mr Tope" 3
"Durdles" "Neville Landless" 2
"Durdles" "Septimus Crisparkle" 2
"Durdles" "The Dean" 3
"Durdles" "Thomas Sapsea" 7
"Edwin Drood" "Helena Landless" 14
"Edwin Drood" "Hiram Grewgious" 14
"Edwin Drood" "Jack Chinaman" 1
"Edwin Drood" "John Jasper" 25
"Edwin Drood" "Luke Honeythunder" 1
"Edwin Drood" "Miss Ferdinand" 1
"Edwin Drood" "Miss Giggles" 1
"Edwin Drood" "Miss Rickitts" 1
"Edwin Drood" "Miss Twinkleton" 10
"Edwin Drood" "Mr Porters" 1
"Edwin Drood" "Mr Tope" 1
"Edwin Drood" "Mrs Crisparkle" 4
"Edwin Drood" "Mrs Tisher" 6
"Edwin Drood" "Mrs Tope" 1
"Edwin Drood" "Neville Landless" 16
"Edwin Drood" "Rosa Bud" 21
"Edwin Drood" "Septimus Crisparkle" 17
"Edwin Drood" "The Dean" 1
"Edwin Drood" "Thomas Sapsea" 6
"Helena Landless" "Hiram Grewgious" 10
"Helena Landless" "Jack Chinaman" 1
"Helena Landless" "Joe" 1
"Helena Landless" "John Jasper" 13
"Helena Landless" "Lieutenant Tartar" 4
"Helena Landless" "Luke Honeythunder" 3
"Helena Landless" "Miss Ferdinand" 2
"Helena Landless" "Miss Giggles" 2
"Helena Landless" "Miss Jennings" 1
"Helena Landless" "Miss Reynolds" 1
"Helena Landless" "Miss Rickitts" 1
"Helena Landless" "Miss Twinkleton" 12
"Helena Landless" "Mr Tope" 2
"Helena Landless" "Mrs Crisparkle" 5
"Helena Landless" "Mrs Tisher" 5
"Helena Landless" "Mrs Tope" 1
"Helena Landless" "Neville Landless" 18
"Helena Landless" "Rosa Bud" 20
"Helena Landless" "Septimus Crisparkle" 20
"Helena Landless" "The Dean" 1
"Helena Landless" "Thomas Sapsea" 4
"Hiram Grewgious" "Jack Chinaman" 1
"Hiram Grewgious" "Joe" 1
"Hiram Grewgious" "John Jasper" 14
"Hiram Grewgious" "Lieutenant Tartar" 7
"Hiram Grewgious" "Lobley" 2
"Hiram Grewgious" "Luke Honeythunder" 1
"Hiram Grewgious" "Miss Ferdinand" 2
"Hiram Grewgious" "Miss Giggles" 1
"Hiram Grewgious" "Miss Jennings" 1
"Hiram Grewgious" "Miss Reynolds" 1
"Hiram Grewgious" "Miss Twinkleton" 11
"Hiram Grewgious" "Mr Tope" 1
"Hiram Grewgious" "Mrs Billickin" 3
"Hiram Grewgious" "Mrs Crisparkle" 2
"Hiram Grewgious" "Mrs Tisher" 2
"Hiram Grewgious" "Mrs Tope" 1
"Hiram Grewgious" "Neville Landless" 11
"Hiram Grewgious" "Rosa Bud" 21
"Hiram Grewgious" "Septimus Crisparkle" 10
"Hiram Grewgious" "The Dean" 1
"Hiram Grewgious" "Thomas Sapsea" 3
"Jack Chinaman" "John Jasper" 1
"Jack Chinaman" "Neville Landless" 1
"Jack Chinaman" "Rosa Bud" 1
"Jack Chinaman" "Septimus Crisparkle" 1
"Joe" "Luke Honeythunder" 1
"Joe" "Miss Twinkleton" 1
"Joe" "Mrs Crisparkle" 1
"Joe" "Neville Landless" 2
"Joe" "Rosa Bud" 1
"Joe" "Septimus Crisparkle" 1
"John Jasper" "Lieutenant Tartar" 2
"John Jasper" "Luke Honeythunder" 2
"John Jasper" "Miss Brobity" 1
"John Jasper" "Miss Dean" 1
"John Jasper" "Miss Ferdinand" 1
"John Jasper" "Miss Twinkleton" 9
"John Jasper" "Mr Tope" 8
"John Jasper" "Mrs Crisparkle" 7
"John Jasper" "Mrs Dean" 1
"John Jasper" "Mrs Tisher" 2
"John Jasper" "Mrs Tope" 4
"John Jasper" "Neville Landless" 20
"John Jasper" "Princess Puffer" 1
"John Jasper" "Rosa Bud" 17
"John Jasper" "Septimus Crisparkle" 24
"John Jasper" "The Dean" 9
"John Jasper" "Thomas Sapsea" 17
"Lieutenant Tartar" "Lobley" 2
"Lieutenant Tartar" "Miss Twinkleton" 4
"Lieutenant Tartar" "Mrs Billickin" 2
"Lieutenant Tartar" "Neville Landless" 5
"Lieutenant Tartar" "Rosa Bud" 6
"Lieutenant Tartar" "Septimus Crisparkle" 5
"Lobley" "Miss Twinkleton" 2
"Lobley" "Mrs Billickin" 2
"Lobley" "Rosa Bud" 2
"Luke Honeythunder" "Miss Twinkleton" 3
"Luke Honeythunder" "Mr Tope" 2
"Luke Honeythunder" "Mrs Crisparkle" 5
"Luke Honeythunder" "Neville Landless" 6
"Luke Honeythunder" "Rosa Bud" 1
"Luke Honeythunder" "Septimus Crisparkle" 9
"Luke Honeythunder" "Thomas Sapsea" 1
"Miss Brobity" "Thomas Sapsea" 1
"Miss Dean" "Mr Tope" 1
"Miss Dean" "Mrs Dean" 1
"Miss Dean" "Septimus Crisparkle" 1
"Miss Dean" "The Dean" 1
"Miss Ferdinand" "Miss Giggles" 2
"Miss Ferdinand" "Miss Jennings" 1
"Miss Ferdinand" "Miss Reynolds" 1
"Miss Ferdinand" "Miss Rickitts" 1
"Miss Ferdinand" "Miss Twinkleton" 3
"Miss Ferdinand" "Mrs Tisher" 2
"Miss Ferdinand" "Rosa Bud" 3
"Miss Ferdinand" "Septimus Crisparkle" 1
"Miss Giggles" "Miss Jennings" 1
"Miss Giggles" "Miss Reynolds" 1
"Miss Giggles" "Miss Rickitts" 1
"Miss Giggles" "Miss Twinkleton" 2
"Miss Giggles" "Mrs Tisher" 2
"Miss Giggles" "Rosa Bud" 2
"Miss Giggles" "Septimus Crisparkle" 1
"Miss Jennings" "Miss Reynolds" 1
"Miss Jennings" "Miss Twinkleton" 1
"Miss Jennings" "Mrs Tisher" 1
"Miss Jennings" "Rosa Bud" 1
"Miss Reynolds" "Miss Twinkleton" 1
"Miss Reynolds" "Mrs Tisher" 1
"Miss Reynolds" "Rosa Bud" 1
"Miss Rickitts" "Miss Twinkleton" 1
"Miss Rickitts" "Mrs Tisher" 1
