"V1","V2"
"John Jasper","Miss Dean"
"John Jasper","Mr Tope"
"John Jasper","Mrs Dean"
"John Jasper","Septimus Crisparkle"
"John Jasper","The Dean"
"Miss Dean","Mr Tope"
"Miss Dean","Mrs Dean"
"Miss Dean","Septimus Crisparkle"
"Miss Dean","The Dean"
"Mr Tope","Mrs Dean"
"Mr Tope","Septimus Crisparkle"
"Mr Tope","The Dean"
"Mrs Dean","Septimus Crisparkle"
"Mrs Dean","The Dean"
"Septimus Crisparkle","The Dean"
"Edwin Drood","John Jasper"
"Edwin Drood","Mrs Tope"
"Edwin Drood","Septimus Crisparkle"
"Edwin Drood","The Dean"
"John Jasper","Mrs Tope"
"Mrs Tope","Septimus Crisparkle"
"Mrs Tope","The Dean"
"Miss Twinkleton","Mr Porters"
"Edwin Drood","Miss Twinkleton"
"Edwin Drood","Mr Porters"
"Edwin Drood","Mrs Tisher"
"Edwin Drood","Rosa Bud"
"Miss Twinkleton","Mrs Tisher"
"Miss Twinkleton","Rosa Bud"
"Mr Porters","Mrs Tisher"
"Mr Porters","Rosa Bud"
"Mrs Tisher","Rosa Bud"
"John Jasper","Miss Twinkleton"
"John Jasper","Rosa Bud"
"John Jasper","Thomas Sapsea"
"The Dean","Thomas Sapsea"
"John Jasper","Miss Brobity"
"Miss Brobity","Thomas Sapsea"
"Durdles","John Jasper"
"Durdles","The Dean"
"Durdles","Thomas Sapsea"
"Deputy","Durdles"
"Deputy","John Jasper"
"Deputy","Thomas Sapsea"
"Luke Honeythunder","Mrs Crisparkle"
"Luke Honeythunder","Septimus Crisparkle"
"Mrs Crisparkle","Septimus Crisparkle"
"Helena Landless","John Jasper"
"Helena Landless","Luke Honeythunder"
"Helena Landless","Miss Twinkleton"
"Helena Landless","Mrs Crisparkle"
"Helena Landless","Neville Landless"
"Helena Landless","Septimus Crisparkle"
"Helena Landless","Thomas Sapsea"
"John Jasper","Luke Honeythunder"
"John Jasper","Mrs Crisparkle"
"John Jasper","Neville Landless"
"Luke Honeythunder","Miss Twinkleton"
"Luke Honeythunder","Neville Landless"
"Luke Honeythunder","Thomas Sapsea"
"Miss Twinkleton","Mrs Crisparkle"
"Miss Twinkleton","Neville Landless"
"Miss Twinkleton","Septimus Crisparkle"
"Miss Twinkleton","Thomas Sapsea"
"Mrs Crisparkle","Neville Landless"
"Mrs Crisparkle","Thomas Sapsea"
"Neville Landless","Septimus Crisparkle"
"Neville Landless","Thomas Sapsea"
"Septimus Crisparkle","Thomas Sapsea"
"Helena Landless","Joe"
"Joe","Luke Honeythunder"
"Joe","Mrs Crisparkle"
"Joe","Neville Landless"
"Joe","Septimus Crisparkle"
"Luke Honeythunder","Mr Tope"
"Miss Twinkleton","Mr Tope"
"Edwin Drood","Helena Landless"
"Edwin Drood","Luke Honeythunder"
"Edwin Drood","Mr Tope"
"Edwin Drood","Mrs Crisparkle"
"Edwin Drood","Neville Landless"
"Helena Landless","Mr Tope"
"Helena Landless","Rosa Bud"
"Luke Honeythunder","Rosa Bud"
"Mr Tope","Mrs Crisparkle"
"Mr Tope","Neville Landless"
"Mr Tope","Rosa Bud"
"Mrs Crisparkle","Rosa Bud"
"Neville Landless","Rosa Bud"
"Rosa Bud","Septimus Crisparkle"
"Helena Landless","Mrs Tisher"
"John Jasper","Mrs Tisher"
"Mrs Crisparkle","Mrs Tisher"
"Mrs Tisher","Neville Landless"
"Mrs Tisher","Septimus Crisparkle"
"Helena Landless","Hiram Grewgious"
"Helena Landless","Miss Ferdinand"
"Helena Landless","Miss Giggles"
"Helena Landless","Miss Jennings"
"Helena Landless","Miss Reynolds"
"Hiram Grewgious","Miss Ferdinand"
"Hiram Grewgious","Miss Giggles"
"Hiram Grewgious","Miss Jennings"
"Hiram Grewgious","Miss Reynolds"
"Hiram Grewgious","Miss Twinkleton"
"Hiram Grewgious","Mrs Tisher"
"Hiram Grewgious","Rosa Bud"
"Miss Ferdinand","Miss Giggles"
"Miss Ferdinand","Miss Jennings"
"Miss Ferdinand","Miss Reynolds"
"Miss Ferdinand","Miss Twinkleton"
"Miss Ferdinand","Mrs Tisher"
"Miss Ferdinand","Rosa Bud"
"Miss Giggles","Miss Jennings"
"Miss Giggles","Miss Reynolds"
"Miss Giggles","Miss Twinkleton"
"Miss Giggles","Mrs Tisher"
"Miss Giggles","Rosa Bud"
"Miss Jennings","Miss Reynolds"
"Miss Jennings","Miss Twinkleton"
"Miss Jennings","Mrs Tisher"
"Miss Jennings","Rosa Bud"
"Miss Reynolds","Miss Twinkleton"
"Miss Reynolds","Mrs Tisher"
"Miss Reynolds","Rosa Bud"
"Edwin Drood","Hiram Grewgious"
"Hiram Grewgious","John Jasper"
"John Jasper","Miss Ferdinand"
"Bazzard","Edwin Drood"
"Bazzard","Hiram Grewgious"
"Bazzard","Rosa Bud"
"Bazzard","John Jasper"
"Durdles","Mr Tope"
"Mr Tope","Thomas Sapsea"
"Durdles","Neville Landless"
"Durdles","Septimus Crisparkle"
"Edwin Drood","Miss Ferdinand"
"Edwin Drood","Miss Giggles"
"Edwin Drood","Miss Rickitts"
"Helena Landless","Miss Rickitts"
"Miss Ferdinand","Miss Rickitts"
"Miss Ferdinand","Septimus Crisparkle"
"Miss Giggles","Miss Rickitts"
"Miss Giggles","Septimus Crisparkle"
"Miss Rickitts","Miss Twinkleton"
"Miss Rickitts","Mrs Tisher"
"Miss Rickitts","Rosa Bud"
"Miss Rickitts","Septimus Crisparkle"
"Edwin Drood","Thomas Sapsea"
"Hiram Grewgious","Thomas Sapsea"
"Mrs Tisher","Thomas Sapsea"
"Rosa Bud","Thomas Sapsea"
"Helena Landless","Mrs Tope"
"Helena Landless","The Dean"
"Miss Twinkleton","Mrs Tope"
"Miss Twinkleton","The Dean"
"Mr Tope","Mrs Tope"
"Mrs Tope","Neville Landless"
"Mrs Tope","Rosa Bud"
"Neville Landless","The Dean"
"Rosa Bud","The Dean"
"Hiram Grewgious","Neville Landless"
"Hiram Grewgious","Mr Tope"
"Hiram Grewgious","Mrs Tope"
"Hiram Grewgious","Septimus Crisparkle"
"Hiram Grewgious","Mrs Crisparkle"
"Hiram Grewgious","The Dean"
"Mrs Crisparkle","The Dean"
"Hiram Grewgious","Luke Honeythunder"
"Hiram Grewgious","Lieutenant Tartar"
"John Jasper","Lieutenant Tartar"
"Lieutenant Tartar","Neville Landless"
"Lieutenant Tartar","Septimus Crisparkle"
"Dick Datchery","Mr Tope"
"Dick Datchery","Mrs Tope"
"Dick Datchery","John Jasper"
"Dick Datchery","The Dean"
"Dick Datchery","Thomas Sapsea"
"Mrs Tope","Thomas Sapsea"
"Deputy","Dick Datchery"
"Dick Datchery","Durdles"
"Hiram Grewgious","Joe"
"Joe","Miss Twinkleton"
"Joe","Rosa Bud"
"Bazzard","Helena Landless"
"Bazzard","Neville Landless"
"Helena Landless","Lieutenant Tartar"
"Lieutenant Tartar","Miss Twinkleton"
"Lieutenant Tartar","Rosa Bud"
"Bazzard","Miss Twinkleton"
"Bazzard","Mrs Billickin"
"Bazzard","Septimus Crisparkle"
"Hiram Grewgious","Mrs Billickin"
"Miss Twinkleton","Mrs Billickin"
"Mrs Billickin","Rosa Bud"
"Mrs Billickin","Septimus Crisparkle"
"Hiram Grewgious","Lobley"
"Lieutenant Tartar","Lobley"
"Lieutenant Tartar","Mrs Billickin"
"Lobley","Miss Twinkleton"
"Lobley","Mrs Billickin"
"Lobley","Rosa Bud"
"Edwin Drood","Jack Chinaman"
"Helena Landless","Jack Chinaman"
"Hiram Grewgious","Jack Chinaman"
"Jack Chinaman","John Jasper"
"Jack Chinaman","Neville Landless"
"Jack Chinaman","Rosa Bud"
"Jack Chinaman","Septimus Crisparkle"
"Deputy","Edwin Drood"
"Dick Datchery","Edwin Drood"
"Durdles","Edwin Drood"
"Deputy","Mr Tope"
"Deputy","Mrs Tope"
"Deputy","Princess Puffer"
"Deputy","Septimus Crisparkle"
"Deputy","The Dean"
"Dick Datchery","Princess Puffer"
"Dick Datchery","Septimus Crisparkle"
"John Jasper","Princess Puffer"
"Mr Tope","Princess Puffer"
"Mrs Tope","Princess Puffer"
"Princess Puffer","Septimus Crisparkle"
"Princess Puffer","The Dean"
