"Character","Node","Type","Appearances"
"Alice",25,"First Appearance",4
"Alice",28,"Last Appearance",4
"Alphonse",114,"First Appearance",2
"Alphonse",152,"Last Appearance",2
"Arthur Gride",262,"First Appearance",33
"Arthur Gride",359,"Last Appearance",33
"Augustus Borum",133,"First Appearance",1
"Augustus Borum",133,"Last Appearance",1
"Baron Von Koeldwethout",29,"First Appearance",5
"Baron Von Koeldwethout",356,"Last Appearance",5
"Baron Von Swillenhausen",30,"First Appearance",2
"Baron Von Swillenhausen",31,"Last Appearance",2
"Baroness Von Koeldwethout",30,"First Appearance",2
"Baroness Von Koeldwethout",31,"Last Appearance",2
"Baroness Von Swillenhausen",31,"First Appearance",1
"Baroness Von Swillenhausen",31,"Last Appearance",1
"Belling",16,"First Appearance",3
"Belling",21,"Last Appearance",3
"Bolder",36,"First Appearance",3
"Bolder",45,"Last Appearance",3
"Brooks",36,"First Appearance",1
"Brooks",36,"Last Appearance",1
"Captain Adams",285,"First Appearance",2
"Captain Adams",286,"Last Appearance",2
"Cecilia Bobster",291,"Last Appearance",2
"Cecilia Bobster",223,"First Appearance",2
"Charles Cheeryble",352,"Last Appearance",31
"Charles Cheeryble",192,"First Appearance",31
"Charley",96,"First Appearance",1
"Charley",96,"Last Appearance",1
"Charlotte Borum",133,"First Appearance",1
"Charlotte Borum",133,"Last Appearance",1
"Cobbey",41,"First Appearance",2
"Cobbey",322,"Last Appearance",2
"Colonel Chowser",284,"Last Appearance",3
"Colonel Chowser",101,"First Appearance",3
"David",203,"First Appearance",1
"David",203,"Last Appearance",1
"Doctor Lumbey",196,"First Appearance",3
"Doctor Lumbey",198,"Last Appearance",3
"Dorker",16,"First Appearance",1
"Dorker",16,"Last Appearance",1
"Edwin Cheeryble",359,"Last Appearance",37
"Edwin Cheeryble",192,"First Appearance",37
"Fanny Squeers",44,"First Appearance",22
"Fanny Squeers",358,"Last Appearance",22
"Fluggers",164,"First Appearance",1
"Fluggers",164,"Last Appearance",1
"Frank Cheeryble",239,"First Appearance",26
"Frank Cheeryble",359,"Last Appearance",26
"Graymarsh",41,"Last Appearance",2
"Graymarsh",36,"First Appearance",2
"Great Ralph Nickleby",1,"Last Appearance",1
"Great Ralph Nickleby",1,"First Appearance",1
"Hannah",9,"First Appearance",1
"Hannah",9,"Last Appearance",1
"Henrietta Petowker",72,"First Appearance",20
"Henrietta Petowker",296,"Last Appearance",20
"Henry Wititterly",114,"First Appearance",8
"Henry Wititterly",180,"Last Appearance",8
"Horatio Peltirogus",312,"Last Appearance",1
"Horatio Peltirogus",312,"First Appearance",1
"Jane",97,"First Appearance",1
"Jane",97,"Last Appearance",1
"Jane Dibabs",310,"First Appearance",1
"Jane Dibabs",310,"Last Appearance",1
"Jenkins",283,"First Appearance",1
"Jenkins",283,"Last Appearance",1
"Jennings",36,"Last Appearance",1
"Jennings",36,"First Appearance",1
"John Browdie",41,"First Appearance",32
"John Browdie",358,"Last Appearance",32
"John La Creevy",171,"First Appearance",1
"John La Creevy",171,"Last Appearance",1
"Julia Wititterly",114,"First Appearance",10
"Julia Wititterly",156,"Last Appearance",10
"Kate Nickleby",359,"Last Appearance",124
"Kate Nickleby",2,"First Appearance",124
"Lord Frederick Verisopht",286,"Last Appearance",16
"Lord Frederick Verisopht",101,"First Appearance",16
"Lukin",227,"First Appearance",1
"Lukin",227,"Last Appearance",1
"Madame Mantalini",53,"First Appearance",21
"Madame Mantalini",355,"Last Appearance",21
"Madeline Bray",260,"First Appearance",36
"Madeline Bray",359,"Last Appearance",36
"Matilda Price",47,"First Appearance",23
"Matilda Price",358,"Last Appearance",23
"Miss Belvawney",129,"First Appearance",2
"Miss Belvawney",162,"Last Appearance",2
"Miss Bravassa",126,"First Appearance",6
"Miss Bravassa",167,"Last Appearance",6
"Miss Browndock",92,"First Appearance",1
"Miss Browndock",92,"Last Appearance",1
"Miss Cropley",180,"First Appearance",1
"Miss Cropley",180,"Last Appearance",1
"Miss Gazingi",126,"First Appearance",1
"Miss Gazingi",126,"Last Appearance",1
"Miss Knag",54,"First Appearance",18
"Miss Knag",248,"Last Appearance",18
"Miss La Creevy",10,"First Appearance",36
"Miss La Creevy",359,"Last Appearance",36
"Miss Lane",133,"First Appearance",1
"Miss Lane",133,"Last Appearance",1
"Miss Ledrook",167,"Last Appearance",8
"Miss Ledrook",125,"First Appearance",8
"Miss Simmonds",91,"Last Appearance",1
"Miss Simmonds",91,"First Appearance",1
"Miss Snevellicci",126,"First Appearance",17
"Miss Snevellicci",270,"Last Appearance",17
"Mobbs",41,"First Appearance",2
"Mobbs",42,"Last Appearance",2
"Morleena Kenwigs",72,"First Appearance",13
