"V1","V2"
"1","Mr Nickleby"
"1","Ralph Nickleby"
"2","Ralph Nickleby"
"4","Ralph Nickleby"
"5","Mr Bonney"
"5","Newman Noggs"
"5","Ralph Nickleby"
"5","Sir Matthew Pupker"
"6","Mr Bonney"
"6","Ralph Nickleby"
"6","Sir Matthew Pupker"
"7","Ralph Nickleby"
"2","Mrs Nickleby"
"6","Newman Noggs"
"2","Nicholas Nickleby"
"8","Ralph Nickleby"
"9","Mrs Nickleby"
"9","Nicholas Nickleby"
"9","Ralph Nickleby"
"10","Mrs Nickleby"
"10","Nicholas Nickleby"
"10","Ralph Nickleby"
"2","Kate Nickleby"
"11","Mrs Nickleby"
"11","Nicholas Nickleby"
"11","Ralph Nickleby"
"12","Kate Nickleby"
"12","Mrs Nickleby"
"12","Nicholas Nickleby"
"12","Wackford Squeers"
"13","Nicholas Nickleby"
"13","Wackford Squeers"
"14","Wackford Squeers"
"15","Mr Snawley"
"15","Mrs Squeers"
"14","Nicholas Nickleby"
"12","Ralph Nickleby"
"15","Wackford Squeers"
"16","Belling"
"16","Mr Snawley"
"16","Nicholas Nickleby"
"16","Ralph Nickleby"
"16","Wackford Squeers"
"9","Newman Noggs"
"17","Nicholas Nickleby"
"17","Ralph Nickleby"
"13","Kate Nickleby"
"10","Miss La Creevy"
"18","Nicholas Nickleby"
"18","Ralph Nickleby"
"13","Mrs Nickleby"
"19","Nicholas Nickleby"
"19","Ralph Nickleby"
"17","Wackford Squeers"
"17","Belling"
"19","Kate Nickleby"
"17","Mr Snawley"
"20","Mrs Nickleby"
"16","Mrs Squeers"
"18","Newman Noggs"
"20","Nicholas Nickleby"
"20","Ralph Nickleby"
"20","Wackford Squeers"
"21","Nicholas Nickleby"
"21","Wackford Squeers"
"22","Nicholas Nickleby"
"21","Mrs Squeers"
"23","Nicholas Nickleby"
"21","Ralph Nickleby"
"22","Wackford Squeers"
"25","Alice"
"26","Alice"
"27","Alice"
"29","Baron Von Koeldwethout"
"30","Baron Von Koeldwethout"
"30","Baron Von Swillenhausen"
"30","Baroness Von Koeldwethout"
"31","Baron Von Koeldwethout"
"24","Nicholas Nickleby"
"24","Wackford Squeers"
"32","Wackford Squeers"
"24","Mrs Squeers"
"32","Nicholas Nickleby"
"33","Wackford Squeers"
"34","Mrs Squeers"
"34","Nicholas Nickleby"
"34","Smike"
"34","Wackford Squeers"
"35","Mrs Squeers"
"21","Newman Noggs"
"35","Nicholas Nickleby"
"35","Wackford Squeers"
"36","Newman Noggs"
"36","Nicholas Nickleby"
"36","Mrs Squeers"
"37","Nicholas Nickleby"
"35","Smike"
"36","Wackford Squeers"
"38","Mrs Squeers"
"38","Nicholas Nickleby"
"38","Smike"
"38","Wackford Squeers"
"39","Nicholas Nickleby"
"39","Wackford Squeers"
"36","Bolder"
"36","Graymarsh"
"39","Mrs Squeers"
"39","Smike"
"40","Wackford Squeers"
"40","Wackford SqueersJunior"
"21","Kate Nickleby"
"41","Mobbs"
