"source" "target" "tag"
"1" 1 2 "Mr Nickleby"
"2" 1 2 "Ralph Nickleby"
"3" 2 4 "Ralph Nickleby"
"4" 4 5 "Ralph Nickleby"
"5" 5 6 "Mr Bonney"
"6" 5 6 "Newman Noggs"
"7" 5 6 "Ralph Nickleby"
"8" 5 6 "Sir Matthew Pupker"
"9" 6 7 "Mr Bonney"
"10" 6 7 "Ralph Nickleby"
"11" 6 7 "Sir Matthew Pupker"
"12" 7 8 "Ralph Nickleby"
"13" 2 9 "Mrs Nickleby"
"14" 6 9 "Newman Noggs"
"15" 2 9 "Nicholas Nickleby"
"16" 8 9 "Ralph Nickleby"
"17" 9 10 "Mrs Nickleby"
"18" 9 10 "Nicholas Nickleby"
"19" 9 10 "Ralph Nickleby"
"20" 10 11 "Mrs Nickleby"
"21" 10 11 "Nicholas Nickleby"
"22" 10 11 "Ralph Nickleby"
"23" 2 12 "Kate Nickleby"
"24" 11 12 "Mrs Nickleby"
"25" 11 12 "Nicholas Nickleby"
"26" 11 12 "Ralph Nickleby"
"27" 12 13 "Kate Nickleby"
"28" 12 13 "Mrs Nickleby"
"29" 12 13 "Nicholas Nickleby"
"30" 12 13 "Wackford Squeers"
"31" 13 14 "Nicholas Nickleby"
"32" 13 14 "Wackford Squeers"
"33" 14 15 "Wackford Squeers"
"34" 15 16 "Mr Snawley"
"35" 15 16 "Mrs Squeers"
"36" 14 16 "Nicholas Nickleby"
"37" 12 16 "Ralph Nickleby"
"38" 15 16 "Wackford Squeers"
"39" 16 17 "Belling"
"40" 16 17 "Mr Snawley"
"41" 16 17 "Nicholas Nickleby"
"42" 16 17 "Ralph Nickleby"
"43" 16 17 "Wackford Squeers"
"44" 9 18 "Newman Noggs"
"45" 17 18 "Nicholas Nickleby"
"46" 17 18 "Ralph Nickleby"
"47" 13 19 "Kate Nickleby"
"48" 10 19 "Miss La Creevy"
"49" 18 19 "Nicholas Nickleby"
"50" 18 19 "Ralph Nickleby"
"51" 13 20 "Mrs Nickleby"
"52" 19 20 "Nicholas Nickleby"
"53" 19 20 "Ralph Nickleby"
"54" 17 20 "Wackford Squeers"
"55" 17 21 "Belling"
"56" 19 21 "Kate Nickleby"
"57" 17 21 "Mr Snawley"
"58" 20 21 "Mrs Nickleby"
"59" 16 21 "Mrs Squeers"
"60" 18 21 "Newman Noggs"
"61" 20 21 "Nicholas Nickleby"
"62" 20 21 "Ralph Nickleby"
"63" 20 21 "Wackford Squeers"
"64" 21 22 "Nicholas Nickleby"
"65" 21 22 "Wackford Squeers"
"66" 22 23 "Nicholas Nickleby"
"67" 21 24 "Mrs Squeers"
"68" 23 24 "Nicholas Nickleby"
"69" 21 24 "Ralph Nickleby"
"70" 22 24 "Wackford Squeers"
"71" 25 26 "Alice"
"72" 26 27 "Alice"
"73" 27 28 "Alice"
"74" 29 30 "Baron Von Koeldwethout"
"75" 30 31 "Baron Von Koeldwethout"
"76" 30 31 "Baron Von Swillenhausen"
"77" 30 31 "Baroness Von Koeldwethout"
"78" 31 32 "Baron Von Koeldwethout"
"79" 24 32 "Nicholas Nickleby"
"80" 24 32 "Wackford Squeers"
"81" 32 33 "Wackford Squeers"
"82" 24 34 "Mrs Squeers"
"83" 32 34 "Nicholas Nickleby"
"84" 33 34 "Wackford Squeers"
"85" 34 35 "Mrs Squeers"
"86" 34 35 "Nicholas Nickleby"
"87" 34 35 "Smike"
"88" 34 35 "Wackford Squeers"
"89" 35 36 "Mrs Squeers"
"90" 21 36 "Newman Noggs"
"91" 35 36 "Nicholas Nickleby"
"92" 35 36 "Wackford Squeers"
"93" 36 37 "Newman Noggs"
"94" 36 37 "Nicholas Nickleby"
"95" 36 38 "Mrs Squeers"
"96" 37 38 "Nicholas Nickleby"
"97" 35 38 "Smike"
"98" 36 38 "Wackford Squeers"
"99" 38 39 "Mrs Squeers"
"100" 38 39 "Nicholas Nickleby"
"101" 38 39 "Smike"
"102" 38 39 "Wackford Squeers"
"103" 39 40 "Nicholas Nickleby"
"104" 39 40 "Wackford Squeers"
"105" 36 41 "Bolder"
"106" 36 41 "Graymarsh"
"107" 39 41 "Mrs Squeers"
"108" 39 41 "Smike"
"109" 40 41 "Wackford Squeers"
"110" 40 41 "Wackford SqueersJunior"
"111" 21 42 "Kate Nickleby"
"112" 41 42 "Mobbs"
"113" 41 42 "Mrs Squeers"
"114" 40 42 "Nicholas Nickleby"
"115" 24 42 "Ralph Nickleby"
"116" 41 42 "Smike"
"117" 41 42 "Wackford Squeers"
"118" 42 43 "Nicholas Nickleby"
"119" 42 44 "Mrs Squeers"
"120" 43 44 "Nicholas Nickleby"
"121" 42 44 "Wackford Squeers"
"122" 41 44 "Wackford SqueersJunior"
"123" 41 45 "Bolder"
"124" 44 45 "Fanny Squeers"
"125" 44 45 "Mrs Squeers"
"126" 44 45 "Nicholas Nickleby"
"127" 44 45 "Wackford Squeers"
"128" 45 46 "Fanny Squeers"
"129" 41 46 "John Browdie"
"130" 45 46 "Mrs Squeers"
"131" 45 46 "Nicholas Nickleby"
"132" 46 47 "Fanny Squeers"
"133" 46 47 "John Browdie"
"134" 46 47 "Nicholas Nickleby"
"135" 42 47 "Ralph Nickleby"
"136" 45 47 "Wackford Squeers"
"137" 47 48 "Fanny Squeers"
"138" 47 48 "John Browdie"
"139" 47 48 "Matilda Price"
"140" 47 48 "Nicholas Nickleby"
"141" 47 48 "Ralph Nickleby"
"142" 48 49 "Fanny Squeers"
"143" 48 49 "Matilda Price"
"144" 48 49 "Nicholas Nickleby"
"145" 42 50 "Kate Nickleby"
"146" 19 50 "Miss La Creevy"
"147" 49 50 "Nicholas Nickleby"
"148" 48 50 "Ralph Nickleby"
"149" 50 51 "Kate Nickleby"
"150" 50 51 "Miss La Creevy"
"151" 21 51 "Mrs Nickleby"
"152" 50 51 "Nicholas Nickleby"
"153" 50 51 "Ralph Nickleby"
"154" 51 52 "Kate Nickleby"
"155" 51 52 "Mrs Nickleby"
"156" 51 52 "Nicholas Nickleby"
"157" 51 52 "Ralph Nickleby"
"158" 52 53 "Kate Nickleby"
"159" 52 53 "Ralph Nickleby"
"160" 53 54 "Kate Nickleby"
"161" 53 54 "Madame Mantalini"
"162" 53 54 "Ralph Nickleby"
"163" 54 55 "Kate Nickleby"
"164" 54 55 "Madame Mantalini"
"165" 54 55 "Mr Mantalini"
"166" 54 55 "Ralph Nickleby"
"167" 55 56 "Kate Nickleby"
"168" 51 56 "Miss La Creevy"
"169" 52 56 "Mrs Nickleby"
"170" 37 56 "Newman Noggs"
"171" 55 56 "Ralph Nickleby"
"172" 56 57 "Kate Nickleby"
"173" 56 57 "Miss La Creevy"
"174" 56 57 "Mrs Nickleby"
"175" 56 57 "Newman Noggs"
"176" 56 57 "Ralph Nickleby"
"177" 57 58 "Kate Nickleby"
"178" 57 58 "Newman Noggs"
"179" 49 59 "Fanny Squeers"
"180" 48 59 "John Browdie"
"181" 49 59 "Matilda Price"
"182" 47 59 "Wackford Squeers"
"183" 59 60 "Fanny Squeers"
"184" 59 60 "John Browdie"
"185" 59 60 "Matilda Price"
"186" 52 60 "Nicholas Nickleby"
"187" 57 60 "Ralph Nickleby"
"188" 60 61 "Fanny Squeers"
"189" 60 61 "Matilda Price"
"190" 60 61 "Nicholas Nickleby"
"191" 60 61 "Ralph Nickleby"
"192" 61 62 "Fanny Squeers"
"193" 61 62 "Nicholas Nickleby"
"194" 59 62 "Phoebe"
"195" 61 62 "Ralph Nickleby"
"196" 42 62 "Smike"
"197" 59 62 "Wackford Squeers"
"198" 62 63 "Nicholas Nickleby"
"199" 62 63 "Smike"
"200" 62 63 "Wackford Squeers"
"201" 46 64 "Mrs Squeers"
"202" 63 64 "Nicholas Nickleby"
"203" 63 64 "Wackford Squeers"
"204" 64 65 "Mrs Squeers"
"205" 64 65 "Nicholas Nickleby"
"206" 63 65 "Smike"
"207" 64 65 "Wackford Squeers"
"208" 62 66 "Fanny Squeers"
"209" 65 66 "Mrs Squeers"
"210" 65 66 "Nicholas Nickleby"
"211" 65 66 "Smike"
"212" 65 66 "Wackford Squeers"
"213" 44 66 "Wackford SqueersJunior"
"214" 66 67 "Fanny Squeers"
"215" 66 67 "Mrs Squeers"
"216" 66 67 "Nicholas Nickleby"
"217" 66 67 "Smike"
"218" 66 67 "Wackford Squeers"
"219" 66 67 "Wackford SqueersJunior"
"220" 60 68 "John Browdie"
"221" 67 68 "Nicholas Nickleby"
"222" 67 68 "Wackford Squeers"
"223" 68 69 "Nicholas Nickleby"
"224" 67 69 "Smike"
"225" 58 70 "Newman Noggs"
"226" 70 71 "Mr Crowl"
"227" 70 71 "Mr Kenwigs"
"228" 70 71 "Newman Noggs"
"229" 71 72 "Mr Kenwigs"
"230" 71 72 "Mrs Kenwigs"
"231" 71 72 "Newman Noggs"
"232" 71 72 "The Misses Kenwigses"
"233" 72 73 "Henrietta Petowker"
"234" 72 73 "Morleena Kenwigs"
"235" 72 73 "Mr Kenwigs"
"236" 72 73 "Mr Lillyvick"
"237" 72 73 "Mrs Kenwigs"
"238" 72 73 "Newman Noggs"
"239" 72 73 "The Misses Kenwigses"
"240" 73 74 "Henrietta Petowker"
"241" 71 74 "Mr Crowl"
"242" 73 74 "Mr Kenwigs"
"243" 73 74 "Mrs Kenwigs"
"244" 73 74 "Newman Noggs"
"245" 73 74 "The Misses Kenwigses"
"246" 74 75 "Mr Crowl"
