"root_node_id" "tag"
"1" "Great Ralph Nickleby"
"1" "Mr Godfrey Nickleby"
"1" "Mr Nickleby"
"1" "Mrs Godfrey Nickleby"
"1" "Ralph Nickleby"
"2" "Kate Nickleby"
"2" "Mrs Nickleby"
"2" "Nicholas Nickleby"
"5" "Mr Bonney"
"5" "Newman Noggs"
"5" "Sir Matthew Pupker"
"9" "Hannah"
"10" "Miss La Creevy"
"12" "Wackford Squeers"
"15" "Mr Snawley"
"15" "Mrs Squeers"
"15" "Richard"
"16" "Belling"
"16" "Dorker"
"20" "William"
"25" "Alice"
"29" "Baron Von Koeldwethout"
"30" "Baron Von Swillenhausen"
"30" "Baroness Von Koeldwethout"
"31" "Baroness Von Swillenhausen"
"34" "Smike"
"36" "Bolder"
"36" "Brooks"
"36" "Graymarsh"
"36" "Jennings"
"40" "Wackford SqueersJunior"
"41" "Cobbey"
"41" "John Browdie"
"41" "Mobbs"
"44" "Fanny Squeers"
"47" "Matilda Price"
"53" "Madame Mantalini"
"54" "Miss Knag"
"54" "Mr Mantalini"
"59" "Phoebe"
"70" "Mr Crowl"
"70" "Mr Kenwigs"
"71" "Mrs Kenwigs"
"71" "The Misses Kenwigses"
"72" "Henrietta Petowker"
"72" "Morleena Kenwigs"
"72" "Mr Cutler"
"72" "Mr Lillyvick"
"72" "Mrs Cutler"
"79" "young Lillyvick"
"81" "Tom"
"82" "Mr Gallanbile"
"82" "Mr Gregsbury"
"82" "Mrs Gallanbile"
"84" "Mr Pugstyles"
"84" "Mrs Gregsbury"
"91" "Miss Simmonds"
"92" "Miss Browndock"
"94" "Mr Watkins"
"95" "Mortimer Knag"
"95" "Mrs Blockson"
"95" "Thomas"
"96" "Charley"
"97" "Jane"
"101" "Colonel Chowser"
"101" "Lord Frederick Verisopht"
"101" "Mr Pluck"
"101" "Mr Pyke"
"101" "Mr Snobb"
"101" "Sir Mulberry Hawk"
"112" "Mr Scaley"
"112" "Tom Tix"
"114" "Alphonse"
"114" "Henry Wititterly"
"114" "Julia Wititterly"
"115" "Sir Tumley Snuffim"
"116" "Mr Crummles"
"120" "The Master Crummleses"
"123" "Ninetta Crummles"
"124" "Mr Folair"
"124" "Mrs Crummles"
"125" "Miss Ledrook"
"125" "Mr Lenville"
"126" "Miss Bravassa"
"126" "Miss Gazingi"
"126" "Miss Snevellicci"
"126" "Mrs Grudden"
"126" "Mrs Lenville"
"127" "Mr Bulph"
"129" "Miss Belvawney"
"131" "Mrs Curdle"
"132" "Mr Curdle"
"133" "Augustus Borum"
"133" "Charlotte Borum"
"133" "Miss Lane"
"133" "Mr Borum"
"133" "Mrs Borum"
"144" "The Miss Dowdles"
"164" "Fluggers"
"164" "Mrs Snevellicci"
"165" "Mr Glavormelly"
"165" "Mr Snevellicci"
"171" "John La Creevy"
"177" "William2"
"180" "Miss Cropley"
"190" "Sir Thomas Grimble"
"190" "The Hawkinses"
"192" "Charles Cheeryble"
"192" "Edwin Cheeryble"
"193" "Mr Trimmers"
"193" "Tim Linkinwater"
"196" "Doctor Lumbey"
"203" "David"
"214" "Mrs Snawley"
"223" "Cecilia Bobster"
"225" "Mr Bobster"
"227" "Lukin"
"239" "Frank Cheeryble"
"246" "Mr Brooker"
"260" "Madeline Bray"
"260" "Walter Bray"
"262" "Arthur Gride"
"269" "Snittle Timberry"
"271" "The African Swallower"
"283" "Jenkins"
"285" "Captain Adams"
"285" "Mr Westwood"
"287" "Peg Sliderskew"
"310" "Jane Dibabs"
"312" "Horatio Peltirogus"
"322" "Palmer"
"322" "Sprouter"
