"V1","V2"
"Great Ralph Nickleby","Mr Godfrey Nickleby"
"Great Ralph Nickleby","Mr Nickleby"
"Great Ralph Nickleby","Mrs Godfrey Nickleby"
"Great Ralph Nickleby","Ralph Nickleby"
"Mr Godfrey Nickleby","Mr Nickleby"
"Mr Godfrey Nickleby","Mrs Godfrey Nickleby"
"Mr Godfrey Nickleby","Ralph Nickleby"
"Mr Nickleby","Mrs Godfrey Nickleby"
"Mr Nickleby","Ralph Nickleby"
"Mrs Godfrey Nickleby","Ralph Nickleby"
"Kate Nickleby","Mr Nickleby"
"Kate Nickleby","Mrs Nickleby"
"Kate Nickleby","Nicholas Nickleby"
"Kate Nickleby","Ralph Nickleby"
"Mr Nickleby","Mrs Nickleby"
"Mr Nickleby","Nicholas Nickleby"
"Mrs Nickleby","Nicholas Nickleby"
"Mrs Nickleby","Ralph Nickleby"
"Nicholas Nickleby","Ralph Nickleby"
"Mr Bonney","Newman Noggs"
"Mr Bonney","Ralph Nickleby"
"Mr Bonney","Sir Matthew Pupker"
"Newman Noggs","Ralph Nickleby"
"Newman Noggs","Sir Matthew Pupker"
"Ralph Nickleby","Sir Matthew Pupker"
"Hannah","Mrs Nickleby"
"Hannah","Newman Noggs"
"Hannah","Nicholas Nickleby"
"Hannah","Ralph Nickleby"
"Mrs Nickleby","Newman Noggs"
"Newman Noggs","Nicholas Nickleby"
"Miss La Creevy","Mrs Nickleby"
"Miss La Creevy","Nicholas Nickleby"
"Miss La Creevy","Ralph Nickleby"
"Kate Nickleby","Wackford Squeers"
"Mrs Nickleby","Wackford Squeers"
"Nicholas Nickleby","Wackford Squeers"
"Ralph Nickleby","Wackford Squeers"
"Mr Snawley","Mrs Squeers"
"Mr Snawley","Richard"
"Mr Snawley","Wackford Squeers"
"Mrs Squeers","Richard"
"Mrs Squeers","Wackford Squeers"
"Richard","Wackford Squeers"
"Belling","Dorker"
"Belling","Mr Snawley"
"Belling","Mrs Squeers"
"Belling","Nicholas Nickleby"
"Belling","Ralph Nickleby"
"Belling","Wackford Squeers"
"Dorker","Mr Snawley"
"Dorker","Mrs Squeers"
"Dorker","Nicholas Nickleby"
"Dorker","Ralph Nickleby"
"Dorker","Wackford Squeers"
"Mr Snawley","Nicholas Nickleby"
"Mr Snawley","Ralph Nickleby"
"Mrs Squeers","Nicholas Nickleby"
"Mrs Squeers","Ralph Nickleby"
"Kate Nickleby","Miss La Creevy"
"Mrs Nickleby","William"
"Nicholas Nickleby","William"
"Ralph Nickleby","William"
"Wackford Squeers","William"
"Belling","Kate Nickleby"
"Belling","Mrs Nickleby"
"Belling","Newman Noggs"
"Kate Nickleby","Mr Snawley"
"Kate Nickleby","Mrs Squeers"
"Kate Nickleby","Newman Noggs"
"Mr Snawley","Mrs Nickleby"
"Mr Snawley","Newman Noggs"
"Mrs Nickleby","Mrs Squeers"
"Mrs Squeers","Newman Noggs"
"Newman Noggs","Wackford Squeers"
"Baron Von Koeldwethout","Baron Von Swillenhausen"
"Baron Von Koeldwethout","Baroness Von Koeldwethout"
"Baron Von Swillenhausen","Baroness Von Koeldwethout"
"Baron Von Koeldwethout","Baroness Von Swillenhausen"
"Baron Von Swillenhausen","Baroness Von Swillenhausen"
"Baroness Von Koeldwethout","Baroness Von Swillenhausen"
"Baron Von Koeldwethout","Nicholas Nickleby"
"Baron Von Koeldwethout","Wackford Squeers"
"Mrs Squeers","Smike"
"Nicholas Nickleby","Smike"
"Smike","Wackford Squeers"
"Bolder","Brooks"
"Bolder","Graymarsh"
"Bolder","Jennings"
"Bolder","Mrs Squeers"
"Bolder","Newman Noggs"
"Bolder","Nicholas Nickleby"
"Bolder","Wackford Squeers"
"Brooks","Graymarsh"
"Brooks","Jennings"
"Brooks","Mrs Squeers"
"Brooks","Newman Noggs"
"Brooks","Nicholas Nickleby"
"Brooks","Wackford Squeers"
"Graymarsh","Jennings"
"Graymarsh","Mrs Squeers"
"Graymarsh","Newman Noggs"
"Graymarsh","Nicholas Nickleby"
"Graymarsh","Wackford Squeers"
"Jennings","Mrs Squeers"
"Jennings","Newman Noggs"
"Jennings","Nicholas Nickleby"
"Jennings","Wackford Squeers"
