"Character","Node","Appearances"
"AnneMitchell",81,1
"AnneThorpe",57,10
"AnneThorpe",25,10
"AnneThorpe",44,10
"AnneThorpe",18,10
"AnneThorpe",26,10
"AnneThorpe",45,10
"AnneThorpe",43,10
"AnneThorpe",10,10
"AnneThorpe",8,10
"AnneThorpe",17,10
"CaptainFrederickTilney",77,17
"CaptainFrederickTilney",83,17
"CaptainFrederickTilney",54,17
"CaptainFrederickTilney",84,17
"CaptainFrederickTilney",56,17
"CaptainFrederickTilney",76,17
"CaptainFrederickTilney",57,17
"CaptainFrederickTilney",42,17
"CaptainFrederickTilney",78,17
"CaptainFrederickTilney",74,17
"CaptainFrederickTilney",66,17
"CaptainFrederickTilney",81,17
"CaptainFrederickTilney",82,17
"CaptainFrederickTilney",49,17
"CaptainFrederickTilney",58,17
"CaptainFrederickTilney",48,17
"CaptainFrederickTilney",79,17
"CaptainHunt",13,1
"CatherineMorland",1,31
"CatherineMorland",9,31
"CatherineMorland",66,31
"CatherineMorland",2,31
"CatherineMorland",40,31
"CatherineMorland",20,31
"CatherineMorland",67,31
"CatherineMorland",57,31
"CatherineMorland",93,31
"CatherineMorland",19,31
"CatherineMorland",3,31
"CatherineMorland",4,31
"CatherineMorland",42,31
"CatherineMorland",78,31
"CatherineMorland",8,31
"CatherineMorland",21,31
"CatherineMorland",51,31
"CatherineMorland",15,31
"CatherineMorland",70,31
"CatherineMorland",74,31
"CatherineMorland",16,31
"CatherineMorland",92,31
"CatherineMorland",7,31
"CatherineMorland",46,31
"CatherineMorland",29,31
"CatherineMorland",83,31
"CatherineMorland",62,31
"CatherineMorland",69,31
"CatherineMorland",91,31
"CatherineMorland",58,31
"CatherineMorland",17,31
"CharlesHodges",48,2
"CharlesHodges",81,2
"Dorothy",59,2
"Dorothy",60,2
"EdwardThorpe",8,1
"EleanorTilney",25,55
"EleanorTilney",33,55
"EleanorTilney",37,55
"EleanorTilney",51,55
"EleanorTilney",23,55
"EleanorTilney",36,55
"EleanorTilney",87,55
"EleanorTilney",46,55
"EleanorTilney",59,55
"EleanorTilney",77,55
"EleanorTilney",84,55
"EleanorTilney",94,55
"EleanorTilney",61,55
"EleanorTilney",24,55
"EleanorTilney",38,55
"EleanorTilney",48,55
"EleanorTilney",41,55
"EleanorTilney",86,55
"EleanorTilney",83,55
"EleanorTilney",95,55
"EleanorTilney",72,55
"EleanorTilney",81,55
"EleanorTilney",21,55
"EleanorTilney",42,55
"EleanorTilney",68,55
"EleanorTilney",31,55
"EleanorTilney",52,55
"EleanorTilney",65,55
"EleanorTilney",58,55
"EleanorTilney",26,55
"EleanorTilney",74,55
"EleanorTilney",66,55
"EleanorTilney",75,55
"EleanorTilney",67,55
"EleanorTilney",30,55
"EleanorTilney",63,55
"EleanorTilney",88,55
"EleanorTilney",90,55
"EleanorTilney",76,55
"EleanorTilney",85,55
"EleanorTilney",29,55
"EleanorTilney",20,55
"EleanorTilney",79,55
"EleanorTilney",89,55
"EleanorTilney",73,55
"EleanorTilney",93,55
"EleanorTilney",28,55
"EleanorTilney",19,55
"EleanorTilney",70,55
"EleanorTilney",69,55
"EleanorTilney",39,55
"EleanorTilney",78,55
"EleanorTilney",34,55
"EleanorTilney",62,55
"EleanorTilney",40,55
"Emily",43,1
"Freeman",16,1
"GeneralCourteney",51,1
"GeneralTilney",93,16
"GeneralTilney",91,16
"GeneralTilney",28,16
"GeneralTilney",33,16
"GeneralTilney",88,16
"GeneralTilney",51,16
"GeneralTilney",37,16
"GeneralTilney",63,16
"GeneralTilney",48,16
"GeneralTilney",38,16
"GeneralTilney",62,16
"GeneralTilney",92,16
"GeneralTilney",58,16
"GeneralTilney",34,16
"GeneralTilney",85,16
"GeneralTilney",89,16
"GeorgeMorland",2,4
"GeorgeMorland",1,4
"GeorgeMorland",42,4
"GeorgeMorland",88,4
"GeorgeParry",4,1
"HarrietMorland",1,3
"HarrietMorland",88,3
"HarrietMorland",2,3
"IsabellaThorpe",47,51
