"source" "target" "tag"
1 2 "CatherineMorland"
1 2 "GeorgeMorland"
1 2 "HarrietMorland"
1 2 "JamesMorland"
1 2 "LittleRichardMorland"
1 2 "MrRichardMorland"
2 3 "CatherineMorland"
2 3 "JamesMorland"
2 3 "MrAllen"
1 3 "SarahMoreland"
3 4 "CatherineMorland"
3 4 "MrAllen"
3 4 "MrsAllen"
4 6 "MrsAllen"
4 7 "CatherineMorland"
4 7 "MrAllen"
6 7 "MrHenryTilney"
6 7 "MrsAllen"
7 8 "CatherineMorland"
3 8 "JamesMorland"
7 8 "MrHenryTilney"
7 8 "MrsAllen"
8 9 "CatherineMorland"
8 9 "IsabellaThorpe"
7 9 "MrAllen"
8 9 "MrsThorpe"
8 10 "AnneThorpe"
9 10 "IsabellaThorpe"
8 10 "JohnThorpe"
8 10 "MariaThorpe"
9 10 "MrAllen"
8 10 "MrHenryTilney"
8 10 "MrsAllen"
9 10 "MrsThorpe"
10 13 "IsabellaThorpe"
8 13 "JamesMorland"
10 13 "MrHenryTilney"
13 14 "IsabellaThorpe"
13 14 "MissAndrews"
9 15 "CatherineMorland"
14 15 "IsabellaThorpe"
13 15 "JamesMorland"
10 15 "JohnThorpe"
15 16 "CatherineMorland"
15 16 "IsabellaThorpe"
15 16 "JamesMorland"
15 16 "JohnThorpe"
10 16 "MrsThorpe"
10 17 "AnneThorpe"
16 17 "CatherineMorland"
16 17 "IsabellaThorpe"
16 17 "JamesMorland"
16 17 "JohnThorpe"
10 17 "MariaThorpe"
10 17 "MrAllen"
10 17 "MrsAllen"
16 17 "MrsThorpe"
17 18 "AnneThorpe"
17 18 "IsabellaThorpe"
17 18 "JamesMorland"
17 18 "JohnThorpe"
17 18 "MariaThorpe"
17 18 "MrAllen"
13 18 "MrHenryTilney"
17 18 "MrsAllen"
17 18 "MrsThorpe"
17 19 "CatherineMorland"
18 19 "IsabellaThorpe"
18 19 "JamesMorland"
18 19 "JohnThorpe"
18 19 "MrHenryTilney"
18 19 "MrsAllen"
18 19 "MrsThorpe"
19 20 "CatherineMorland"
19 20 "EleanorTilney"
19 20 "IsabellaThorpe"
19 20 "JamesMorland"
19 20 "JohnThorpe"
19 20 "MrHenryTilney"
19 20 "MrsAllen"
19 20 "MrsThorpe"
20 21 "CatherineMorland"
20 21 "EleanorTilney"
20 21 "IsabellaThorpe"
20 21 "JamesMorland"
20 21 "JohnThorpe"
20 21 "MrsAllen"
21 22 "JamesMorland"
21 22 "JohnThorpe"
18 22 "MrAllen"
21 23 "EleanorTilney"
21 23 "IsabellaThorpe"
22 23 "JamesMorland"
22 23 "JohnThorpe"
21 23 "MrsAllen"
19 23 "MrsHughes"
20 23 "MrsThorpe"
23 24 "EleanorTilney"
23 24 "JohnThorpe"
20 24 "MrHenryTilney"
23 24 "MrsAllen"
23 24 "MrsHughes"
18 25 "AnneThorpe"
24 25 "EleanorTilney"
23 25 "IsabellaThorpe"
23 25 "JamesMorland"
