"","Character","Node","Type","Appearances"
"1","Anny",77,"First Appearance",1
"2","Anny",77,"Last Appearance",1
"3","Artful Dodger",26,"First Appearance",27
"4","Artful Dodger",159,"Last Appearance",27
"5","Barney",48,"First Appearance",8
"6","Barney",152,"Last Appearance",8
"7","Bet",29,"First Appearance",7
"8","Bet",159,"Last Appearance",7
"9","Bill Sikes",40,"First Appearance",50
"10","Bill Sikes",184,"Last Appearance",50
"11","Blathers",99,"First Appearance",5
"12","Blathers",139,"Last Appearance",5
"13","Brittles",90,"First Appearance",11
"14","Brittles",184,"Last Appearance",11
"15","Charley Bates",29,"First Appearance",25
"16","Charley Bates",184,"Last Appearance",25
"17","Charlotte",184,"Last Appearance",14
"18","Charlotte",13,"First Appearance",14
"19","Conkey Chickweed",100,"First Appearance",3
"20","Conkey Chickweed",102,"Last Appearance",3
"21","Dick",23,"First Appearance",5
"22","Dick",179,"Last Appearance",5
"23","Duff",99,"First Appearance",6
"24","Duff",139,"Last Appearance",6
"25","Edward Leeford",184,"Last Appearance",25
"26","Edward Leeford",85,"First Appearance",25
"27","Fagin",26,"First Appearance",56
"28","Fagin",184,"Last Appearance",56
"29","Grannett",75,"First Appearance",1
"30","Grannett",75,"Last Appearance",1
"31","Harry Maylie",109,"First Appearance",13
"32","Harry Maylie",184,"Last Appearance",13
"33","Jem Spyers",101,"First Appearance",1
"34","Jem Spyers",101,"Last Appearance",1
"35","Kags",169,"First Appearance",2
"36","Kags",170,"Last Appearance",2
"37","Martha",78,"First Appearance",1
"38","Martha",78,"Last Appearance",1
"39","Morris Bolter",144,"First Appearance",5
"40","Morris Bolter",152,"Last Appearance",5
"41","Mr Brownlow",34,"First Appearance",31
"42","Mr Brownlow",185,"Last Appearance",31
"43","Mr Bumble",184,"Last Appearance",37
"44","Mr Bumble",3,"First Appearance",37
"45","Mr Fang",33,"First Appearance",4
"46","Mr Fang",42,"Last Appearance",4
"47","Mr Gamfield",7,"First Appearance",5
"48","Mr Gamfield",175,"Last Appearance",5
"49","Mr Giles",90,"First Appearance",20
"50","Mr Giles",184,"Last Appearance",20
"51","Mr Grimwig",184,"Last Appearance",13
"52","Mr Grimwig",44,"First Appearance",13
"53","Mr Limbkins",6,"First Appearance",3
"54","Mr Limbkins",9,"Last Appearance",3
"55","Mr Lively",82,"First Appearance",1
"56","Mr Lively",82,"Last Appearance",1
"57","Mr Losberne",94,"First Appearance",27
"58","Mr Losberne",184,"Last Appearance",27
"59","Mr Mann",55,"First Appearance",1
"60","Mr Mann",55,"Last Appearance",1
"61","Mr Slout",88,"First Appearance",1
"62","Mr Slout",88,"Last Appearance",1
"63","Mr Sowerberry",11,"First Appearance",14
"64","Mr Sowerberry",175,"Last Appearance",14
"65","Mrs Bedwin",36,"First Appearance",12
"66","Mrs Bedwin",175,"Last Appearance",12
"67","Mrs Bolter",144,"First Appearance",1
"68","Mrs Bolter",144,"Last Appearance",1
"69","Mrs Corney",123,"Last Appearance",9
"70","Mrs Corney",74,"First Appearance",9
"71","Mrs Mann",3,"First Appearance",4
"72","Mrs Mann",55,"Last Appearance",4
"73","Mrs Maylie",94,"First Appearance",23
"74","Mrs Maylie",184,"Last Appearance",23
"75","Mrs Sowerberry",13,"First Appearance",8
"76","Mrs Sowerberry",88,"Last Appearance",8
"77","Nancy",159,"Last Appearance",31
"78","Nancy",29,"First Appearance",31
"79","Ned",62,"First Appearance",2
"80","Ned",68,"Last Appearance",2
"81","Noah Claypole",14,"First Appearance",23
"82","Noah Claypole",184,"Last Appearance",23
"83","Oliver Twist",1,"First Appearance",111
"84","Oliver Twist",184,"Last Appearance",111
"85","Phil Barker",83,"First Appearance",1
"86","Phil Barker",83,"Last Appearance",1
"87","Rose Maylie",94,"First Appearance",37
"88","Rose Maylie",185,"Last Appearance",37
"89","Sally",76,"First Appearance",5
"90","Sally",177,"Last Appearance",5
"91","Toby Crackit",62,"First Appearance",20
"92","Toby Crackit",171,"Last Appearance",20
"93","Tom Chitling",60,"First Appearance",6
"94","Tom Chitling",170,"Last Appearance",6
