"source" "target" "tag"
1 2 "Oliver Twist"
2 3 "Oliver Twist"
3 4 "Mr Bumble"
3 4 "Mrs Mann"
3 4 "Oliver Twist"
4 5 "Mr Bumble"
4 5 "Oliver Twist"
5 6 "Mr Bumble"
5 6 "Oliver Twist"
6 7 "Mr Bumble"
6 7 "Oliver Twist"
7 8 "Mr Bumble"
7 8 "Mr Gamfield"
6 8 "Mr Limbkins"
7 8 "Oliver Twist"
8 9 "Mr Bumble"
8 9 "Mr Gamfield"
8 9 "Mr Limbkins"
8 9 "Oliver Twist"
9 10 "Mr Gamfield"
9 10 "Oliver Twist"
9 11 "Mr Bumble"
10 11 "Oliver Twist"
11 12 "Mr Bumble"
11 12 "Mr Sowerberry"
11 12 "Oliver Twist"
12 13 "Mr Bumble"
12 13 "Mr Sowerberry"
12 13 "Oliver Twist"
13 14 "Charlotte"
13 14 "Mr Sowerberry"
13 14 "Mrs Sowerberry"
13 14 "Oliver Twist"
14 15 "Charlotte"
13 15 "Mr Bumble"
14 15 "Mr Sowerberry"
14 15 "Mrs Sowerberry"
14 15 "Noah Claypole"
14 15 "Oliver Twist"
15 16 "Mr Bumble"
15 16 "Mr Sowerberry"
15 16 "Noah Claypole"
15 16 "Oliver Twist"
16 17 "Mr Bumble"
16 17 "Mr Sowerberry"
16 17 "Oliver Twist"
15 19 "Charlotte"
17 19 "Mr Sowerberry"
15 19 "Mrs Sowerberry"
16 19 "Noah Claypole"
17 19 "Oliver Twist"
19 20 "Charlotte"
17 20 "Mr Bumble"
19 20 "Mrs Sowerberry"
19 20 "Noah Claypole"
19 20 "Oliver Twist"
20 21 "Charlotte"
20 21 "Mr Bumble"
19 21 "Mr Sowerberry"
20 21 "Mrs Sowerberry"
20 21 "Noah Claypole"
20 21 "Oliver Twist"
21 22 "Charlotte"
21 22 "Mr Bumble"
21 22 "Mr Sowerberry"
21 22 "Mrs Sowerberry"
21 22 "Noah Claypole"
21 22 "Oliver Twist"
22 23 "Oliver Twist"
22 24 "Mr Sowerberry"
23 24 "Oliver Twist"
24 25 "Oliver Twist"
25 26 "Oliver Twist"
26 27 "Oliver Twist"
27 28 "Oliver Twist"
26 29 "Artful Dodger"
26 29 "Fagin"
28 29 "Oliver Twist"
29 30 "Artful Dodger"
29 30 "Fagin"
29 30 "Oliver Twist"
30 31 "Artful Dodger"
29 31 "Charley Bates"
