"Character","Node","Appearances"
"Abbey Potterson",350,16
"Abbey Potterson",28,16
"Abbey Potterson",27,16
"Abbey Potterson",190,16
"Abbey Potterson",189,16
"Abbey Potterson",98,16
"Abbey Potterson",192,16
"Abbey Potterson",332,16
"Abbey Potterson",30,16
"Abbey Potterson",69,16
"Abbey Potterson",66,16
"Abbey Potterson",29,16
"Abbey Potterson",188,16
"Abbey Potterson",26,16
"Abbey Potterson",191,16
"Abbey Potterson",333,16
"Alfred Lammle",112,44
"Alfred Lammle",241,44
"Alfred Lammle",61,44
"Alfred Lammle",60,44
"Alfred Lammle",116,44
"Alfred Lammle",110,44
"Alfred Lammle",254,44
"Alfred Lammle",280,44
"Alfred Lammle",114,44
"Alfred Lammle",115,44
"Alfred Lammle",269,44
"Alfred Lammle",184,44
"Alfred Lammle",183,44
"Alfred Lammle",63,44
"Alfred Lammle",242,44
"Alfred Lammle",240,44
"Alfred Lammle",53,44
"Alfred Lammle",271,44
"Alfred Lammle",253,44
"Alfred Lammle",180,44
"Alfred Lammle",177,44
"Alfred Lammle",113,44
"Alfred Lammle",314,44
"Alfred Lammle",155,44
"Alfred Lammle",49,44
"Alfred Lammle",282,44
"Alfred Lammle",58,44
"Alfred Lammle",54,44
"Alfred Lammle",178,44
"Alfred Lammle",52,44
"Alfred Lammle",281,44
"Alfred Lammle",153,44
"Alfred Lammle",202,44
"Alfred Lammle",279,44
"Alfred Lammle",313,44
"Alfred Lammle",357,44
"Alfred Lammle",50,44
"Alfred Lammle",111,44
"Alfred Lammle",65,44
"Alfred Lammle",220,44
"Alfred Lammle",117,44
"Alfred Lammle",181,44
"Alfred Lammle",179,44
"Alfred Lammle",59,44
"Analytical Chemist",109,12
"Analytical Chemist",273,12
"Analytical Chemist",107,12
"Analytical Chemist",7,12
"Analytical Chemist",5,12
"Analytical Chemist",178,12
"Analytical Chemist",6,12
"Analytical Chemist",52,12
"Analytical Chemist",272,12
"Analytical Chemist",49,12
"Analytical Chemist",50,12
"Analytical Chemist",269,12
"Bella Wilfer",228,99
"Bella Wilfer",169,99
"Bella Wilfer",353,99
"Bella Wilfer",199,99
"Bella Wilfer",338,99
"Bella Wilfer",296,99
"Bella Wilfer",329,99
"Bella Wilfer",165,99
"Bella Wilfer",198,99
"Bella Wilfer",223,99
"Bella Wilfer",144,99
"Bella Wilfer",164,99
"Bella Wilfer",287,99
"Bella Wilfer",357,99
"Bella Wilfer",136,99
"Bella Wilfer",217,99
"Bella Wilfer",255,99
"Bella Wilfer",82,99
"Bella Wilfer",41,99
"Bella Wilfer",256,99
"Bella Wilfer",340,99
"Bella Wilfer",133,99
"Bella Wilfer",262,99
"Bella Wilfer",88,99
"Bella Wilfer",225,99
"Bella Wilfer",292,99
"Bella Wilfer",280,99
"Bella Wilfer",44,99
"Bella Wilfer",337,99
"Bella Wilfer",336,99
"Bella Wilfer",295,99
"Bella Wilfer",18,99
"Bella Wilfer",259,99
"Bella Wilfer",331,99
"Bella Wilfer",350,99
"Bella Wilfer",229,99
"Bella Wilfer",263,99
"Bella Wilfer",227,99
"Bella Wilfer",288,99
"Bella Wilfer",15,99
"Bella Wilfer",159,99
"Bella Wilfer",160,99
"Bella Wilfer",327,99
"Bella Wilfer",224,99
"Bella Wilfer",202,99
