"Character","Node","Type","Appearances"
"Abbey Potterson",26,"First Appearance",16
"Abbey Potterson",350,"Last Appearance",16
"Alfred Lammle",49,"First Appearance",44
"Alfred Lammle",357,"Last Appearance",44
"Analytical Chemist",5,"First Appearance",12
"Analytical Chemist",273,"Last Appearance",12
"Bella Wilfer",15,"First Appearance",99
"Bella Wilfer",357,"Last Appearance",99
"Betty Higden",84,"First Appearance",22
"Betty Higden",357,"Last Appearance",22
"Blight",37,"First Appearance",6
"Blight",350,"Last Appearance",6
"Bob Glamour",27,"First Appearance",3
"Bob Glamour",192,"Last Appearance",3
"Bob Gliddery",28,"First Appearance",5
"Bob Gliddery",192,"Last Appearance",5
"Boots Brewer",356,"Last Appearance",16
"Boots Brewer",4,"First Appearance",16
"Bradley Headstone",14,"First Appearance",52
"Bradley Headstone",357,"Last Appearance",52
"Captain Joey",156,"First Appearance",3
"Captain Joey",209,"Last Appearance",3
"Charley Hexam",11,"First Appearance",22
"Charley Hexam",309,"Last Appearance",22
"Eugene Wrayburn",355,"Last Appearance",83
"Eugene Wrayburn",5,"First Appearance",83
"Fledgeby",111,"First Appearance",37
"Fledgeby",350,"Last Appearance",37
"Gaffer Hexam",2,"First Appearance",20
"Gaffer Hexam",238,"Last Appearance",20
"George Jones",27,"First Appearance",9
"George Jones",338,"Last Appearance",9
"George Sampson",16,"First Appearance",18
"George Sampson",351,"Last Appearance",18
"Georgiana Podsnap",56,"First Appearance",22
"Georgiana Podsnap",282,"Last Appearance",22
"Gruff and Glum",288,"First Appearance",2
"Gruff and Glum",289,"Last Appearance",2
"Jack Mullins",28,"First Appearance",1
"Jack Mullins",28,"Last Appearance",1
"Jacob Kibble",13,"First Appearance",4
"Jacob Kibble",333,"Last Appearance",4
"Jenny Wren",353,"Last Appearance",46
"Jenny Wren",96,"First Appearance",46
"Job Potterson",333,"Last Appearance",3
"Job Potterson",13,"First Appearance",3
"John Harmon",11,"First Appearance",112
"John Harmon",357,"Last Appearance",112
"Johnny",85,"First Appearance",14
"Johnny",352,"Last Appearance",14
"Lady Tippins",357,"Last Appearance",25
"Lady Tippins",4,"First Appearance",25
"Lavinia Wilfer",351,"Last Appearance",28
"Lavinia Wilfer",15,"First Appearance",28
"Lizzie Hexam",1,"First Appearance",71
"Lizzie Hexam",354,"Last Appearance",71
"Lord Snigsworth",3,"First Appearance",11
"Lord Snigsworth",350,"Last Appearance",11
"Mary Anne",94,"First Appearance",5
"Mary Anne",309,"Last Appearance",5
"Melvin Twemlow",357,"Last Appearance",32
"Melvin Twemlow",3,"First Appearance",32
"Miss Peecher",94,"First Appearance",10
"Miss Peecher",346,"Last Appearance",10
"Mortimer Lightwood",5,"First Appearance",68
"Mortimer Lightwood",357,"Last Appearance",68
"Mr Boffin",20,"First Appearance",112
"Mr Boffin",357,"Last Appearance",112
"Mr Dolls",318,"Last Appearance",10
"Mr Dolls",103,"First Appearance",10
"Mr Grompus",59,"Last Appearance",1
"Mr Grompus",59,"First Appearance",1
"Mr Inspector",10,"First Appearance",16
"Mr Inspector",350,"Last Appearance",16
"Mr Podsnap",7,"First Appearance",18
"Mr Podsnap",272,"Last Appearance",18
"Mr Riah",350,"Last Appearance",32
"Mr Riah",118,"First Appearance",32
"Mr Veneering",357,"Last Appearance",35
"Mr Veneering",3,"First Appearance",35
"Mr Wilfer",14,"First Appearance",45
"Mr Wilfer",350,"Last Appearance",45
"Mrs  Veneering",3,"First Appearance",27
"Mrs  Veneering",357,"Last Appearance",27
"Mrs Boffin",22,"First Appearance",84
"Mrs Boffin",357,"Last Appearance",84
"Mrs Goody",45,"First Appearance",1
"Mrs Goody",45,"Last Appearance",1
"Mrs Milvey",44,"First Appearance",11
"Mrs Milvey",328,"Last Appearance",11
"Mrs Podsnap",4,"First Appearance",14
"Mrs Podsnap",356,"Last Appearance",14
"Mrs Sprodgkin",325,"First Appearance",2
"Mrs Sprodgkin",326,"Last Appearance",2
"Mrs Swoshle",90,"First Appearance",1
"Mrs Swoshle",90,"Last Appearance",1
"Mrs Wilfer",351,"Last Appearance",29
"Mrs Wilfer",14,"First Appearance",29
"MrVenus",33,"First Appearance",34
"MrVenus",344,"Last Appearance",34
"Pleasant Riderhood",151,"First Appearance",12
"Pleasant Riderhood",341,"Last Appearance",12
"Poddles",85,"First Appearance",3
"Poddles",87,"Last Appearance",3
"Reverend  FrankMilvey",345,"Last Appearance",12
"Reverend  FrankMilvey",44,"First Appearance",12
"Rogue Riderhood",26,"First Appearance",47
"Rogue Riderhood",357,"Last Appearance",47
"Silas Wegg",19,"First Appearance",46
"Silas Wegg",344,"Last Appearance",46
"Sloppy",85,"First Appearance",21
"Sloppy",353,"Last Appearance",21
"Sophronia Akershem",49,"First Appearance",40
"Sophronia Akershem",357,"Last Appearance",40
"The Tapkins",90,"First Appearance",1
"The Tapkins",90,"Last Appearance",1
"Toddles",85,"First Appearance",3
"Toddles",87,"Last Appearance",3
"Tom Tootle",28,"First Appearance",4
"Tom Tootle",192,"Last Appearance",4
"William Williams",191,"First Appearance",2
"William Williams",192,"Last Appearance",2
