"V1","V2"
"2","Lizzie Hexam"
"4","Lord Snigsworth"
"4","Melvin Twemlow"
"4","Mr Veneering"
"4","Mrs  Veneering"
"5","Boots Brewer"
"5","Lady Tippins"
"5","Melvin Twemlow"
"5","Mr Veneering"
"5","Mrs  Veneering"
"6","Analytical Chemist"
"6","Eugene Wrayburn"
"6","Lady Tippins"
"6","Melvin Twemlow"
"6","Mortimer Lightwood"
"6","Mr Veneering"
"6","Mrs  Veneering"
"6","Mrs Podsnap"
"7","Analytical Chemist"
"7","Lady Tippins"
"7","Mortimer Lightwood"
"7","Mrs  Veneering"
"7","Mrs Podsnap"
"8","Eugene Wrayburn"
"8","Gaffer Hexam"
"8","Lady Tippins"
"8","Mortimer Lightwood"
"8","Mr Veneering"
"9","Eugene Wrayburn"
"9","Gaffer Hexam"
"9","Mortimer Lightwood"
"10","Eugene Wrayburn"
"10","Gaffer Hexam"
"10","Lady Tippins"
"10","Mortimer Lightwood"
"11","Gaffer Hexam"
"11","Mr Inspector"
"12","Charley Hexam"
"12","Lizzie Hexam"
"13","Gaffer Hexam"
"13","John Harmon"
"13","Melvin Twemlow"
"13","Mortimer Lightwood"
"13","Mr Inspector"
"13","Mr Veneering"
"14","Mr Veneering"
"15","John Harmon"
"15","Mr Wilfer"
"15","Mrs Wilfer"
"16","Bella Wilfer"
"16","Lavinia Wilfer"
"16","Mortimer Lightwood"
"16","Mr Wilfer"
"16","Mrs Wilfer"
"17","Bella Wilfer"
"17","John Harmon"
"17","Lavinia Wilfer"
"17","Mr Wilfer"
"17","Mrs Wilfer"
"18","Bella Wilfer"
"18","George Sampson"
"18","John Harmon"
"18","Lavinia Wilfer"
"18","Mrs Wilfer"
"20","Silas Wegg"
"21","Mr Boffin"
"21","Silas Wegg"
"22","Mr Boffin"
"22","Silas Wegg"
"23","Mr Boffin"
"23","Mrs Boffin"
"23","Silas Wegg"
"24","Mr Boffin"
"24","Mrs Boffin"
"24","Silas Wegg"
"25","Mr Boffin"
"25","Mrs Boffin"
"25","Silas Wegg"
"27","Abbey Potterson"
"27","Gaffer Hexam"
"27","Rogue Riderhood"
"28","Abbey Potterson"
"28","Lizzie Hexam"
"28","Rogue Riderhood"
"29","Abbey Potterson"
"29","Gaffer Hexam"
"29","Lizzie Hexam"
"29","Rogue Riderhood"
"30","Abbey Potterson"
"30","Charley Hexam"
"31","Charley Hexam"
"31","Eugene Wrayburn"
"31","Gaffer Hexam"
"31","Lizzie Hexam"
"33","Silas Wegg"
"34","MrVenus"
"34","Silas Wegg"
"35","MrVenus"
"35","Silas Wegg"
"36","MrVenus"
"36","Silas Wegg"
"37","Mortimer Lightwood"
"37","Mr Boffin"
"38","Eugene Wrayburn"
"38","Mortimer Lightwood"
"38","Mr Boffin"
"38","Mrs Boffin"
"39","Mortimer Lightwood"
"39","Mr Boffin"
"39","Mrs Boffin"
"40","Bradley Headstone"
"40","Eugene Wrayburn"
"40","Mortimer Lightwood"
"40","Mr Boffin"
"40","Mrs Boffin"
"41","Bella Wilfer"
"41","John Harmon"
"41","Mr Boffin"
"41","Mr Wilfer"
"41","Mrs Boffin"
"42","John Harmon"
"42","Mr Boffin"
"42","Mrs Boffin"
"43","John Harmon"
"43","Mr Boffin"
"43","Mrs Boffin"
"44","Bella Wilfer"
"44","Mr Boffin"
"44","Mrs Boffin"
"45","Mr Boffin"
"45","Mr Wilfer"
"45","Mrs Boffin"
"45","Mrs Milvey"
"45","Reverend  FrankMilvey"
"46","Bella Wilfer"
"46","George Sampson"
"46","Lavinia Wilfer"
"46","Mr Boffin"
"46","Mrs Boffin"
"46","Mrs Wilfer"
"47","Bella Wilfer"
"47","George Sampson"
"47","Lavinia Wilfer"
"47","Mr Boffin"
"47","Mrs Boffin"
"47","Mrs Wilfer"
"48","Bella Wilfer"
"48","George Sampson"
"48","John Harmon"
"48","Lavinia Wilfer"
"48","Mr Boffin"
"48","Mrs Boffin"
"48","Mrs Wilfer"
"49","Analytical Chemist"
"49","Boots Brewer"
"49","Lady Tippins"
"49","Melvin Twemlow"
"49","Mr Podsnap"
"49","Mr Veneering"
"49","Mrs  Veneering"
"50","Alfred Lammle"
"50","Analytical Chemist"
"50","Lady Tippins"
"50","Lord Snigsworth"
"50","Melvin Twemlow"
"50","Mr Podsnap"
"50","Mr Veneering"
"50","Mrs  Veneering"
"50","Sophronia Akershem"
"51","Boots Brewer"
"51","Eugene Wrayburn"
"51","Lady Tippins"
"51","Melvin Twemlow"
"51","Mortimer Lightwood"
"51","Mr Podsnap"
"51","Mr Veneering"
"51","Mrs  Veneering"
"51","Mrs Podsnap"
"52","Alfred Lammle"
"52","Analytical Chemist"
"52","Eugene Wrayburn"
"52","Lady Tippins"
"52","Melvin Twemlow"
"52","Mortimer Lightwood"
"52","Sophronia Akershem"
"53","Alfred Lammle"
"53","Mr Veneering"
"53","Sophronia Akershem"
"54","Alfred Lammle"
"54","Sophronia Akershem"
"55","Mr Podsnap"
"56","Mr Podsnap"
"56","Mr Veneering"
"56","Mrs  Veneering"
"56","Mrs Podsnap"
"57","Mr Podsnap"
"57","Mr Veneering"
"58","Alfred Lammle"
"58","Georgiana Podsnap"
"58","Mr Podsnap"
"58","Mrs  Veneering"
"58","Mrs Podsnap"
"58","Sophronia Akershem"
"59","Alfred Lammle"
"59","Georgiana Podsnap"
"59","Mr Wilfer"
"59","Sophronia Akershem"
"60","Alfred Lammle"
"60","Georgiana Podsnap"
"60","Mr Podsnap"
"60","Mr Veneering"
"60","Mrs Podsnap"
"60","Sophronia Akershem"
"61","Alfred Lammle"
"61","Georgiana Podsnap"
"61","Mr Podsnap"
"61","Sophronia Akershem"
"62","Blight"
"62","Eugene Wrayburn"
"62","George Jones"
"62","Mortimer Lightwood"
"62","Mr Podsnap"
"63","Alfred Lammle"
"63","Eugene Wrayburn"
"63","Mortimer Lightwood"
"64","Eugene Wrayburn"
"64","Gaffer Hexam"
"64","Mortimer Lightwood"
"64","Rogue Riderhood"
"65","Alfred Lammle"
"65","Eugene Wrayburn"
"65","Gaffer Hexam"
"65","Mortimer Lightwood"
"65","Rogue Riderhood"
"66","Abbey Potterson"
"66","Eugene Wrayburn"
"66","Gaffer Hexam"
"66","Mortimer Lightwood"
"66","Rogue Riderhood"
"67","Eugene Wrayburn"
"67","Gaffer Hexam"
"67","Mortimer Lightwood"
"67","Mr Inspector"
"67","Rogue Riderhood"
"68","Mr Inspector"
"69","Abbey Potterson"
"69","Bob Gliddery"
"69","Eugene Wrayburn"
"69","Mortimer Lightwood"
"69","Mr Inspector"
"69","Rogue Riderhood"
"70","Eugene Wrayburn"
"70","Gaffer Hexam"
"70","Mortimer Lightwood"
"70","Mr Inspector"
"71","Eugene Wrayburn"
"71","Mortimer Lightwood"
"71","Mr Inspector"
"71","Rogue Riderhood"
"72","Eugene Wrayburn"
"72","Mr Inspector"
"72","Rogue Riderhood"
"73","Eugene Wrayburn"
"73","Gaffer Hexam"
"73","Mortimer Lightwood"
"73","Rogue Riderhood"
"74","Eugene Wrayburn"
"74","Mortimer Lightwood"
"74","Mr Inspector"
"74","Rogue Riderhood"
"75","Eugene Wrayburn"
"75","Gaffer Hexam"
"75","Mortimer Lightwood"
"75","Mr Boffin"
"75","Mr Inspector"
