"","V1","V2"
"1","Gaffer Hexam","Lizzie Hexam"
"2","Lord Snigsworth","Melvin Twemlow"
"3","Lord Snigsworth","Mr Veneering"
"4","Lord Snigsworth","Mrs  Veneering"
"5","Melvin Twemlow","Mr Veneering"
"6","Melvin Twemlow","Mrs  Veneering"
"7","Mr Veneering","Mrs  Veneering"
"8","Boots Brewer","Lady Tippins"
"9","Boots Brewer","Lord Snigsworth"
"10","Boots Brewer","Melvin Twemlow"
"11","Boots Brewer","Mr Veneering"
"12","Boots Brewer","Mrs  Veneering"
"13","Boots Brewer","Mrs Podsnap"
"14","Lady Tippins","Lord Snigsworth"
"15","Lady Tippins","Melvin Twemlow"
"16","Lady Tippins","Mr Veneering"
"17","Lady Tippins","Mrs  Veneering"
"18","Lady Tippins","Mrs Podsnap"
"19","Lord Snigsworth","Mrs Podsnap"
"20","Melvin Twemlow","Mrs Podsnap"
"21","Mr Veneering","Mrs Podsnap"
"22","Mrs  Veneering","Mrs Podsnap"
"23","Analytical Chemist","Boots Brewer"
"24","Analytical Chemist","Eugene Wrayburn"
"25","Analytical Chemist","Lady Tippins"
"26","Analytical Chemist","Melvin Twemlow"
"27","Analytical Chemist","Mortimer Lightwood"
"28","Analytical Chemist","Mr Veneering"
"29","Analytical Chemist","Mrs  Veneering"
"30","Boots Brewer","Eugene Wrayburn"
"31","Boots Brewer","Mortimer Lightwood"
"32","Eugene Wrayburn","Lady Tippins"
"33","Eugene Wrayburn","Melvin Twemlow"
"34","Eugene Wrayburn","Mortimer Lightwood"
"35","Eugene Wrayburn","Mr Veneering"
"36","Eugene Wrayburn","Mrs  Veneering"
"37","Lady Tippins","Mortimer Lightwood"
"38","Melvin Twemlow","Mortimer Lightwood"
"39","Mortimer Lightwood","Mr Veneering"
"40","Mortimer Lightwood","Mrs  Veneering"
"41","Analytical Chemist","Mrs Podsnap"
"42","Eugene Wrayburn","Mrs Podsnap"
"43","Mortimer Lightwood","Mrs Podsnap"
"44","Analytical Chemist","Mr Podsnap"
"45","Lady Tippins","Mr Podsnap"
"46","Mortimer Lightwood","Mr Podsnap"
"47","Mr Podsnap","Mrs  Veneering"
"48","Mr Podsnap","Mrs Podsnap"
"49","Eugene Wrayburn","Gaffer Hexam"
"50","Gaffer Hexam","Lady Tippins"
"51","Gaffer Hexam","Mortimer Lightwood"
"52","Gaffer Hexam","Mr Veneering"
"53","Eugene Wrayburn","Mr Inspector"
"54","Gaffer Hexam","Mr Inspector"
"55","Lady Tippins","Mr Inspector"
"56","Mortimer Lightwood","Mr Inspector"
"57","Charley Hexam","Gaffer Hexam"
"58","Charley Hexam","John Harmon"
"59","Charley Hexam","Mr Inspector"
"60","Gaffer Hexam","John Harmon"
"61","John Harmon","Mr Inspector"
"62","Charley Hexam","Lizzie Hexam"
"63","Gaffer Hexam","Jacob Kibble"
"64","Gaffer Hexam","Job Potterson"
"65","Gaffer Hexam","Melvin Twemlow"
"66","Jacob Kibble","Job Potterson"
"67","Jacob Kibble","John Harmon"
"68","Jacob Kibble","Melvin Twemlow"
"69","Jacob Kibble","Mortimer Lightwood"
"70","Jacob Kibble","Mr Inspector"
"71","Jacob Kibble","Mr Veneering"
"72","Job Potterson","John Harmon"
"73","Job Potterson","Melvin Twemlow"
"74","Job Potterson","Mortimer Lightwood"
"75","Job Potterson","Mr Inspector"
"76","Job Potterson","Mr Veneering"
"77","John Harmon","Melvin Twemlow"
"78","John Harmon","Mortimer Lightwood"
"79","John Harmon","Mr Veneering"
"80","Melvin Twemlow","Mr Inspector"
"81","Mr Inspector","Mr Veneering"
"82","Bradley Headstone","Mr Veneering"
"83","Bradley Headstone","Mr Wilfer"
"84","Bradley Headstone","Mrs Wilfer"
"85","Mr Veneering","Mr Wilfer"
"86","Mr Veneering","Mrs Wilfer"
"87","Mr Wilfer","Mrs Wilfer"
"88","Bella Wilfer","John Harmon"
"89","Bella Wilfer","Lavinia Wilfer"
"90","Bella Wilfer","Mr Wilfer"
"91","Bella Wilfer","Mrs Wilfer"
"92","John Harmon","Lavinia Wilfer"
"93","John Harmon","Mr Wilfer"
"94","John Harmon","Mrs Wilfer"
"95","Lavinia Wilfer","Mr Wilfer"
"96","Lavinia Wilfer","Mrs Wilfer"
"97","Bella Wilfer","George Sampson"
"98","Bella Wilfer","Mortimer Lightwood"
"99","George Sampson","Lavinia Wilfer"
"100","George Sampson","Mortimer Lightwood"
"101","George Sampson","Mr Wilfer"
"102","George Sampson","Mrs Wilfer"
"103","Lavinia Wilfer","Mortimer Lightwood"
"104","Mortimer Lightwood","Mr Wilfer"
"105","Mortimer Lightwood","Mrs Wilfer"
"106","George Sampson","John Harmon"
"107","Mr Boffin","Silas Wegg"
"108","Mr Boffin","Mrs Boffin"
"109","Mrs Boffin","Silas Wegg"
"110","Abbey Potterson","Rogue Riderhood"
"111","Abbey Potterson","Bob Glamour"
"112","Abbey Potterson","Gaffer Hexam"
"113","Abbey Potterson","George Jones"
"114","Bob Glamour","Gaffer Hexam"
"115","Bob Glamour","George Jones"
"116","Bob Glamour","Rogue Riderhood"
"117","Gaffer Hexam","George Jones"
"118","Gaffer Hexam","Rogue Riderhood"
"119","George Jones","Rogue Riderhood"
"120","Abbey Potterson","Bob Gliddery"
"121","Abbey Potterson","Jack Mullins"
"122","Abbey Potterson","Lizzie Hexam"
"123","Abbey Potterson","Tom Tootle"
"124","Bob Gliddery","Jack Mullins"
"125","Bob Gliddery","Lizzie Hexam"
"126","Bob Gliddery","Rogue Riderhood"
"127","Bob Gliddery","Tom Tootle"
"128","Jack Mullins","Lizzie Hexam"
"129","Jack Mullins","Rogue Riderhood"
"130","Jack Mullins","Tom Tootle"
"131","Lizzie Hexam","Rogue Riderhood"
"132","Lizzie Hexam","Tom Tootle"
"133","Rogue Riderhood","Tom Tootle"
"134","Abbey Potterson","Charley Hexam"
"135","Charley Hexam","Eugene Wrayburn"
"136","Eugene Wrayburn","Lizzie Hexam"
"137","MrVenus","Silas Wegg"
"138","Blight","Mortimer Lightwood"
"139","Blight","Mr Boffin"
"140","Mortimer Lightwood","Mr Boffin"
"141","Eugene Wrayburn","Mr Boffin"
"142","Eugene Wrayburn","Mrs Boffin"
"143","Mortimer Lightwood","Mrs Boffin"
"144","Bradley Headstone","Eugene Wrayburn"
"145","Bradley Headstone","Mortimer Lightwood"
"146","Bradley Headstone","Mr Boffin"
"147","Bradley Headstone","Mrs Boffin"
"148","Bella Wilfer","Mr Boffin"
"149","Bella Wilfer","Mrs Boffin"
"150","John Harmon","Mr Boffin"
"151","John Harmon","Mrs Boffin"
"152","Mr Boffin","Mr Wilfer"
"153","Mr Wilfer","Mrs Boffin"
"154","Bella Wilfer","Mrs Milvey"
"155","Bella Wilfer","Reverend  FrankMilvey"
"156","Mr Boffin","Mrs Milvey"
"157","Mr Boffin","Reverend  FrankMilvey"
"158","Mrs Boffin","Mrs Milvey"
"159","Mrs Boffin","Reverend  FrankMilvey"
"160","Mrs Milvey","Reverend  FrankMilvey"
"161","Mr Boffin","Mrs Goody"
"162","Mr Wilfer","Mrs Goody"
"163","Mr Wilfer","Mrs Milvey"
"164","Mr Wilfer","Reverend  FrankMilvey"
"165","Mrs Boffin","Mrs Goody"
"166","Mrs Goody","Mrs Milvey"
"167","Mrs Goody","Reverend  FrankMilvey"
"168","George Sampson","Mr Boffin"
"169","George Sampson","Mrs Boffin"
"170","Lavinia Wilfer","Mr Boffin"
"171","Lavinia Wilfer","Mrs Boffin"
"172","Mr Boffin","Mrs Wilfer"
"173","Mrs Boffin","Mrs Wilfer"
"174","Alfred Lammle","Analytical Chemist"
"175","Alfred Lammle","Boots Brewer"
"176","Alfred Lammle","Lady Tippins"
"177","Alfred Lammle","Melvin Twemlow"
"178","Alfred Lammle","Mr Podsnap"
"179","Alfred Lammle","Mr Veneering"
"180","Alfred Lammle","Mrs  Veneering"
"181","Alfred Lammle","Sophronia Akershem"
"182","Analytical Chemist","Sophronia Akershem"
"183","Boots Brewer","Mr Podsnap"
"184","Boots Brewer","Sophronia Akershem"
"185","Lady Tippins","Sophronia Akershem"
"186","Melvin Twemlow","Mr Podsnap"
"187","Melvin Twemlow","Sophronia Akershem"
"188","Mr Podsnap","Mr Veneering"
"189","Mr Podsnap","Sophronia Akershem"
"190","Mr Veneering","Sophronia Akershem"
"191","Mrs  Veneering","Sophronia Akershem"
"192","Alfred Lammle","Lord Snigsworth"
"193","Analytical Chemist","Lord Snigsworth"
"194","Lord Snigsworth","Mr Podsnap"
