"Character","Node"
"Admiral Baldwin","7"
"Admiral Brand","62"
"Admiral Croft","8, 30, 27, 10, 18, 19, 17, 61, 63, 11, 7, 12, 24, 91, 64, 33, 25, 60, 62, 23, 45, 65, 46, 31"
"Anne Elliot","1, 7, 82, 34, 63, 45, 49, 18, 8, 2, 93, 83, 19, 56, 50, 30, 3, 9, 36, 20, 68, 51, 4, 38, 76, 58, 21, 5, 52, 66, 39, 44, 22, 75, 6, 28, 59, 23, 71, 67, 40, 60, 80, 72, 24, 79, 85, 13, 73, 41, 55, 27, 25, 88, 74, 70, 42, 14, 57, 86, 69, 84, 48, 10, 15, 47, 12, 43, 92, 32, 11, 29, 46, 77, 62, 90, 87, 64, 17, 61, 78, 53, 54, 31, 65, 35, 26, 16, 81, 33"
"Captain Benwick","45, 42, 68, 36, 48, 61, 86, 44, 80, 41, 39, 69, 63, 81, 62, 92, 90, 40, 60, 87, 66, 47, 35"
"Captain Brigden","62"
"Captain Frederick Wentworth","18, 63, 20, 22, 41, 40, 45, 10, 87, 44, 43, 8, 68, 84, 42, 39, 85, 61, 49, 82, 67, 34, 21, 91, 79, 69, 46, 25, 36, 29, 72, 65, 33, 31, 92, 19, 86, 30, 66, 9, 23, 93, 27, 24, 70, 26, 32, 62, 17, 83, 38, 28, 48, 35, 88, 71"
"Captain Harville","85, 44, 34, 86, 42, 60, 63, 68, 36, 47, 24, 91, 89, 61, 41, 40, 45, 88, 80, 87, 82, 49, 25, 48, 35"
"Charles Hayter","29, 61, 60, 81, 48, 80, 47, 92, 30, 27, 85, 44, 28, 32"
"Charles Musgrove","61, 29, 82, 27, 85, 19, 88, 42, 91, 24, 13, 89, 39, 45, 83, 21, 44, 48, 32, 60, 16, 81, 41, 40, 34, 20, 84, 15, 1, 31, 17, 65, 74, 80, 47, 14, 28"
"Charles Smith","75, 78"
"Colonel Wallis","70, 77, 73, 53, 58, 50, 69, 76, 51"
"Doctor Shirley","42, 28, 29, 38"
"Edward Wentworth","8, 63, 27, 70, 9, 17, 90"
"Elder Mr Charles Musgrove","45, 81, 29, 13, 44, 65, 17, 14, 16, 15, 34, 68, 20, 28, 90, 23, 30, 25, 27, 61, 43, 19, 18, 84, 80, 85, 48, 42"
"Elizabeth Elliot","68, 13, 2, 1, 39, 8, 49, 4, 54, 81, 3, 53, 80, 79, 57, 58, 77, 56, 67, 69, 76, 70, 92, 93, 65, 62, 84, 83, 6, 52, 11, 10, 12, 50, 15, 5, 61, 51"
"Fanny Harville","47, 35, 68"
"Governor Trent","8"
"Harry Musgrove","44"
"Henrietta Musgrove","45, 22, 32, 40, 60, 91, 65, 26, 82, 39, 30, 13, 14, 81, 38, 83, 48, 17, 28, 80, 16, 21, 34, 61, 84, 64, 31, 23, 27, 88, 43, 41, 29, 44, 24, 33, 47, 85, 42"
"Jemima","20, 16, 60"
"Lady Alicia","81, 66"
"Lady Elliot","2, 3, 1, 59, 54, 77, 58"
"Lady Mary Grierson","24"
"Lady Russell","53, 11, 45, 66, 13, 69, 59, 46, 48, 54, 9, 56, 1, 79, 93, 92, 4, 49, 2, 62, 70, 58, 80, 67, 38, 3, 34, 47, 52, 91, 78, 44, 12, 5, 32, 15, 71, 82, 10"
"Little Charles Musgrove","13"
"Lord St Ives","7"
"Louisa Musgrove","36, 16, 22, 66, 32, 80, 38, 60, 47, 40, 48, 46, 82, 44, 13, 14, 17, 35, 41, 34, 26, 65, 62, 28, 81, 84, 85, 91, 21, 30, 27, 31, 42, 90, 61, 45, 68, 23, 29, 33, 49, 39, 24, 63, 89, 69"
"Mackenzie","13"
"Mary","75"
"Mary Elliot","14, 80, 92, 27, 32, 82, 30, 45, 1, 34, 91, 17, 48, 88, 40, 29, 15, 16, 20, 28, 13, 21, 54, 11, 39, 51, 61, 60, 83, 84, 49, 41, 19, 44, 33, 5, 47, 81, 10, 2, 31, 42, 85, 65, 12"
"Miss Atkinson","66"
"Mr Hayter","60, 27"
"Mr John Shepherd","6, 3, 7, 46, 11, 5, 4, 8"
"Mr Robinson","19, 20"
"Mr William Elliot","39, 82, 79, 73, 70, 59, 69, 48, 60, 51, 53, 1, 72, 54, 77, 90, 52, 81, 2, 89, 92, 50, 93, 58, 49, 83, 75, 66, 85, 76, 74, 42, 78, 84, 71, 65, 80"
"Mrs Croft","18, 27, 23, 60, 11, 63, 17, 19, 85, 91, 46, 25, 12, 64, 8, 65, 33, 61, 62, 10, 45, 87"
"Mrs Frankland","66"
"Mrs Hayter","60, 27"
"Mrs Penelope Clay","90, 92, 82, 7, 55, 5, 45, 51, 12, 77, 79, 50, 53, 60, 57, 11, 52, 8, 61, 65, 80, 66, 58, 84, 68, 6, 59"
"Mrs Shirley","38"
"Mrs Smith","67, 56, 57, 72, 73, 58, 78, 75, 76, 77, 85, 74, 79, 93"
"Mrs Speed","73"
"Mrs William Elliot","50"
"Nurse Rooke","73, 76, 57"
"Sarah","44, 88"
"Sir Archibald Drew","62"
"Sir Basil Morley","7"
"Sir Henry Russell","58"
"Sir Walter Elliot","58, 2, 50, 5, 9, 3, 7, 79, 39, 74, 76, 56, 83, 77, 1, 52, 92, 54, 6, 8, 15, 84, 93, 12, 55, 11, 62, 80, 69, 68, 67, 61, 46, 81, 70, 51, 4, 60, 57"
"The Dowager Countess Dalrymple","54, 68, 67, 90, 81, 83, 69, 57, 70, 72, 65, 61"
"The Honourable Miss Carteret","65, 81, 71, 83, 69, 70, 54"
"The Late Viscount Dalrymple","83, 54"
"The Miss Hayters","26"
"Walter Musgrove","1, 29, 13, 76"
