"V1","V2"
"2","Anne Elliot"
"2","Elizabeth Elliot"
"2","Lady Elliot"
"2","Lady Russell"
"2","Mary Elliot"
"2","Mr William Elliot"
"2","Sir Walter Elliot"
"3","Anne Elliot"
"3","Elizabeth Elliot"
"3","Lady Elliot"
"3","Lady Russell"
"3","Sir Walter Elliot"
"4","Anne Elliot"
"4","Elizabeth Elliot"
"4","Lady Russell"
"4","Mr John Shepherd"
"4","Sir Walter Elliot"
"5","Anne Elliot"
"5","Elizabeth Elliot"
"5","Lady Russell"
"5","Mary Elliot"
"5","Mr John Shepherd"
"5","Sir Walter Elliot"
"6","Anne Elliot"
"6","Elizabeth Elliot"
"6","Mr John Shepherd"
"6","Mrs Penelope Clay"
"6","Sir Walter Elliot"
"7","Anne Elliot"
"7","Mr John Shepherd"
"7","Mrs Penelope Clay"
"7","Sir Walter Elliot"
"8","Admiral Croft"
"8","Anne Elliot"
"8","Elizabeth Elliot"
"8","Mr John Shepherd"
"8","Mrs Penelope Clay"
"8","Sir Walter Elliot"
"9","Anne Elliot"
"9","Captain Frederick Wentworth"
"9","Edward Wentworth"
"9","Lady Russell"
"9","Sir Walter Elliot"
"10","Admiral Croft"
"10","Anne Elliot"
"10","Captain Frederick Wentworth"
"10","Elizabeth Elliot"
"10","Lady Russell"
"10","Mary Elliot"
"10","Mrs Croft"
"11","Admiral Croft"
"11","Anne Elliot"
"11","Elizabeth Elliot"
"11","Lady Russell"
"11","Mary Elliot"
"11","Mr John Shepherd"
"11","Mrs Croft"
"11","Mrs Penelope Clay"
"11","Sir Walter Elliot"
"12","Admiral Croft"
"12","Anne Elliot"
"12","Elizabeth Elliot"
"12","Lady Russell"
"12","Mary Elliot"
"12","Mrs Croft"
"12","Mrs Penelope Clay"
"12","Sir Walter Elliot"
"13","Anne Elliot"
"13","Charles Musgrove"
"13","Elizabeth Elliot"
"13","Lady Russell"
"13","Mary Elliot"
"13","Walter Musgrove"
"14","Anne Elliot"
"14","Charles Musgrove"
"14","Elder Mr Charles Musgrove"
"14","Henrietta Musgrove"
"14","Louisa Musgrove"
"14","Mary Elliot"
"15","Anne Elliot"
"15","Charles Musgrove"
"15","Elder Mr Charles Musgrove"
"15","Elizabeth Elliot"
"15","Lady Russell"
"15","Mary Elliot"
"15","Sir Walter Elliot"
"16","Anne Elliot"
"16","Charles Musgrove"
"16","Elder Mr Charles Musgrove"
"16","Henrietta Musgrove"
"16","Louisa Musgrove"
"16","Mary Elliot"
"17","Admiral Croft"
"17","Anne Elliot"
"17","Captain Frederick Wentworth"
"17","Charles Musgrove"
"17","Edward Wentworth"
"17","Elder Mr Charles Musgrove"
"17","Henrietta Musgrove"
"17","Louisa Musgrove"
"17","Mary Elliot"
"17","Mrs Croft"
"18","Admiral Croft"
"18","Anne Elliot"
"18","Captain Frederick Wentworth"
"18","Elder Mr Charles Musgrove"
"18","Mrs Croft"
"19","Admiral Croft"
"19","Anne Elliot"
