"source" "target" "tag"
"1" 1 2 "Anne Elliot"
"2" 1 2 "Elizabeth Elliot"
"3" 1 2 "Lady Elliot"
"4" 1 2 "Lady Russell"
"5" 1 2 "Mary Elliot"
"6" 1 2 "Mr William Elliot"
"7" 1 2 "Sir Walter Elliot"
"8" 2 3 "Anne Elliot"
"9" 2 3 "Elizabeth Elliot"
"10" 2 3 "Lady Elliot"
"11" 2 3 "Lady Russell"
"12" 2 3 "Sir Walter Elliot"
"13" 3 4 "Anne Elliot"
"14" 3 4 "Elizabeth Elliot"
"15" 3 4 "Lady Russell"
"16" 3 4 "Mr John Shepherd"
"17" 3 4 "Sir Walter Elliot"
"18" 4 5 "Anne Elliot"
"19" 4 5 "Elizabeth Elliot"
"20" 4 5 "Lady Russell"
"21" 2 5 "Mary Elliot"
"22" 4 5 "Mr John Shepherd"
"23" 4 5 "Sir Walter Elliot"
"24" 5 6 "Anne Elliot"
"25" 5 6 "Elizabeth Elliot"
"26" 5 6 "Mr John Shepherd"
"27" 5 6 "Mrs Penelope Clay"
"28" 5 6 "Sir Walter Elliot"
"29" 6 7 "Anne Elliot"
"30" 6 7 "Mr John Shepherd"
"31" 6 7 "Mrs Penelope Clay"
"32" 6 7 "Sir Walter Elliot"
"33" 7 8 "Admiral Croft"
"34" 7 8 "Anne Elliot"
"35" 6 8 "Elizabeth Elliot"
"36" 7 8 "Mr John Shepherd"
"37" 7 8 "Mrs Penelope Clay"
"38" 7 8 "Sir Walter Elliot"
"39" 8 9 "Anne Elliot"
"40" 8 9 "Captain Frederick Wentworth"
"41" 8 9 "Edward Wentworth"
"42" 5 9 "Lady Russell"
"43" 8 9 "Sir Walter Elliot"
"44" 8 10 "Admiral Croft"
"45" 9 10 "Anne Elliot"
"46" 9 10 "Captain Frederick Wentworth"
"47" 8 10 "Elizabeth Elliot"
"48" 9 10 "Lady Russell"
"49" 5 10 "Mary Elliot"
"50" 8 10 "Mrs Croft"
"51" 10 11 "Admiral Croft"
"52" 10 11 "Anne Elliot"
"53" 10 11 "Elizabeth Elliot"
"54" 10 11 "Lady Russell"
"55" 10 11 "Mary Elliot"
"56" 8 11 "Mr John Shepherd"
"57" 10 11 "Mrs Croft"
"58" 8 11 "Mrs Penelope Clay"
"59" 9 11 "Sir Walter Elliot"
"60" 11 12 "Admiral Croft"
"61" 11 12 "Anne Elliot"
"62" 11 12 "Elizabeth Elliot"
"63" 11 12 "Lady Russell"
"64" 11 12 "Mary Elliot"
"65" 11 12 "Mrs Croft"
"66" 11 12 "Mrs Penelope Clay"
"67" 11 12 "Sir Walter Elliot"
"68" 12 13 "Anne Elliot"
"69" 1 13 "Charles Musgrove"
"70" 12 13 "Elizabeth Elliot"
"71" 12 13 "Lady Russell"
"72" 12 13 "Mary Elliot"
"73" 1 13 "Walter Musgrove"
"74" 13 14 "Anne Elliot"
"75" 13 14 "Charles Musgrove"
"76" 13 14 "Elder Mr Charles Musgrove"
"77" 13 14 "Henrietta Musgrove"
"78" 13 14 "Louisa Musgrove"
"79" 13 14 "Mary Elliot"
"80" 14 15 "Anne Elliot"
"81" 14 15 "Charles Musgrove"
"82" 14 15 "Elder Mr Charles Musgrove"
"83" 13 15 "Elizabeth Elliot"
"84" 13 15 "Lady Russell"
"85" 14 15 "Mary Elliot"
"86" 12 15 "Sir Walter Elliot"
"87" 15 16 "Anne Elliot"
"88" 15 16 "Charles Musgrove"
"89" 15 16 "Elder Mr Charles Musgrove"
"90" 14 16 "Henrietta Musgrove"
"91" 14 16 "Louisa Musgrove"
"92" 15 16 "Mary Elliot"
"93" 12 17 "Admiral Croft"
"94" 16 17 "Anne Elliot"
"95" 10 17 "Captain Frederick Wentworth"
"96" 16 17 "Charles Musgrove"
"97" 9 17 "Edward Wentworth"
"98" 16 17 "Elder Mr Charles Musgrove"
"99" 16 17 "Henrietta Musgrove"
