"node_id" "tags" "dpub"
"1" "1" "Anne Elliot, Charles Musgrove, Elizabeth Elliot, Lady Elliot, Lady Russell, Mary Elliot, Mr William Elliot, Sir Walter Elliot, Walter Musgrove" "1"
"2" "2" "Anne Elliot, Elizabeth Elliot, Lady Elliot, Lady Russell, Mary Elliot, Mr William Elliot, Sir Walter Elliot" "2"
"3" "3" "Anne Elliot, Elizabeth Elliot, Lady Elliot, Lady Russell, Mr John Shepherd, Sir Walter Elliot" "3"
"4" "4" "Anne Elliot, Elizabeth Elliot, Lady Russell, Mr John Shepherd, Sir Walter Elliot" "4"
"5" "5" "Anne Elliot, Elizabeth Elliot, Lady Russell, Mary Elliot, Mr John Shepherd, Mrs Penelope Clay, Sir Walter Elliot" "5"
"6" "6" "Anne Elliot, Elizabeth Elliot, Mr John Shepherd, Mrs Penelope Clay, Sir Walter Elliot" "6"
"7" "7" "Admiral Baldwin, Admiral Croft, Anne Elliot, Lord St Ives, Mr John Shepherd, Mrs Penelope Clay, Sir Basil Morley, Sir Walter Elliot" "7"
"8" "8" "Admiral Croft, Anne Elliot, Captain Frederick Wentworth, Edward Wentworth, Elizabeth Elliot, Governor Trent, Mr John Shepherd, Mrs Croft, Mrs Penelope Clay, Sir Walter Elliot" "8"
"9" "9" "Anne Elliot, Captain Frederick Wentworth, Edward Wentworth, Lady Russell, Sir Walter Elliot" "9"
"10" "10" "Admiral Croft, Anne Elliot, Captain Frederick Wentworth, Elizabeth Elliot, Lady Russell, Mary Elliot, Mrs Croft" "10"
"11" "11" "Admiral Croft, Anne Elliot, Elizabeth Elliot, Lady Russell, Mary Elliot, Mr John Shepherd, Mrs Croft, Mrs Penelope Clay, Sir Walter Elliot" "11"
"12" "12" "Admiral Croft, Anne Elliot, Elizabeth Elliot, Lady Russell, Mary Elliot, Mrs Croft, Mrs Penelope Clay, Sir Walter Elliot" "12"
"13" "13" "Anne Elliot, Charles Musgrove, Elder Mr Charles Musgrove, Elizabeth Elliot, Henrietta Musgrove, Lady Russell, Little Charles Musgrove, Louisa Musgrove, Mackenzie, Mary Elliot, Walter Musgrove" "13"
"14" "14" "Anne Elliot, Charles Musgrove, Elder Mr Charles Musgrove, Henrietta Musgrove, Louisa Musgrove, Mary Elliot" "14"
"15" "15" "Anne Elliot, Charles Musgrove, Elder Mr Charles Musgrove, Elizabeth Elliot, Lady Russell, Mary Elliot, Sir Walter Elliot" "15"
"16" "16" "Anne Elliot, Charles Musgrove, Elder Mr Charles Musgrove, Henrietta Musgrove, Jemima, Louisa Musgrove, Mary Elliot" "16"
"17" "17" "Admiral Croft, Anne Elliot, Captain Frederick Wentworth, Charles Musgrove, Edward Wentworth, Elder Mr Charles Musgrove, Henrietta Musgrove, Louisa Musgrove, Mary Elliot, Mrs Croft" "17"
"18" "18" "Admiral Croft, Anne Elliot, Captain Frederick Wentworth, Elder Mr Charles Musgrove, Mrs Croft" "18"
"19" "19" "Admiral Croft, Anne Elliot, Captain Frederick Wentworth, Charles Musgrove, Elder Mr Charles Musgrove, Mary Elliot, Mr Robinson, Mrs Croft" "19"
"20" "20" "Anne Elliot, Captain Frederick Wentworth, Charles Musgrove, Elder Mr Charles Musgrove, Jemima, Mary Elliot, Mr Robinson" "20"
"21" "21" "Anne Elliot, Captain Frederick Wentworth, Charles Musgrove, Henrietta Musgrove, Louisa Musgrove, Mary Elliot" "21"
"22" "22" "Anne Elliot, Captain Frederick Wentworth, Henrietta Musgrove, Louisa Musgrove" "22"
"23" "23" "Admiral Croft, Anne Elliot, Captain Frederick Wentworth, Elder Mr Charles Musgrove, Henrietta Musgrove, Louisa Musgrove, Mrs Croft" "23"
"24" "24" "Admiral Croft, Anne Elliot, Captain Frederick Wentworth, Captain Harville, Charles Musgrove, Henrietta Musgrove, Lady Mary Grierson, Louisa Musgrove" "24"
"25" "25" "Admiral Croft, Anne Elliot, Captain Frederick Wentworth, Captain Harville, Elder Mr Charles Musgrove, Mrs Croft" "25"
"26" "26" "Anne Elliot, Captain Frederick Wentworth, Henrietta Musgrove, Louisa Musgrove, The Miss Hayters" "26"
"27" "27" "Admiral Croft, Anne Elliot, Captain Frederick Wentworth, Charles Hayter, Charles Musgrove, Edward Wentworth, Elder Mr Charles Musgrove, Henrietta Musgrove, Louisa Musgrove, Mary Elliot, Mr Hayter, Mrs Croft, Mrs Hayter" "27"
"28" "28" "Anne Elliot, Captain Frederick Wentworth, Charles Hayter, Charles Musgrove, Doctor Shirley, Elder Mr Charles Musgrove, Henrietta Musgrove, Louisa Musgrove, Mary Elliot" "28"
"29" "29" "Anne Elliot, Captain Frederick Wentworth, Charles Hayter, Charles Musgrove, Doctor Shirley, Elder Mr Charles Musgrove, Henrietta Musgrove, Louisa Musgrove, Mary Elliot, Walter Musgrove" "29"
"30" "30" "Admiral Croft, Anne Elliot, Captain Frederick Wentworth, Charles Hayter, Elder Mr Charles Musgrove, Henrietta Musgrove, Louisa Musgrove, Mary Elliot" "30"
"31" "31" "Admiral Croft, Anne Elliot, Captain Frederick Wentworth, Charles Musgrove, Henrietta Musgrove, Louisa Musgrove, Mary Elliot" "31"
"32" "32" "Anne Elliot, Captain Frederick Wentworth, Charles Hayter, Charles Musgrove, Henrietta Musgrove, Lady Russell, Louisa Musgrove, Mary Elliot" "32"
"33" "33" "Admiral Croft, Anne Elliot, Captain Frederick Wentworth, Henrietta Musgrove, Louisa Musgrove, Mary Elliot, Mrs Croft" "33"
"34" "34" "Anne Elliot, Captain Frederick Wentworth, Captain Harville, Charles Musgrove, Elder Mr Charles Musgrove, Henrietta Musgrove, Lady Russell, Louisa Musgrove, Mary Elliot" "34"
"35" "35" "Anne Elliot, Captain Benwick, Captain Frederick Wentworth, Captain Harville, Fanny Harville, Louisa Musgrove" "35"
"36" "36" "Anne Elliot, Captain Benwick, Captain Frederick Wentworth, Captain Harville, Louisa Musgrove" "36"
"37" "38" "Anne Elliot, Captain Frederick Wentworth, Doctor Shirley, Henrietta Musgrove, Lady Russell, Louisa Musgrove, Mrs Shirley" "38"
"38" "39" "Anne Elliot, Captain Benwick, Captain Frederick Wentworth, Charles Musgrove, Elizabeth Elliot, Henrietta Musgrove, Louisa Musgrove, Mary Elliot, Mr William Elliot, Sir Walter Elliot" "39"
"39" "40" "Anne Elliot, Captain Benwick, Captain Frederick Wentworth, Captain Harville, Charles Musgrove, Henrietta Musgrove, Louisa Musgrove, Mary Elliot" "40"
"40" "41" "Anne Elliot, Captain Benwick, Captain Frederick Wentworth, Captain Harville, Charles Musgrove, Henrietta Musgrove, Louisa Musgrove, Mary Elliot" "41"
"41" "42" "Anne Elliot, Captain Benwick, Captain Frederick Wentworth, Captain Harville, Charles Musgrove, Doctor Shirley, Elder Mr Charles Musgrove, Henrietta Musgrove, Louisa Musgrove, Mary Elliot, Mr William Elliot" "42"
"42" "43" "Anne Elliot, Captain Frederick Wentworth, Elder Mr Charles Musgrove, Henrietta Musgrove" "43"
"43" "44" "Anne Elliot, Captain Benwick, Captain Frederick Wentworth, Captain Harville, Charles Hayter, Charles Musgrove, Elder Mr Charles Musgrove, Harry Musgrove, Henrietta Musgrove, Lady Russell, Louisa Musgrove, Mary Elliot, Sarah" "44"
"44" "45" "Admiral Croft, Anne Elliot, Captain Benwick, Captain Frederick Wentworth, Captain Harville, Charles Musgrove, Elder Mr Charles Musgrove, Henrietta Musgrove, Lady Russell, Louisa Musgrove, Mary Elliot, Mrs Croft, Mrs Penelope Clay" "45"
"45" "46" "Admiral Croft, Anne Elliot, Captain Frederick Wentworth, Lady Russell, Louisa Musgrove, Mr John Shepherd, Mrs Croft, Sir Walter Elliot" "46"
"46" "47" "Anne Elliot, Captain Benwick, Captain Harville, Charles Hayter, Charles Musgrove, Fanny Harville, Henrietta Musgrove, Lady Russell, Louisa Musgrove, Mary Elliot" "47"
"47" "48" "Anne Elliot, Captain Benwick, Captain Frederick Wentworth, Captain Harville, Charles Hayter, Charles Musgrove, Elder Mr Charles Musgrove, Henrietta Musgrove, Lady Russell, Louisa Musgrove, Mary Elliot, Mr William Elliot" "48"
"48" "49" "Anne Elliot, Captain Frederick Wentworth, Captain Harville, Elizabeth Elliot, Lady Russell, Louisa Musgrove, Mary Elliot, Mr William Elliot" "49"
"49" "50" "Anne Elliot, Colonel Wallis, Elizabeth Elliot, Mr William Elliot, Mrs Penelope Clay, Mrs William Elliot, Sir Walter Elliot" "50"
"50" "51" "Anne Elliot, Colonel Wallis, Elizabeth Elliot, Mary Elliot, Mr William Elliot, Mrs Penelope Clay, Sir Walter Elliot" "51"
"51" "52" "Anne Elliot, Elizabeth Elliot, Lady Russell, Mr William Elliot, Mrs Penelope Clay, Sir Walter Elliot" "52"
"52" "53" "Anne Elliot, Colonel Wallis, Elizabeth Elliot, Lady Russell, Mr William Elliot, Mrs Penelope Clay" "53"
"53" "54" "Anne Elliot, Elizabeth Elliot, Lady Elliot, Lady Russell, Mary Elliot, Mr William Elliot, Sir Walter Elliot, The Dowager Countess Dalrymple, The Honourable Miss Carteret, The Late Viscount Dalrymple" "54"
"54" "55" "Anne Elliot, Mrs Penelope Clay, Sir Walter Elliot" "55"
"55" "56" "Anne Elliot, Elizabeth Elliot, Lady Russell, Mrs Smith, Sir Walter Elliot" "56"
"56" "57" "Anne Elliot, Elizabeth Elliot, Mrs Penelope Clay, Mrs Smith, Nurse Rooke, Sir Walter Elliot, The Dowager Countess Dalrymple" "57"
"57" "58" "Anne Elliot, Colonel Wallis, Elizabeth Elliot, Lady Elliot, Lady Russell, Mr William Elliot, Mrs Penelope Clay, Mrs Smith, Sir Henry Russell, Sir Walter Elliot" "58"
"58" "59" "Anne Elliot, Lady Elliot, Lady Russell, Mr William Elliot, Mrs Penelope Clay" "59"
"59" "60" "Admiral Croft, Anne Elliot, Captain Benwick, Captain Harville, Charles Hayter, Charles Musgrove, Henrietta Musgrove, Jemima, Louisa Musgrove, Mary Elliot, Mr Hayter, Mr William Elliot, Mrs Croft, Mrs Hayter, Mrs Penelope Clay, Sir Walter Elliot" "60"
"60" "61" "Admiral Croft, Anne Elliot, Captain Benwick, Captain Frederick Wentworth, Captain Harville, Charles Hayter, Charles Musgrove, Elder Mr Charles Musgrove, Elizabeth Elliot, Henrietta Musgrove, Louisa Musgrove, Mary Elliot, Mrs Croft, Mrs Penelope Clay, Sir Walter Elliot, The Dowager Countess Dalrymple" "61"
"61" "62" "Admiral Brand, Admiral Croft, Anne Elliot, Captain Benwick, Captain Brigden, Captain Frederick Wentworth, Elizabeth Elliot, Lady Russell, Louisa Musgrove, Mrs Croft, Sir Archibald Drew, Sir Walter Elliot" "62"
"62" "63" "Admiral Croft, Anne Elliot, Captain Benwick, Captain Frederick Wentworth, Captain Harville, Edward Wentworth, Louisa Musgrove, Mrs Croft" "63"
"63" "64" "Admiral Croft, Anne Elliot, Henrietta Musgrove, Mrs Croft" "64"
"64" "65" "Admiral Croft, Anne Elliot, Captain Frederick Wentworth, Charles Musgrove, Elder Mr Charles Musgrove, Elizabeth Elliot, Henrietta Musgrove, Louisa Musgrove, Mary Elliot, Mr William Elliot, Mrs Croft, Mrs Penelope Clay, The Dowager Countess Dalrymple, The Honourable Miss Carteret" "65"
"65" "66" "Anne Elliot, Captain Benwick, Captain Frederick Wentworth, Lady Alicia, Lady Russell, Louisa Musgrove, Miss Atkinson, Mr William Elliot, Mrs Frankland, Mrs Penelope Clay" "66"
"66" "67" "Anne Elliot, Captain Frederick Wentworth, Elizabeth Elliot, Lady Russell, Mrs Smith, Sir Walter Elliot, The Dowager Countess Dalrymple" "67"
"67" "68" "Anne Elliot, Captain Benwick, Captain Frederick Wentworth, Captain Harville, Elder Mr Charles Musgrove, Elizabeth Elliot, Fanny Harville, Louisa Musgrove, Mrs Penelope Clay, Sir Walter Elliot, The Dowager Countess Dalrymple" "68"
"68" "69" "Anne Elliot, Captain Benwick, Captain Frederick Wentworth, Colonel Wallis, Elizabeth Elliot, Lady Russell, Louisa Musgrove, Mr William Elliot, Sir Walter Elliot, The Dowager Countess Dalrymple, The Honourable Miss Carteret" "69"
"69" "70" "Anne Elliot, Captain Frederick Wentworth, Colonel Wallis, Edward Wentworth, Elizabeth Elliot, Lady Russell, Mr William Elliot, Sir Walter Elliot, The Dowager Countess Dalrymple, The Honourable Miss Carteret" "70"
"70" "71" "Anne Elliot, Captain Frederick Wentworth, Lady Russell, Mr William Elliot, The Honourable Miss Carteret" "71"
"71" "72" "Anne Elliot, Captain Frederick Wentworth, Mr William Elliot, Mrs Smith, The Dowager Countess Dalrymple" "72"
"72" "73" "Anne Elliot, Colonel Wallis, Mr William Elliot, Mrs Smith, Mrs Speed, Nurse Rooke" "73"
"73" "74" "Anne Elliot, Charles Musgrove, Mr William Elliot, Mrs Smith, Sir Walter Elliot" "74"
"74" "75" "Anne Elliot, Charles Smith, Mary, Mr William Elliot, Mrs Smith" "75"
"75" "76" "Anne Elliot, Colonel Wallis, Elizabeth Elliot, Mr William Elliot, Mrs Smith, Nurse Rooke, Sir Walter Elliot, Walter Musgrove" "76"
"76" "77" "Anne Elliot, Colonel Wallis, Elizabeth Elliot, Lady Elliot, Mr William Elliot, Mrs Penelope Clay, Mrs Smith, Sir Walter Elliot" "77"
"77" "78" "Anne Elliot, Charles Smith, Lady Russell, Mr William Elliot, Mrs Smith" "78"
"78" "79" "Anne Elliot, Captain Frederick Wentworth, Elizabeth Elliot, Lady Russell, Mr William Elliot, Mrs Penelope Clay, Mrs Smith, Sir Walter Elliot" "79"
"79" "80" "Anne Elliot, Captain Benwick, Captain Harville, Charles Hayter, Charles Musgrove, Elder Mr Charles Musgrove, Elizabeth Elliot, Henrietta Musgrove, Lady Russell, Louisa Musgrove, Mary Elliot, Mr William Elliot, Mrs Penelope Clay, Sir Walter Elliot" "80"
"80" "81" "Anne Elliot, Captain Benwick, Charles Hayter, Charles Musgrove, Elder Mr Charles Musgrove, Elizabeth Elliot, Henrietta Musgrove, Lady Alicia, Louisa Musgrove, Mary Elliot, Mr William Elliot, Sir Walter Elliot, The Dowager Countess Dalrymple, The Honourable Miss Carteret" "81"
"81" "82" "Anne Elliot, Captain Frederick Wentworth, Captain Harville, Charles Musgrove, Henrietta Musgrove, Lady Russell, Louisa Musgrove, Mary Elliot, Mr William Elliot, Mrs Penelope Clay" "82"
"82" "83" "Anne Elliot, Captain Frederick Wentworth, Charles Musgrove, Elizabeth Elliot, Henrietta Musgrove, Mary Elliot, Mr William Elliot, Sir Walter Elliot, The Dowager Countess Dalrymple, The Honourable Miss Carteret, The Late Viscount Dalrymple" "83"
"83" "84" "Anne Elliot, Captain Frederick Wentworth, Charles Musgrove, Elder Mr Charles Musgrove, Elizabeth Elliot, Henrietta Musgrove, Louisa Musgrove, Mary Elliot, Mr William Elliot, Mrs Penelope Clay, Sir Walter Elliot" "84"
"84" "85" "Anne Elliot, Captain Frederick Wentworth, Captain Harville, Charles Hayter, Charles Musgrove, Elder Mr Charles Musgrove, Henrietta Musgrove, Louisa Musgrove, Mary Elliot, Mr William Elliot, Mrs Croft, Mrs Smith" "85"
"85" "86" "Anne Elliot, Captain Benwick, Captain Frederick Wentworth, Captain Harville" "86"
"86" "87" "Anne Elliot, Captain Benwick, Captain Frederick Wentworth, Captain Harville, Mrs Croft" "87"
"87" "88" "Anne Elliot, Captain Frederick Wentworth, Captain Harville, Charles Musgrove, Henrietta Musgrove, Mary Elliot, Sarah" "88"
"88" "89" "Captain Harville, Charles Musgrove, Louisa Musgrove, Mr William Elliot" "89"
"89" "90" "Anne Elliot, Captain Benwick, Edward Wentworth, Elder Mr Charles Musgrove, Louisa Musgrove, Mr William Elliot, Mrs Penelope Clay, The Dowager Countess Dalrymple" "90"
"90" "91" "Admiral Croft, Captain Frederick Wentworth, Captain Harville, Charles Musgrove, Henrietta Musgrove, Lady Russell, Louisa Musgrove, Mary Elliot, Mrs Croft" "91"
"91" "92" "Anne Elliot, Captain Benwick, Captain Frederick Wentworth, Charles Hayter, Elizabeth Elliot, Lady Russell, Mary Elliot, Mr William Elliot, Mrs Penelope Clay, Sir Walter Elliot" "92"
"92" "93" "Anne Elliot, Captain Frederick Wentworth, Elizabeth Elliot, Lady Russell, Mr William Elliot, Mrs Smith, Sir Walter Elliot" "93"
