"node_id" "tags" "dpub"
"1" "1" "Augustus Snodgrass, Joe Smiggers, Nathaniel Winkle, Samuel Pickwick, Tracy Tupman" "1"
"2" "2" "Augustus Snodgrass, Samuel Pickwick, Tracy Tupman" "2"
"3" "3" "Augustus Snodgrass, Nathaniel Winkle, Sam, Samuel Pickwick, Tommy, Tracy Tupman" "3"
"4" "4" "Augustus Snodgrass, Samuel Pickwick" "4"
"5" "5" "Alfred Jingle, Augustus Snodgrass, Nathaniel Winkle, Samuel Pickwick, Tracy Tupman" "5"
"6" "6" "Augustus Snodgrass, Nathaniel Winkle, Samuel Pickwick, Tracy Tupman" "6"
"7" "7" "Hon Snipe, Lady Clubber, Miss Bulder, Misses Clubber, Misses Smithie, Mr Smithies, Mrs Bulder, Mrs Smithe, Nathaniel Winkle, Samuel Pickwick, Thomas Clubber, Tracy Tupman" "7"
"8" "8" "Colonel Bulder, Doctor Slammer, Mrs Budger, Mrs Tomlinson, Thomas Clubber, Tracy Tupman" "8"
"9" "9" "Augustus Snodgrass, Doctor Slammer, Nathaniel Winkle, Samuel Pickwick, Tracy Tupman" "9"
"10" "10" "Augustus Snodgrass, Doctor Slammer, Nathaniel Winkle, Samuel Pickwick, Tracy Tupman" "10"
"11" "11" "Augustus Snodgrass, Doctor Payne, Doctor Slammer, Nathaniel Winkle, Samuel Pickwick" "11"
"12" "12" "Augustus Snodgrass, Doctor Slammer, Lieutenant Tappleton, Nathaniel Winkle, Samuel Pickwick, Tracy Tupman" "12"
"13" "13" "Augustus Snodgrass, Jem Hutley, Nathaniel Winkle, Samuel Pickwick, Tracy Tupman" "13"
"14" "14" "Jem Hutley" "14"
"15" "15" "Jem Hutley" "15"
"16" "16" "Augustus Snodgrass, Doctor Payne, Doctor Slammer, Lieutenant Tappleton, Nathaniel Winkle, Samuel Pickwick, Tracy Tupman" "16"
"17" "17" "Augustus Snodgrass, Doctor Payne, Doctor Slammer, Lieutenant Tappleton, Nathaniel Winkle, Samuel Pickwick" "17"
"18" "18" "Augustus Snodgrass, Colonel Bulder, Nathaniel Winkle, Samuel Pickwick, Tracy Tupman" "18"
"19" "19" "Augustus Snodgrass, Nathaniel Winkle, Samuel Pickwick" "19"
"20" "20" "Augustus Snodgrass, Joe, Mr Trundle, Mr Wardle, Nathaniel Winkle, Rachael Wardle, Samuel Pickwick, Tracy Tupman" "20"
"21" "21" "Emily Wardle, Isabella Wardle, Joe, Mr Trundle, Mr Wardle, Nathaniel Winkle, Rachael Wardle, Samuel Pickwick, Tracy Tupman" "21"
"22" "22" "Emily Wardle, Isabella Wardle, Joe, Mr Wardle, Samuel Pickwick" "22"
"23" "23" "Augustus Snodgrass, Mr Wardle, Nathaniel Winkle, Samuel Pickwick, Tracy Tupman" "23"
"24" "24" "Augustus Snodgrass, Nathaniel Winkle, Samuel Pickwick, Tracy Tupman" "24"
"25" "25" "Augustus Snodgrass, Nathaniel Winkle, Samuel Pickwick, Tracy Tupman" "25"
"26" "26" "Augustus Snodgrass, Emma, Jane1, Joe, Mary, Mr Wardle, Nathaniel Winkle, Samuel Pickwick, Tracy Tupman" "26"
"27" "27" "Augustus Snodgrass, Clergyman, Isabella Wardle, Mr Miller, Mr Wardle, Mrs Wardle, Samuel Pickwick, Tracy Tupman" "27"
"28" "28" "Augustus Snodgrass, Clergyman, Emily Wardle, Isabella Wardle, Mr Miller, Mr Trundle, Mr Wardle, Mrs Wardle, Nathaniel Winkle, Samuel Pickwick, Tracy Tupman" "28"
