"V1","V2"
"Augustus Snodgrass","Joe Smiggers"
"Augustus Snodgrass","Nathaniel Winkle"
"Augustus Snodgrass","Samuel Pickwick"
"Augustus Snodgrass","Tracy Tupman"
"Joe Smiggers","Nathaniel Winkle"
"Joe Smiggers","Samuel Pickwick"
"Joe Smiggers","Tracy Tupman"
"Nathaniel Winkle","Samuel Pickwick"
"Nathaniel Winkle","Tracy Tupman"
"Samuel Pickwick","Tracy Tupman"
"Augustus Snodgrass","Sam"
"Augustus Snodgrass","Tommy"
"Nathaniel Winkle","Sam"
"Nathaniel Winkle","Tommy"
"Sam","Samuel Pickwick"
"Sam","Tommy"
"Sam","Tracy Tupman"
"Samuel Pickwick","Tommy"
"Tommy","Tracy Tupman"
"Alfred Jingle","Augustus Snodgrass"
"Alfred Jingle","Nathaniel Winkle"
"Alfred Jingle","Samuel Pickwick"
"Alfred Jingle","Tracy Tupman"
"Hon Snipe","Lady Clubber"
"Hon Snipe","Miss Bulder"
"Hon Snipe","Misses Clubber"
"Hon Snipe","Misses Smithie"
"Hon Snipe","Mr Smithies"
"Hon Snipe","Mrs Bulder"
"Hon Snipe","Mrs Smithe"
"Hon Snipe","Nathaniel Winkle"
"Hon Snipe","Samuel Pickwick"
"Hon Snipe","Thomas Clubber"
"Hon Snipe","Tracy Tupman"
"Lady Clubber","Miss Bulder"
"Lady Clubber","Misses Clubber"
"Lady Clubber","Misses Smithie"
"Lady Clubber","Mr Smithies"
"Lady Clubber","Mrs Bulder"
"Lady Clubber","Mrs Smithe"
"Lady Clubber","Nathaniel Winkle"
"Lady Clubber","Samuel Pickwick"
"Lady Clubber","Thomas Clubber"
"Lady Clubber","Tracy Tupman"
"Miss Bulder","Misses Clubber"
"Miss Bulder","Misses Smithie"
"Miss Bulder","Mr Smithies"
"Miss Bulder","Mrs Bulder"
"Miss Bulder","Mrs Smithe"
"Miss Bulder","Nathaniel Winkle"
"Miss Bulder","Samuel Pickwick"
"Miss Bulder","Thomas Clubber"
"Miss Bulder","Tracy Tupman"
"Misses Clubber","Misses Smithie"
"Misses Clubber","Mr Smithies"
"Misses Clubber","Mrs Bulder"
"Misses Clubber","Mrs Smithe"
"Misses Clubber","Nathaniel Winkle"
"Misses Clubber","Samuel Pickwick"
"Misses Clubber","Thomas Clubber"
"Misses Clubber","Tracy Tupman"
"Misses Smithie","Mr Smithies"
"Misses Smithie","Mrs Bulder"
"Misses Smithie","Mrs Smithe"
"Misses Smithie","Nathaniel Winkle"
"Misses Smithie","Samuel Pickwick"
"Misses Smithie","Thomas Clubber"
"Misses Smithie","Tracy Tupman"
"Mr Smithies","Mrs Bulder"
"Mr Smithies","Mrs Smithe"
"Mr Smithies","Nathaniel Winkle"
"Mr Smithies","Samuel Pickwick"
"Mr Smithies","Thomas Clubber"
"Mr Smithies","Tracy Tupman"
"Mrs Bulder","Mrs Smithe"
"Mrs Bulder","Nathaniel Winkle"
"Mrs Bulder","Samuel Pickwick"
"Mrs Bulder","Thomas Clubber"
"Mrs Bulder","Tracy Tupman"
"Mrs Smithe","Nathaniel Winkle"
"Mrs Smithe","Samuel Pickwick"
"Mrs Smithe","Thomas Clubber"
"Mrs Smithe","Tracy Tupman"
"Nathaniel Winkle","Thomas Clubber"
"Samuel Pickwick","Thomas Clubber"
"Thomas Clubber","Tracy Tupman"
"Colonel Bulder","Doctor Slammer"
"Colonel Bulder","Mrs Budger"
"Colonel Bulder","Mrs Tomlinson"
"Colonel Bulder","Thomas Clubber"
"Colonel Bulder","Tracy Tupman"
"Doctor Slammer","Mrs Budger"
"Doctor Slammer","Mrs Tomlinson"
"Doctor Slammer","Thomas Clubber"
"Doctor Slammer","Tracy Tupman"
"Mrs Budger","Mrs Tomlinson"
"Mrs Budger","Thomas Clubber"
"Mrs Budger","Tracy Tupman"
"Mrs Tomlinson","Thomas Clubber"
"Mrs Tomlinson","Tracy Tupman"
"Augustus Snodgrass","Doctor Slammer"
"Doctor Slammer","Nathaniel Winkle"
"Doctor Slammer","Samuel Pickwick"
"Augustus Snodgrass","Doctor Payne"
"Doctor Payne","Doctor Slammer"
"Doctor Payne","Nathaniel Winkle"
"Doctor Payne","Samuel Pickwick"
"Augustus Snodgrass","Lieutenant Tappleton"
"Doctor Slammer","Lieutenant Tappleton"
"Lieutenant Tappleton","Nathaniel Winkle"
"Lieutenant Tappleton","Samuel Pickwick"
"Lieutenant Tappleton","Tracy Tupman"
"Augustus Snodgrass","Jem Hutley"
"Jem Hutley","Nathaniel Winkle"
"Jem Hutley","Samuel Pickwick"
"Jem Hutley","Tracy Tupman"
"Doctor Payne","Lieutenant Tappleton"
"Doctor Payne","Tracy Tupman"
"Augustus Snodgrass","Colonel Bulder"
"Colonel Bulder","Nathaniel Winkle"
"Colonel Bulder","Samuel Pickwick"
"Augustus Snodgrass","Joe"
"Augustus Snodgrass","Mr Trundle"
"Augustus Snodgrass","Mr Wardle"
"Augustus Snodgrass","Rachael Wardle"
"Joe","Mr Trundle"
"Joe","Mr Wardle"
"Joe","Nathaniel Winkle"
"Joe","Rachael Wardle"
"Joe","Samuel Pickwick"
"Joe","Tracy Tupman"
"Mr Trundle","Mr Wardle"
"Mr Trundle","Nathaniel Winkle"
"Mr Trundle","Rachael Wardle"
"Mr Trundle","Samuel Pickwick"
"Mr Trundle","Tracy Tupman"
"Mr Wardle","Nathaniel Winkle"
"Mr Wardle","Rachael Wardle"
"Mr Wardle","Samuel Pickwick"
"Mr Wardle","Tracy Tupman"
"Nathaniel Winkle","Rachael Wardle"
"Rachael Wardle","Samuel Pickwick"
"Rachael Wardle","Tracy Tupman"
"Emily Wardle","Isabella Wardle"
"Emily Wardle","Joe"
"Emily Wardle","Mr Trundle"
"Emily Wardle","Mr Wardle"
"Emily Wardle","Nathaniel Winkle"
"Emily Wardle","Rachael Wardle"
"Emily Wardle","Samuel Pickwick"
"Emily Wardle","Tracy Tupman"
"Isabella Wardle","Joe"
"Isabella Wardle","Mr Trundle"
"Isabella Wardle","Mr Wardle"
"Isabella Wardle","Nathaniel Winkle"
"Isabella Wardle","Rachael Wardle"
"Isabella Wardle","Samuel Pickwick"
"Isabella Wardle","Tracy Tupman"
"Augustus Snodgrass","Emma"
"Augustus Snodgrass","Jane1"
"Augustus Snodgrass","Mary"
"Emma","Jane1"
"Emma","Joe"
"Emma","Mary"
"Emma","Mr Wardle"
"Emma","Nathaniel Winkle"
"Emma","Samuel Pickwick"
"Emma","Tracy Tupman"
"Jane1","Joe"
"Jane1","Mary"
"Jane1","Mr Wardle"
"Jane1","Nathaniel Winkle"
"Jane1","Samuel Pickwick"
"Jane1","Tracy Tupman"
"Joe","Mary"
"Mary","Mr Wardle"
"Mary","Nathaniel Winkle"
"Mary","Samuel Pickwick"
"Mary","Tracy Tupman"
"Augustus Snodgrass","Clergyman"
"Augustus Snodgrass","Isabella Wardle"
"Augustus Snodgrass","Mr Miller"
"Augustus Snodgrass","Mrs Wardle"
"Clergyman","Isabella Wardle"
"Clergyman","Mr Miller"
"Clergyman","Mr Wardle"
"Clergyman","Mrs Wardle"
"Clergyman","Samuel Pickwick"
"Clergyman","Tracy Tupman"
"Isabella Wardle","Mr Miller"
"Isabella Wardle","Mrs Wardle"
"Mr Miller","Mr Wardle"
"Mr Miller","Mrs Wardle"
"Mr Miller","Samuel Pickwick"
"Mr Miller","Tracy Tupman"
"Mr Wardle","Mrs Wardle"
"Mrs Wardle","Samuel Pickwick"
"Mrs Wardle","Tracy Tupman"
"Augustus Snodgrass","Emily Wardle"
"Clergyman","Emily Wardle"
"Clergyman","Mr Trundle"
"Clergyman","Nathaniel Winkle"
"Emily Wardle","Mr Miller"
"Emily Wardle","Mrs Wardle"
"Mr Miller","Mr Trundle"
"Mr Miller","Nathaniel Winkle"
"Mr Trundle","Mrs Wardle"
"Mrs Wardle","Nathaniel Winkle"
"Augustus Snodgrass","John Edmunds"
"Clergyman","John Edmunds"
"John Edmunds","Mr Miller"
"John Edmunds","Mr Wardle"
"John Edmunds","Mrs Wardle"
"John Edmunds","Samuel Pickwick"
"John Edmunds","Tracy Tupman"
"Clergyman","Joe"
"Mr Dumkins","Mr Luffey"
"Mr Dumkins","Mr Podder"
"Mr Dumkins","Mr Struggles"
"Mr Dumkins","Mr Wardle"
"Mr Dumkins","Quanko Samba"
"Mr Dumkins","Samuel Pickwick"
"Mr Luffey","Mr Podder"
"Mr Luffey","Mr Struggles"
"Mr Luffey","Mr Wardle"
"Mr Luffey","Quanko Samba"
"Mr Luffey","Samuel Pickwick"
"Mr Podder","Mr Struggles"
"Mr Podder","Mr Wardle"
"Mr Podder","Quanko Samba"
"Mr Podder","Samuel Pickwick"
"Mr Struggles","Mr Wardle"
