"Character","Node","Type","Appearances"
"AnnedeBourgh",31,"First Appearance",8
"AnnedeBourgh",128,"Last Appearance",8
"CaptainCarter",11,"First Appearance",3
"CaptainCarter",16,"Last Appearance",3
"CarolineBingley",151,"Last Appearance",41
"CarolineBingley",3,"First Appearance",41
"Chamberlayne",86,"Last Appearance",1
"Chamberlayne",86,"First Appearance",1
"CharlotteLucas",150,"Last Appearance",49
"CharlotteLucas",4,"First Appearance",49
"ColonelFitzwilliam",65,"First Appearance",13
"ColonelFitzwilliam",110,"Last Appearance",13
"ColonelForster",121,"Last Appearance",15
"ColonelForster",9,"First Appearance",15
"ColonelMillar",90,"Last Appearance",1
"ColonelMillar",90,"First Appearance",1
"Dawson",82,"Last Appearance",1
"Dawson",82,"First Appearance",1
"ElizabethBennet",1,"First Appearance",138
"ElizabethBennet",152,"Last Appearance",138
"Haggerston",121,"Last Appearance",2
"Haggerston",117,"First Appearance",2
"JaneBennet",151,"Last Appearance",101
"JaneBennet",1,"First Appearance",101
"John",107,"Last Appearance",2
"John",82,"First Appearance",2
"KittyBennet",2,"First Appearance",35
"KittyBennet",151,"Last Appearance",35
"LadyCatherinedeBourgh",23,"First Appearance",42
"LadyCatherinedeBourgh",152,"Last Appearance",42
"LadyMariaLucas",143,"Last Appearance",18
"LadyMariaLucas",1,"First Appearance",18
"LydiaBennet",151,"Last Appearance",62
"LydiaBennet",1,"First Appearance",62
"MaryBennet",151,"Last Appearance",24
"MaryBennet",2,"First Appearance",24
"MaryKing",86,"First Appearance",1
"MaryKing",86,"Last Appearance",1
"MasterLucas",7,"Last Appearance",1
"MasterLucas",7,"First Appearance",1
"Miss Lucas",143,"Last Appearance",13
"Miss Lucas",4,"First Appearance",13
"MissAWebb",63,"Last Appearance",1
"MissAWebb",63,"First Appearance",1
"MissBWebb",63,"First Appearance",1
"MissBWebb",63,"Last Appearance",1
"MissGeorgianaDarcy",151,"Last Appearance",26
"MissGeorgianaDarcy",14,"First Appearance",26
"MissPope",63,"Last Appearance",1
"MissPope",63,"First Appearance",1
"MrBennet",117,"Last Appearance",2
"MrBennet",116,"First Appearance",2
"MrCharlesBingley",1,"First Appearance",67
"MrCharlesBingley",151,"Last Appearance",67
"MrCollins",23,"First Appearance",51
"MrCollins",150,"Last Appearance",51
"MrDarcy",152,"Last Appearance",97
"MrDarcy",3,"First Appearance",97
"MrDenny",111,"Last Appearance",8
"MrDenny",25,"First Appearance",8
"MrGardiner",152,"Last Appearance",30
"MrGardiner",53,"First Appearance",30
"MrHurst",3,"First Appearance",9
"MrHurst",45,"Last Appearance",9
"MrJones",28,"Last Appearance",3
"MrJones",14,"First Appearance",3
"MrMorris",1,"Last Appearance",1
"MrMorris",1,"First Appearance",1
"MrRobinson",7,"Last Appearance",1
"MrRobinson",7,"First Appearance",1
"MrsAnnesley",103,"First Appearance",2
"MrsAnnesley",133,"Last Appearance",2
"MrsBennet",151,"Last Appearance",67
"MrsBennet",2,"First Appearance",67
"MrsGardiner",152,"Last Appearance",31
"MrsGardiner",53,"First Appearance",31
"MrsHarrietForster",121,"Last Appearance",7
"MrsHarrietForster",86,"First Appearance",7
"MrsHill",23,"First Appearance",5
"MrsHill",123,"Last Appearance",5
"MrsLong",1,"First Appearance",6
"MrsLong",134,"Last Appearance",6
"MrsLouisaHurst",104,"Last Appearance",20
"MrsLouisaHurst",3,"First Appearance",20
"MrsNicholls",130,"Last Appearance",2
"MrsNicholls",20,"First Appearance",2
"MrsReynolds",128,"Last Appearance",6
"MrsReynolds",95,"First Appearance",6
"MrsYounge",78,"First Appearance",2
"MrsYounge",126,"Last Appearance",2
"MrWickham",151,"Last Appearance",64
"MrWickham",27,"First Appearance",64
"Pratt",112,"Last Appearance",2
"Pratt",86,"First Appearance",2
"Richard",25,"Last Appearance",1
"Richard",25,"First Appearance",1
"Sally",112,"First Appearance",1
"Sally",112,"Last Appearance",1
"Sarah",135,"Last Appearance",1
"Sarah",135,"First Appearance",1
"SirLewisdeBourgh",63,"Last Appearance",2
"SirLewisdeBourgh",23,"First Appearance",2
"SirWilliamLucas",150,"Last Appearance",25
"SirWilliamLucas",1,"First Appearance",25
"TheHarringtons",86,"First Appearance",1
"TheHarringtons",86,"Last Appearance",1
"WilliamGoulding",120,"First Appearance",3
"WilliamGoulding",131,"Last Appearance",3
