"source" "target" "tag"
1 2 "ElizabethBennet"
1 2 "LydiaBennet"
1 2 "MrCharlesBingley"
1 2 "MrsLong"
2 3 "ElizabethBennet"
1 3 "JaneBennet"
1 3 "LadyMariaLucas"
2 3 "MrCharlesBingley"
2 3 "MrsBennet"
1 3 "SirWilliamLucas"
3 4 "CarolineBingley"
3 4 "ElizabethBennet"
3 4 "JaneBennet"
2 4 "KittyBennet"
2 4 "LydiaBennet"
2 4 "MaryBennet"
3 4 "MrCharlesBingley"
3 4 "MrDarcy"
3 4 "MrsBennet"
3 4 "MrsLouisaHurst"
4 5 "CarolineBingley"
4 5 "ElizabethBennet"
4 5 "JaneBennet"
4 5 "MrCharlesBingley"
4 5 "MrDarcy"
4 5 "MrsLouisaHurst"
5 6 "JaneBennet"
5 6 "MrsLouisaHurst"
5 7 "CarolineBingley"
4 7 "CharlotteLucas"
5 7 "ElizabethBennet"
6 7 "JaneBennet"
4 7 "KittyBennet"
3 7 "LadyMariaLucas"
4 7 "LydiaBennet"
4 7 "MaryBennet"
5 7 "MrCharlesBingley"
5 7 "MrDarcy"
4 7 "MrsBennet"
2 7 "MrsLong"
3 7 "SirWilliamLucas"
7 8 "CarolineBingley"
7 8 "CharlotteLucas"
7 8 "ElizabethBennet"
7 8 "JaneBennet"
7 8 "MrCharlesBingley"
7 8 "MrDarcy"
6 8 "MrsLouisaHurst"
8 9 "CharlotteLucas"
8 9 "ElizabethBennet"
7 9 "LadyMariaLucas"
7 9 "MaryBennet"
8 9 "MrCharlesBingley"
8 9 "MrDarcy"
7 9 "SirWilliamLucas"
8 10 "CarolineBingley"
9 10 "ElizabethBennet"
9 10 "MrDarcy"
10 11 "CarolineBingley"
9 11 "ColonelForster"
10 11 "ElizabethBennet"
8 11 "JaneBennet"
7 11 "KittyBennet"
7 11 "LydiaBennet"
9 11 "MrCharlesBingley"
3 11 "MrHurst"
7 11 "MrsBennet"
8 11 "MrsLouisaHurst"
9 11 "SirWilliamLucas"
11 12 "CaptainCarter"
11 12 "CarolineBingley"
11 12 "ElizabethBennet"
11 12 "JaneBennet"
11 12 "LydiaBennet"
9 12 "MaryBennet"
11 12 "MrCharlesBingley"
10 12 "MrDarcy"
11 12 "MrHurst"
11 12 "MrsBennet"
11 12 "MrsLouisaHurst"
12 13 "CarolineBingley"
12 13 "ElizabethBennet"
12 13 "JaneBennet"
12 13 "MrCharlesBingley"
12 13 "MrDarcy"
12 13 "MrHurst"
12 13 "MrsLouisaHurst"
13 14 "CarolineBingley"
13 14 "ElizabethBennet"
13 14 "JaneBennet"
13 14 "MrCharlesBingley"
13 14 "MrDarcy"
13 14 "MrHurst"
13 14 "MrsLouisaHurst"
14 15 "CarolineBingley"
9 15 "CharlotteLucas"
14 15 "ElizabethBennet"
14 15 "JaneBennet"
14 15 "MrCharlesBingley"
14 15 "MrDarcy"
14 15 "MrJones"
12 15 "MrsBennet"
11 15 "SirWilliamLucas"
12 16 "CaptainCarter"
15 16 "CarolineBingley"
15 16 "CharlotteLucas"
11 16 "ColonelForster"
15 16 "ElizabethBennet"
15 16 "JaneBennet"
9 16 "LadyMariaLucas"
12 16 "LydiaBennet"
15 16 "MrCharlesBingley"
15 16 "MrDarcy"
15 16 "MrsBennet"
16 17 "CarolineBingley"
16 17 "ElizabethBennet"
16 17 "JaneBennet"
14 17 "MissGeorgianaDarcy"
16 17 "MrCharlesBingley"
16 17 "MrDarcy"
14 17 "MrHurst"
16 17 "MrsBennet"
14 17 "MrsLouisaHurst"
17 18 "CarolineBingley"
17 18 "ElizabethBennet"
17 18 "JaneBennet"
17 18 "MrCharlesBingley"
17 18 "MrDarcy"
17 18 "MrsLouisaHurst"
18 19 "CarolineBingley"
18 19 "ElizabethBennet"
18 19 "JaneBennet"
18 19 "MrDarcy"
18 19 "MrsLouisaHurst"
19 20 "CarolineBingley"
19 20 "ElizabethBennet"
19 20 "JaneBennet"
18 20 "MrCharlesBingley"
19 20 "MrDarcy"
17 20 "MrHurst"
19 20 "MrsLouisaHurst"
20 21 "CarolineBingley"
20 21 "ElizabethBennet"
20 21 "MrDarcy"
20 21 "MrHurst"
20 21 "MrsLouisaHurst"
21 22 "CarolineBingley"
16 22 "ColonelForster"
21 22 "ElizabethBennet"
20 22 "JaneBennet"
16 22 "LydiaBennet"
12 22 "MaryBennet"
20 22 "MrCharlesBingley"
21 22 "MrDarcy"
17 22 "MrsBennet"
16 23 "CharlotteLucas"
22 23 "ElizabethBennet"
22 23 "JaneBennet"
22 23 "LydiaBennet"
22 23 "MrCharlesBingley"
22 23 "MrsBennet"
23 24 "ElizabethBennet"
23 24 "LadyCatherinedeBourgh"
23 24 "LydiaBennet"
22 24 "MaryBennet"
23 24 "MrCollins"
23 24 "MrsBennet"
22 25 "ColonelForster"
24 25 "ElizabethBennet"
24 25 "LadyCatherinedeBourgh"
24 25 "LydiaBennet"
24 25 "MrCollins"
24 25 "MrsBennet"
25 26 "LydiaBennet"
25 26 "MrCollins"
25 26 "MrsBennet"
25 27 "ElizabethBennet"
23 27 "JaneBennet"
11 27 "KittyBennet"
25 27 "LadyCatherinedeBourgh"
26 27 "LydiaBennet"
24 27 "MaryBennet"
23 27 "MrCharlesBingley"
26 27 "MrCollins"
22 27 "MrDarcy"
25 27 "MrDenny"
26 27 "MrsBennet"
27 28 "ElizabethBennet"
27 28 "JaneBennet"
27 28 "KittyBennet"
27 28 "LadyCatherinedeBourgh"
27 28 "LydiaBennet"
27 28 "MrCharlesBingley"
27 28 "MrCollins"
27 28 "MrDarcy"
27 28 "MrDenny"
15 28 "MrJones"
27 28 "MrsBennet"
27 28 "MrWickham"
28 29 "ElizabethBennet"
28 29 "JaneBennet"
28 29 "LadyCatherinedeBourgh"
28 29 "LydiaBennet"
28 29 "MrCollins"
28 29 "MrDarcy"
28 29 "MrsBennet"
28 29 "MrWickham"
29 30 "ElizabethBennet"
29 30 "JaneBennet"
29 30 "MrDarcy"
28 30 "MrDenny"
29 30 "MrWickham"
22 31 "CarolineBingley"
30 31 "ElizabethBennet"
29 31 "LadyCatherinedeBourgh"
