"id1" "id2" "label"
"AnnedeBourgh" "CarolineBingley" 4
"AnnedeBourgh" "CharlotteLucas" 3
"AnnedeBourgh" "ColonelFitzwilliam" 2
"AnnedeBourgh" "Dawson" 1
"AnnedeBourgh" "ElizabethBennet" 8
"AnnedeBourgh" "JaneBennet" 5
"AnnedeBourgh" "John" 1
"AnnedeBourgh" "KittyBennet" 1
"AnnedeBourgh" "LadyCatherinedeBourgh" 6
"AnnedeBourgh" "LydiaBennet" 1
"AnnedeBourgh" "MissGeorgianaDarcy" 3
"AnnedeBourgh" "MrCharlesBingley" 3
"AnnedeBourgh" "MrCollins" 4
"AnnedeBourgh" "MrDarcy" 7
"AnnedeBourgh" "MrGardiner" 1
"AnnedeBourgh" "MrsBennet" 4
"AnnedeBourgh" "MrsGardiner" 1
"AnnedeBourgh" "MrsLouisaHurst" 1
"AnnedeBourgh" "MrsReynolds" 1
"AnnedeBourgh" "MrWickham" 3
"CaptainCarter" "CarolineBingley" 3
"CaptainCarter" "CharlotteLucas" 1
"CaptainCarter" "ColonelForster" 2
"CaptainCarter" "ElizabethBennet" 3
"CaptainCarter" "JaneBennet" 3
"CaptainCarter" "KittyBennet" 1
"CaptainCarter" "LadyMariaLucas" 1
"CaptainCarter" "LydiaBennet" 3
"CaptainCarter" "MaryBennet" 1
"CaptainCarter" "MrCharlesBingley" 3
"CaptainCarter" "MrDarcy" 2
"CaptainCarter" "MrHurst" 2
"CaptainCarter" "MrsBennet" 3
"CaptainCarter" "MrsLouisaHurst" 2
"CaptainCarter" "SirWilliamLucas" 1
"CarolineBingley" "CharlotteLucas" 17
"CarolineBingley" "ColonelFitzwilliam" 5
"CarolineBingley" "ColonelForster" 3
"CarolineBingley" "ElizabethBennet" 40
"CarolineBingley" "JaneBennet" 34
"CarolineBingley" "KittyBennet" 6
"CarolineBingley" "LadyCatherinedeBourgh" 8
"CarolineBingley" "LadyMariaLucas" 6
"CarolineBingley" "LydiaBennet" 11
"CarolineBingley" "MaryBennet" 7
"CarolineBingley" "MasterLucas" 1
"CarolineBingley" "Miss Lucas" 3
"CarolineBingley" "MissGeorgianaDarcy" 10
"CarolineBingley" "MrCharlesBingley" 33
"CarolineBingley" "MrCollins" 13
"CarolineBingley" "MrDarcy" 37
"CarolineBingley" "MrDenny" 1
"CarolineBingley" "MrGardiner" 3
"CarolineBingley" "MrHurst" 9
"CarolineBingley" "MrJones" 2
"CarolineBingley" "MrRobinson" 1
"CarolineBingley" "MrsAnnesley" 1
"CarolineBingley" "MrsBennet" 17
"CarolineBingley" "MrsGardiner" 5
"CarolineBingley" "MrsLong" 1
