"","V1","V2"
"1","ElizabethBennet","JaneBennet"
"2","ElizabethBennet","LadyMariaLucas"
"3","ElizabethBennet","LydiaBennet"
"4","ElizabethBennet","MrCharlesBingley"
"5","ElizabethBennet","MrMorris"
"6","ElizabethBennet","MrsLong"
"7","ElizabethBennet","SirWilliamLucas"
"8","JaneBennet","LadyMariaLucas"
"9","JaneBennet","LydiaBennet"
"10","JaneBennet","MrCharlesBingley"
"11","JaneBennet","MrMorris"
"12","JaneBennet","MrsLong"
"13","JaneBennet","SirWilliamLucas"
"14","LadyMariaLucas","LydiaBennet"
"15","LadyMariaLucas","MrCharlesBingley"
"16","LadyMariaLucas","MrMorris"
"17","LadyMariaLucas","MrsLong"
"18","LadyMariaLucas","SirWilliamLucas"
"19","LydiaBennet","MrCharlesBingley"
"20","LydiaBennet","MrMorris"
"21","LydiaBennet","MrsLong"
"22","LydiaBennet","SirWilliamLucas"
"23","MrCharlesBingley","MrMorris"
"24","MrCharlesBingley","MrsLong"
"25","MrCharlesBingley","SirWilliamLucas"
"26","MrMorris","MrsLong"
"27","MrMorris","SirWilliamLucas"
"28","MrsLong","SirWilliamLucas"
"29","ElizabethBennet","KittyBennet"
"30","ElizabethBennet","MaryBennet"
"31","ElizabethBennet","MrsBennet"
"32","KittyBennet","LydiaBennet"
"33","KittyBennet","MaryBennet"
"34","KittyBennet","MrCharlesBingley"
"35","KittyBennet","MrsBennet"
"36","KittyBennet","MrsLong"
"37","LydiaBennet","MaryBennet"
"38","LydiaBennet","MrsBennet"
"39","MaryBennet","MrCharlesBingley"
"40","MaryBennet","MrsBennet"
"41","MaryBennet","MrsLong"
"42","MrCharlesBingley","MrsBennet"
"43","MrsBennet","MrsLong"
"44","CarolineBingley","ElizabethBennet"
"45","CarolineBingley","JaneBennet"
"46","CarolineBingley","LadyMariaLucas"
"47","CarolineBingley","MrCharlesBingley"
"48","CarolineBingley","MrDarcy"
"49","CarolineBingley","MrHurst"
"50","CarolineBingley","MrsBennet"
"51","CarolineBingley","MrsLouisaHurst"
"52","CarolineBingley","SirWilliamLucas"
"53","ElizabethBennet","MrDarcy"
"54","ElizabethBennet","MrHurst"
"55","ElizabethBennet","MrsLouisaHurst"
"56","JaneBennet","MrDarcy"
"57","JaneBennet","MrHurst"
"58","JaneBennet","MrsBennet"
"59","JaneBennet","MrsLouisaHurst"
"60","LadyMariaLucas","MrDarcy"
"61","LadyMariaLucas","MrHurst"
"62","LadyMariaLucas","MrsBennet"
"63","LadyMariaLucas","MrsLouisaHurst"
"64","MrCharlesBingley","MrDarcy"
"65","MrCharlesBingley","MrHurst"
"66","MrCharlesBingley","MrsLouisaHurst"
"67","MrDarcy","MrHurst"
"68","MrDarcy","MrsBennet"
"69","MrDarcy","MrsLouisaHurst"
"70","MrDarcy","SirWilliamLucas"
"71","MrHurst","MrsBennet"
"72","MrHurst","MrsLouisaHurst"
"73","MrHurst","SirWilliamLucas"
"74","MrsBennet","MrsLouisaHurst"
"75","MrsBennet","SirWilliamLucas"
"76","MrsLouisaHurst","SirWilliamLucas"
"77","CarolineBingley","CharlotteLucas"
"78","CarolineBingley","KittyBennet"
"79","CarolineBingley","LydiaBennet"
"80","CarolineBingley","MaryBennet"
"81","CarolineBingley","Miss Lucas"
"82","CharlotteLucas","ElizabethBennet"
"83","CharlotteLucas","JaneBennet"
"84","CharlotteLucas","KittyBennet"
"85","CharlotteLucas","LydiaBennet"
"86","CharlotteLucas","MaryBennet"
"87","CharlotteLucas","Miss Lucas"
"88","CharlotteLucas","MrCharlesBingley"
"89","CharlotteLucas","MrDarcy"
"90","CharlotteLucas","MrsBennet"
"91","CharlotteLucas","MrsLouisaHurst"
"92","ElizabethBennet","Miss Lucas"
"93","JaneBennet","KittyBennet"
"94","JaneBennet","MaryBennet"
"95","JaneBennet","Miss Lucas"
"96","KittyBennet","Miss Lucas"
"97","KittyBennet","MrDarcy"
"98","KittyBennet","MrsLouisaHurst"
"99","LydiaBennet","Miss Lucas"
"100","LydiaBennet","MrDarcy"
"101","LydiaBennet","MrsLouisaHurst"
"102","MaryBennet","Miss Lucas"
"103","MaryBennet","MrDarcy"
"104","MaryBennet","MrsLouisaHurst"
"105","Miss Lucas","MrCharlesBingley"
"106","Miss Lucas","MrDarcy"
"107","Miss Lucas","MrsBennet"
"108","Miss Lucas","MrsLouisaHurst"
"109","CarolineBingley","MasterLucas"
"110","CarolineBingley","MrRobinson"
"111","CarolineBingley","MrsLong"
"112","CharlotteLucas","LadyMariaLucas"
"113","CharlotteLucas","MasterLucas"
"114","CharlotteLucas","MrRobinson"
"115","CharlotteLucas","MrsLong"
"116","CharlotteLucas","SirWilliamLucas"
"117","ElizabethBennet","MasterLucas"
"118","ElizabethBennet","MrRobinson"
"119","JaneBennet","MasterLucas"
"120","JaneBennet","MrRobinson"
"121","KittyBennet","LadyMariaLucas"
"122","KittyBennet","MasterLucas"
"123","KittyBennet","MrRobinson"
"124","KittyBennet","SirWilliamLucas"
"125","LadyMariaLucas","MaryBennet"
"126","LadyMariaLucas","MasterLucas"
"127","LadyMariaLucas","MrRobinson"
"128","LydiaBennet","MasterLucas"
"129","LydiaBennet","MrRobinson"
"130","MaryBennet","MasterLucas"
"131","MaryBennet","MrRobinson"
"132","MaryBennet","SirWilliamLucas"
"133","MasterLucas","MrCharlesBingley"
"134","MasterLucas","MrDarcy"
"135","MasterLucas","MrRobinson"
"136","MasterLucas","MrsBennet"
"137","MasterLucas","MrsLong"
"138","MasterLucas","SirWilliamLucas"
"139","MrCharlesBingley","MrRobinson"
"140","MrDarcy","MrRobinson"
"141","MrDarcy","MrsLong"
"142","MrRobinson","MrsBennet"
"143","MrRobinson","MrsLong"
"144","MrRobinson","SirWilliamLucas"
"145","CharlotteLucas","ColonelForster"
"146","ColonelForster","ElizabethBennet"
"147","ColonelForster","LadyMariaLucas"
"148","ColonelForster","MaryBennet"
"149","ColonelForster","MrCharlesBingley"
"150","ColonelForster","MrDarcy"
"151","ColonelForster","SirWilliamLucas"
"152","CaptainCarter","CarolineBingley"
"153","CaptainCarter","ColonelForster"
"154","CaptainCarter","ElizabethBennet"
"155","CaptainCarter","JaneBennet"
"156","CaptainCarter","KittyBennet"
"157","CaptainCarter","LydiaBennet"
"158","CaptainCarter","MrCharlesBingley"
"159","CaptainCarter","MrHurst"
"160","CaptainCarter","MrsBennet"
"161","CaptainCarter","MrsLouisaHurst"
"162","CaptainCarter","SirWilliamLucas"
"163","CarolineBingley","ColonelForster"
"164","ColonelForster","JaneBennet"
"165","ColonelForster","KittyBennet"
"166","ColonelForster","LydiaBennet"
"167","ColonelForster","MrHurst"
"168","ColonelForster","MrsBennet"
"169","ColonelForster","MrsLouisaHurst"
"170","KittyBennet","MrHurst"
"171","LydiaBennet","MrHurst"
"172","CaptainCarter","MaryBennet"
"173","CaptainCarter","MrDarcy"
"174","MaryBennet","MrHurst"
"175","CarolineBingley","MissGeorgianaDarcy"
"176","CarolineBingley","MrJones"
"177","ElizabethBennet","MissGeorgianaDarcy"
"178","ElizabethBennet","MrJones"
"179","JaneBennet","MissGeorgianaDarcy"
"180","JaneBennet","MrJones"
"181","MissGeorgianaDarcy","MrCharlesBingley"
"182","MissGeorgianaDarcy","MrDarcy"
"183","MissGeorgianaDarcy","MrHurst"
"184","MissGeorgianaDarcy","MrJones"
"185","MissGeorgianaDarcy","MrsLouisaHurst"
"186","MrCharlesBingley","MrJones"
"187","MrDarcy","MrJones"
"188","MrHurst","MrJones"
"189","MrJones","MrsLouisaHurst"
"190","CharlotteLucas","MrJones"
"191","MrJones","MrsBennet"
"192","MrJones","SirWilliamLucas"
"193","CaptainCarter","CharlotteLucas"
"194","CaptainCarter","LadyMariaLucas"
"195","MissGeorgianaDarcy","MrsBennet"
"196","CarolineBingley","MrsNicholls"
"197","ElizabethBennet","MrsNicholls"
"198","JaneBennet","MrsNicholls"
"199","MrCharlesBingley","MrsNicholls"
"200","MrDarcy","MrsNicholls"
"201","MrHurst","MrsNicholls"
"202","MrsLouisaHurst","MrsNicholls"
"203","CharlotteLucas","LadyCatherinedeBourgh"
"204","CharlotteLucas","MrCollins"
"205","CharlotteLucas","MrsHill"
"206","CharlotteLucas","SirLewisdeBourgh"
"207","ElizabethBennet","LadyCatherinedeBourgh"
"208","ElizabethBennet","MrCollins"
"209","ElizabethBennet","MrsHill"
"210","ElizabethBennet","SirLewisdeBourgh"
"211","JaneBennet","LadyCatherinedeBourgh"
"212","JaneBennet","MrCollins"
"213","JaneBennet","MrsHill"
"214","JaneBennet","SirLewisdeBourgh"
"215","LadyCatherinedeBourgh","LydiaBennet"
"216","LadyCatherinedeBourgh","MrCharlesBingley"
"217","LadyCatherinedeBourgh","MrCollins"
"218","LadyCatherinedeBourgh","MrsBennet"
"219","LadyCatherinedeBourgh","MrsHill"
"220","LadyCatherinedeBourgh","SirLewisdeBourgh"
"221","LydiaBennet","MrCollins"
"222","LydiaBennet","MrsHill"
"223","LydiaBennet","SirLewisdeBourgh"
"224","MrCharlesBingley","MrCollins"
"225","MrCharlesBingley","MrsHill"
"226","MrCharlesBingley","SirLewisdeBourgh"
"227","MrCollins","MrsBennet"
"228","MrCollins","MrsHill"
"229","MrCollins","SirLewisdeBourgh"
"230","MrsBennet","MrsHill"
"231","MrsBennet","SirLewisdeBourgh"
"232","MrsHill","SirLewisdeBourgh"
"233","LadyCatherinedeBourgh","MaryBennet"
"234","MaryBennet","MrCollins"
"235","ColonelForster","LadyCatherinedeBourgh"
"236","ColonelForster","MrCollins"
"237","ColonelForster","MrDenny"
"238","ColonelForster","Richard"
"239","ElizabethBennet","MrDenny"
"240","ElizabethBennet","Richard"
"241","LadyCatherinedeBourgh","MrDenny"
"242","LadyCatherinedeBourgh","Richard"
"243","LydiaBennet","MrDenny"
"244","LydiaBennet","Richard"
"245","MrCollins","MrDenny"
"246","MrCollins","Richard"
"247","MrDenny","MrsBennet"
"248","MrDenny","Richard"
"249","MrsBennet","Richard"
"250","ElizabethBennet","MrWickham"
"251","JaneBennet","MrDenny"
"252","JaneBennet","MrWickham"
"253","KittyBennet","LadyCatherinedeBourgh"
"254","KittyBennet","MrCollins"
"255","KittyBennet","MrDenny"
"256","KittyBennet","MrWickham"
"257","LadyCatherinedeBourgh","MrDarcy"
"258","LadyCatherinedeBourgh","MrWickham"
"259","LydiaBennet","MrWickham"
"260","MaryBennet","MrDenny"
"261","MaryBennet","MrWickham"
"262","MrCharlesBingley","MrDenny"
"263","MrCharlesBingley","MrWickham"
"264","MrCollins","MrDarcy"
"265","MrCollins","MrWickham"
"266","MrDarcy","MrDenny"
"267","MrDarcy","MrWickham"
"268","MrDenny","MrWickham"
"269","MrsBennet","MrWickham"
"270","KittyBennet","MrJones"
"271","LadyCatherinedeBourgh","MrJones"
"272","LydiaBennet","MrJones"
"273","MrCollins","MrJones"
"274","MrDenny","MrJones"
"275","MrJones","MrWickham"
"276","AnnedeBourgh","CarolineBingley"
"277","AnnedeBourgh","ElizabethBennet"
"278","AnnedeBourgh","LadyCatherinedeBourgh"
"279","AnnedeBourgh","MrCharlesBingley"
"280","AnnedeBourgh","MrCollins"
"281","AnnedeBourgh","MrDarcy"
"282","AnnedeBourgh","MrWickham"
"283","CarolineBingley","LadyCatherinedeBourgh"
"284","CarolineBingley","MrCollins"
"285","CarolineBingley","MrWickham"
"286","CarolineBingley","MrDenny"
"287","CharlotteLucas","MrDenny"
"288","CharlotteLucas","MrWickham"
"289","MrWickham","SirWilliamLucas"
"290","AnnedeBourgh","CharlotteLucas"
"291","AnnedeBourgh","JaneBennet"
"292","LadyCatherinedeBourgh","LadyMariaLucas"
"293","LadyMariaLucas","MrCollins"
"294","LadyMariaLucas","MrWickham"
"295","MrCollins","MrsLouisaHurst"
"296","MrsLouisaHurst","MrWickham"
"297","AnnedeBourgh","KittyBennet"
"298","AnnedeBourgh","MrsBennet"
"299","CharlotteLucas","MrHurst"
"300","MrCollins","MrHurst"
"301","MrHurst","MrWickham"
"302","AnnedeBourgh","MissGeorgianaDarcy"
"303","AnnedeBourgh","MrsLouisaHurst"
"304","LadyCatherinedeBourgh","SirWilliamLucas"
"305","MrCollins","SirWilliamLucas"
"306","CharlotteLucas","MissGeorgianaDarcy"
"307","MissGeorgianaDarcy","MrCollins"
"308","MissGeorgianaDarcy","MrWickham"
"309","CharlotteLucas","MrGardiner"
"310","CharlotteLucas","MrsGardiner"
"311","ElizabethBennet","MrGardiner"
