"V1","V2"
"ElizabethBennet","JaneBennet"
"ElizabethBennet","LadyMariaLucas"
"ElizabethBennet","LydiaBennet"
"ElizabethBennet","MrCharlesBingley"
"ElizabethBennet","MrMorris"
"ElizabethBennet","MrsLong"
"ElizabethBennet","SirWilliamLucas"
"JaneBennet","LadyMariaLucas"
"JaneBennet","LydiaBennet"
"JaneBennet","MrCharlesBingley"
"JaneBennet","MrMorris"
"JaneBennet","MrsLong"
"JaneBennet","SirWilliamLucas"
"LadyMariaLucas","LydiaBennet"
"LadyMariaLucas","MrCharlesBingley"
"LadyMariaLucas","MrMorris"
"LadyMariaLucas","MrsLong"
"LadyMariaLucas","SirWilliamLucas"
"LydiaBennet","MrCharlesBingley"
"LydiaBennet","MrMorris"
"LydiaBennet","MrsLong"
"LydiaBennet","SirWilliamLucas"
"MrCharlesBingley","MrMorris"
"MrCharlesBingley","MrsLong"
"MrCharlesBingley","SirWilliamLucas"
"MrMorris","MrsLong"
"MrMorris","SirWilliamLucas"
"MrsLong","SirWilliamLucas"
"ElizabethBennet","KittyBennet"
"ElizabethBennet","MaryBennet"
"ElizabethBennet","MrsBennet"
"KittyBennet","LydiaBennet"
"KittyBennet","MaryBennet"
"KittyBennet","MrCharlesBingley"
"KittyBennet","MrsBennet"
"KittyBennet","MrsLong"
"LydiaBennet","MaryBennet"
"LydiaBennet","MrsBennet"
"MaryBennet","MrCharlesBingley"
"MaryBennet","MrsBennet"
"MaryBennet","MrsLong"
"MrCharlesBingley","MrsBennet"
"MrsBennet","MrsLong"
"CarolineBingley","ElizabethBennet"
"CarolineBingley","JaneBennet"
"CarolineBingley","LadyMariaLucas"
"CarolineBingley","MrCharlesBingley"
"CarolineBingley","MrDarcy"
"CarolineBingley","MrHurst"
"CarolineBingley","MrsBennet"
"CarolineBingley","MrsLouisaHurst"
"CarolineBingley","SirWilliamLucas"
"ElizabethBennet","MrDarcy"
"ElizabethBennet","MrHurst"
"ElizabethBennet","MrsLouisaHurst"
"JaneBennet","MrDarcy"
"JaneBennet","MrHurst"
"JaneBennet","MrsBennet"
"JaneBennet","MrsLouisaHurst"
"LadyMariaLucas","MrDarcy"
"LadyMariaLucas","MrHurst"
"LadyMariaLucas","MrsBennet"
"LadyMariaLucas","MrsLouisaHurst"
"MrCharlesBingley","MrDarcy"
"MrCharlesBingley","MrHurst"
"MrCharlesBingley","MrsLouisaHurst"
"MrDarcy","MrHurst"
"MrDarcy","MrsBennet"
"MrDarcy","MrsLouisaHurst"
"MrDarcy","SirWilliamLucas"
"MrHurst","MrsBennet"
"MrHurst","MrsLouisaHurst"
"MrHurst","SirWilliamLucas"
"MrsBennet","MrsLouisaHurst"
"MrsBennet","SirWilliamLucas"
"MrsLouisaHurst","SirWilliamLucas"
"CarolineBingley","CharlotteLucas"
"CarolineBingley","KittyBennet"
"CarolineBingley","LydiaBennet"
"CarolineBingley","MaryBennet"
"CarolineBingley","Miss Lucas"
"CharlotteLucas","ElizabethBennet"
"CharlotteLucas","JaneBennet"
"CharlotteLucas","KittyBennet"
"CharlotteLucas","LydiaBennet"
"CharlotteLucas","MaryBennet"
"CharlotteLucas","Miss Lucas"
"CharlotteLucas","MrCharlesBingley"
"CharlotteLucas","MrDarcy"
"CharlotteLucas","MrsBennet"
"CharlotteLucas","MrsLouisaHurst"
"ElizabethBennet","Miss Lucas"
"JaneBennet","KittyBennet"
"JaneBennet","MaryBennet"
"JaneBennet","Miss Lucas"
"KittyBennet","Miss Lucas"
"KittyBennet","MrDarcy"
"KittyBennet","MrsLouisaHurst"
"LydiaBennet","Miss Lucas"
"LydiaBennet","MrDarcy"
"LydiaBennet","MrsLouisaHurst"
"MaryBennet","Miss Lucas"
"MaryBennet","MrDarcy"
"MaryBennet","MrsLouisaHurst"
"Miss Lucas","MrCharlesBingley"
"Miss Lucas","MrDarcy"
"Miss Lucas","MrsBennet"
"Miss Lucas","MrsLouisaHurst"
"CarolineBingley","MasterLucas"
"CarolineBingley","MrRobinson"
"CarolineBingley","MrsLong"
"CharlotteLucas","LadyMariaLucas"
"CharlotteLucas","MasterLucas"
"CharlotteLucas","MrRobinson"
"CharlotteLucas","MrsLong"
"CharlotteLucas","SirWilliamLucas"
"ElizabethBennet","MasterLucas"
"ElizabethBennet","MrRobinson"
"JaneBennet","MasterLucas"
"JaneBennet","MrRobinson"
"KittyBennet","LadyMariaLucas"
"KittyBennet","MasterLucas"
"KittyBennet","MrRobinson"
"KittyBennet","SirWilliamLucas"
"LadyMariaLucas","MaryBennet"
"LadyMariaLucas","MasterLucas"
"LadyMariaLucas","MrRobinson"
"LydiaBennet","MasterLucas"
"LydiaBennet","MrRobinson"
"MaryBennet","MasterLucas"
"MaryBennet","MrRobinson"
"MaryBennet","SirWilliamLucas"
"MasterLucas","MrCharlesBingley"
"MasterLucas","MrDarcy"
"MasterLucas","MrRobinson"
"MasterLucas","MrsBennet"
"MasterLucas","MrsLong"
"MasterLucas","SirWilliamLucas"
"MrCharlesBingley","MrRobinson"
"MrDarcy","MrRobinson"
"MrDarcy","MrsLong"
"MrRobinson","MrsBennet"
"MrRobinson","MrsLong"
"MrRobinson","SirWilliamLucas"
"CharlotteLucas","ColonelForster"
"ColonelForster","ElizabethBennet"
"ColonelForster","LadyMariaLucas"
"ColonelForster","MaryBennet"
"ColonelForster","MrCharlesBingley"
"ColonelForster","MrDarcy"
"ColonelForster","SirWilliamLucas"
"CaptainCarter","CarolineBingley"
"CaptainCarter","ColonelForster"
"CaptainCarter","ElizabethBennet"
"CaptainCarter","JaneBennet"
"CaptainCarter","KittyBennet"
"CaptainCarter","LydiaBennet"
"CaptainCarter","MrCharlesBingley"
"CaptainCarter","MrHurst"
"CaptainCarter","MrsBennet"
"CaptainCarter","MrsLouisaHurst"
"CaptainCarter","SirWilliamLucas"
"CarolineBingley","ColonelForster"
"ColonelForster","JaneBennet"
"ColonelForster","KittyBennet"
"ColonelForster","LydiaBennet"
"ColonelForster","MrHurst"
"ColonelForster","MrsBennet"
"ColonelForster","MrsLouisaHurst"
"KittyBennet","MrHurst"
"LydiaBennet","MrHurst"
"CaptainCarter","MaryBennet"
"CaptainCarter","MrDarcy"
"MaryBennet","MrHurst"
"CarolineBingley","MissGeorgianaDarcy"
"CarolineBingley","MrJones"
"ElizabethBennet","MissGeorgianaDarcy"
"ElizabethBennet","MrJones"
"JaneBennet","MissGeorgianaDarcy"
"JaneBennet","MrJones"
"MissGeorgianaDarcy","MrCharlesBingley"
"MissGeorgianaDarcy","MrDarcy"
"MissGeorgianaDarcy","MrHurst"
"MissGeorgianaDarcy","MrJones"
"MissGeorgianaDarcy","MrsLouisaHurst"
"MrCharlesBingley","MrJones"
"MrDarcy","MrJones"
"MrHurst","MrJones"
"MrJones","MrsLouisaHurst"
"CharlotteLucas","MrJones"
"MrJones","MrsBennet"
"MrJones","SirWilliamLucas"
