"node_id" "tags" "dpub"
"1" "Mrs Dashwood, Mrs Fanny Dashwood, TheOldGentlemanDashwood" "1"
"2" "Elinor Dashwood, Marianne Dashwood, Mrs Dashwood, Mrs Fanny Dashwood" "2"
"3" "Harry Dashwood, Marianne Dashwood, Mrs Dashwood, Mrs Fanny Dashwood" "3"
"4" "Mr John Dashwood, Mrs Dashwood, Mrs Fanny Dashwood" "4"
"5" "Edward Ferrars, Elinor Dashwood, Mrs Dashwood, Mrs Fanny Dashwood, Robert Ferrars" "5"
"6" "Edward Ferrars, Marianne Dashwood, Mrs Dashwood" "6"
"7" "Edward Ferrars, Marianne Dashwood" "7"
"8" "Edward Ferrars, Marianne Dashwood, Mrs Dashwood, Mrs Ferrars, Sir John Middleton" "8"
"9" "Edward Ferrars, Elinor Dashwood, Marianne Dashwood, Mrs Dashwood, Mrs Fanny Dashwood, Sir John Middleton" "9"
"10" "" "10"
"11" "Marianne Dashwood, Mrs Dashwood, Sir John Middleton" "11"
"12" "Mrs Fanny Dashwood, Sir John Middleton" "12"
"13" "ColonelBrandon, Marianne Dashwood, Mrs Dashwood, Mrs Jennings, Sir John Middleton" "13"
"14" "ColonelBrandon, Marianne Dashwood, Sir John Middleton" "14"
"15" "ColonelBrandon, Edward Ferrars, Marianne Dashwood, Mrs Dashwood, Mrs Jennings, Sir John Middleton" "15"
"16" "Edward Ferrars, Mrs Dashwood" "16"
"17" "John Willoughby, Marianne Dashwood, Mrs Dashwood, Sir John Middleton" "17"
"18" "ColonelBrandon, Elinor Dashwood, John Willoughby, Marianne Dashwood, Mrs Dashwood, Sir John Middleton" "18"
"19" "Edward Ferrars, Elinor Dashwood, John Willoughby, Marianne Dashwood, Mrs Dashwood, Sir John Middleton" "19"
"20" "ColonelBrandon, Edward Ferrars, Elinor Dashwood, John Willoughby, Marianne Dashwood, Mrs Jennings, Sir John Middleton" "20"
"21" "" "21"
"22" "ColonelBrandon, John Willoughby, Marianne Dashwood, Mr Jennings, Mrs Dashwood, Mrs Jennings, Sir John Middleton" "22"
