"root_node_id" "tag"
"1" "Mrs Dashwood"
"1" "Mrs Fanny Dashwood"
"1" "TheOldGentlemanDashwood"
"2" "Elinor Dashwood"
"2" "Marianne Dashwood"
"3" "Harry Dashwood"
"4" "Mr John Dashwood"
"5" "Edward Ferrars"
"5" "Robert Ferrars"
"8" "Mrs Ferrars"
"8" "Sir John Middleton"
"13" "ColonelBrandon"
"13" "Mrs Jennings"
"17" "John Willoughby"
"22" "Mr Jennings"
"26" "The Miss Careys"
"27" "ElizaWilliams"
"39" "The Whitakers"
"41" "Mr Thomas Palmer"
"41" "Mrs Charlotte Palmer"
"44" "The Westons"
"46" "Anne Steele"
"46" "Lucy Steele"
"47" "Annamaria Middleton"
"48" "Mr Simpson"
"48" "Mr. Rose"
"50" "Mr Pratt"
"58" "Betty"
"61" "Cartwright"
"63" "Lady Mary Middleton"
"72" "Biddy Henshawe"
"72" "Miss Sophia Grey"
"72" "Mrs Taylor"
"73" "Miss Walker"
"78" "ElizaBrandon"
"84" "Lord Morton"
"84" "Miss Morton"
"95" "LordCourtland"
"95" "Mrs Dennison"
"102" "Miss Godby"
"102" "Miss Sparks"
"102" "MrsClarke"
"103" "Martha Sharpe"
"103" "Mr Richardson"
"103" "Mrs Richardson"
"133" "Sally"
"133" "Thomas"
"140" "MrsBurgess"
