"id1" "id2" "label"
"Annamaria Middleton" "Anne Steele" 2
"Annamaria Middleton" "Edward Ferrars" 1
"Annamaria Middleton" "Elinor Dashwood" 2
"Annamaria Middleton" "Lucy Steele" 3
"Annamaria Middleton" "Marianne Dashwood" 3
"Annamaria Middleton" "Sir John Middleton" 2
"Anne Steele" "Betty" 1
"Anne Steele" "ColonelBrandon" 6
"Anne Steele" "Edward Ferrars" 17
"Anne Steele" "Elinor Dashwood" 11
"Anne Steele" "ElizaBrandon" 1
"Anne Steele" "Harry Dashwood" 1
"Anne Steele" "John Willoughby" 4
"Anne Steele" "LordCourtland" 1
"Anne Steele" "Lucy Steele" 24
"Anne Steele" "Marianne Dashwood" 20
"Anne Steele" "Martha Sharpe" 1
"Anne Steele" "Miss Godby" 1
"Anne Steele" "Miss Morton" 4
"Anne Steele" "Miss Sophia Grey" 1
"Anne Steele" "Miss Sparks" 1
"Anne Steele" "Mr John Dashwood" 3
"Anne Steele" "Mr Pratt" 5
"Anne Steele" "Mr Richardson" 2
"Anne Steele" "Mr Simpson" 1
"Anne Steele" "Mr Thomas Palmer" 4
"Anne Steele" "Mr. Rose" 1
"Anne Steele" "Mrs Charlotte Palmer" 4
"Anne Steele" "Mrs Dashwood" 5
"Anne Steele" "Mrs Dennison" 1
"Anne Steele" "Mrs Fanny Dashwood" 5
"Anne Steele" "Mrs Ferrars" 7
"Anne Steele" "Mrs Jennings" 13
"Anne Steele" "Mrs Richardson" 2
"Anne Steele" "MrsClarke" 1
"Anne Steele" "Sally" 1
"Anne Steele" "Sir John Middleton" 11
"Anne Steele" "Thomas" 1
"Betty" "ColonelBrandon" 1
"Betty" "Edward Ferrars" 3
"Betty" "Elinor Dashwood" 3
"Betty" "John Willoughby" 2
"Betty" "Lucy Steele" 3
"Betty" "Marianne Dashwood" 4
"Betty" "Mr Pratt" 1
"Betty" "Mr Richardson" 1
"Betty" "Mr Thomas Palmer" 1
"Betty" "Mrs Charlotte Palmer" 2
"Betty" "Mrs Dashwood" 1
"Betty" "Mrs Ferrars" 1
"Betty" "Mrs Jennings" 4
"Betty" "Mrs Richardson" 1
"Betty" "Sir John Middleton" 2
"Biddy Henshawe" "Marianne Dashwood" 1
"Biddy Henshawe" "Miss Sophia Grey" 1
"Biddy Henshawe" "Mrs Jennings" 1
"Biddy Henshawe" "Mrs Taylor" 1
"Cartwright" "ColonelBrandon" 1
"Cartwright" "John Willoughby" 1
"Cartwright" "Marianne Dashwood" 1
"Cartwright" "Mr Thomas Palmer" 1
"Cartwright" "Mrs Charlotte Palmer" 1
"Cartwright" "Mrs Jennings" 1
"ColonelBrandon" "Edward Ferrars" 23
"ColonelBrandon" "Elinor Dashwood" 12
"ColonelBrandon" "ElizaBrandon" 4
"ColonelBrandon" "ElizaWilliams" 4
"ColonelBrandon" "Harry Dashwood" 1
"ColonelBrandon" "John Willoughby" 29
"ColonelBrandon" "Lady Mary Middleton" 2
"ColonelBrandon" "Lord Morton" 2
"ColonelBrandon" "LordCourtland" 1
"ColonelBrandon" "Lucy Steele" 15
"ColonelBrandon" "Marianne Dashwood" 52
"ColonelBrandon" "Miss Morton" 7
"ColonelBrandon" "Miss Sophia Grey" 3
"ColonelBrandon" "Miss Walker" 1
"ColonelBrandon" "Mr Jennings" 1
